df1,df2,name1,birthdate1,name2,birthdate2,nat1,nat2,club1,club2,score,match
eafc_2744,tm_1007,João Pedro,1993-04-03,Ian Murphy,2000-01-16,Portugal,United States,Chaves,FC Cincinnati,0.0,False
eafc_3036,tm_1001,D. Mangni,1993-03-29,Evan Louro,1996-01-19,Italy,United States,Lecco,FC Cincinnati,0.0,False
eafc_8046,tm_1027,A. Wharton,2004-02-06,Dominique Badji,1992-10-16,England,Senegal,Blackburn Rovers,FC Cincinnati,0.0,False
eafc_4570,tm_1002,S. Muroya,1994-04-05,Alec Kann,1990-08-08,Japan,United States,Hannover 96,FC Cincinnati,0.0,False
eafc_8507,tm_1183,S. Biuk,2002-12-26,Nathan,1995-05-13,Croatia,Brazil,Los Angeles FC,San Jose Earthquakes,0.0,False
eafc_5372,tm_1009,S. Al Khaibari,1989-09-18,London Aghedo,2000-05-31,Saudi Arabia,United States,Al Fayha,FC Cincinnati,0.0,False
eafc_9294,tm_1163,D. Gore,2004-09-26,Maciel,2000-01-18,England,Brazil,Manchester United,New England Revolution,0.0,False
eafc_1927,tm_1002,M. Crooks,1994-01-20,Alec Kann,1990-08-08,England,United States,Middlesbrough,FC Cincinnati,0.0,False
eafc_11371,tm_1069,Shi Ke,1993-01-08,Calegari,2002-02-27,China PR,Brazil,Shandong Taishan,,0.0,False
eafc_8020,tm_1001,S. Hawsawi,1998-04-15,Evan Louro,1996-01-19,Saudi Arabia,United States,Damac,FC Cincinnati,0.0,False
eafc_5333,tm_1006,Rodrigo Becão,1996-01-19,Nick Hagglund,1992-09-14,Brazil,United States,Fenerbahçe,FC Cincinnati,0.0,False
eafc_10702,tm_1002,L. Augusto,2000-02-26,Alec Kann,1990-08-08,Angola,United States,Alanyaspor,FC Cincinnati,0.0,False
eafc_2862,tm_1020,K. Baldé,1995-03-08,Yuya Kubo,1993-12-24,Senegal,Japan,Espanyol,FC Cincinnati,0.0,False
eafc_9446,tm_1001,S. Voelcke,2002-02-23,Evan Louro,1996-01-19,Germany,United States,Rot-Weiss Essen,FC Cincinnati,0.0,False
eafc_9063,tm_1075,Z. Iqbal,2003-04-27,Riqui Puig,1999-08-13,Iraq,Spain,FC Utrecht,Los Angeles Galaxy,0.0,False
eafc_2393,tm_1002,M. Modolo,1989-03-23,Alec Kann,1990-08-08,Italy,United States,Venezia,FC Cincinnati,0.0,False
eafc_10384,tm_1010,F. Leysen,2003-07-09,Santiago Arias,1992-01-13,Belgium,Colombia,Union Saint-Gilloise,FC Cincinnati,0.0,False
eafc_9153,tm_1001,İ. Çokçalış,2000-06-21,Evan Louro,1996-01-19,Turkey,United States,Adana Demirspor,FC Cincinnati,0.0,False
eafc_6902,tm_1001,J. Stanišić,2000-04-02,Evan Louro,1996-01-19,Croatia,United States,Bayer 04 Leverkusen,FC Cincinnati,0.0,False
eafc_1782,tm_1069,T. Ince,1992-01-30,Calegari,2002-02-27,England,Brazil,Watford,,0.0,False
eafc_4405,tm_1005,F. Schleusener,1991-10-24,Matt Miazga,1995-07-19,Germany,United States,Karlsruher SC,FC Cincinnati,0.0,False
eafc_9729,tm_1172,G. Jean,2000-02-19,Nacho Gil,1995-09-09,France,Spain,Annecy,New England Revolution,0.0,False
eafc_10758,tm_1001,V. Griffith,2000-12-12,Evan Louro,1996-01-19,Panama,United States,Portland Timbers,FC Cincinnati,0.0,False
