df1,df2,name1,birthdate1,name2,birthdate2,nat1,nat2,club1,club2,score,match
fm_11753,eafc_6611,Vakoun Issouf Bayo,1997-01-10,V. Bayo,1997-01-10,CIV,Côte d'Ivoire,Watford,Watford,0.5,
fm_16641,eafc_8005,Arnau Pradas,2006-03-24,Arnau Tenas,2001-05-30,ESP,Spain,Barcelona,Paris Saint Germain,0.5,
fm_10527,eafc_10886,Saqr Mamdouh,1998-10-03,M. Mamadou,1998-10-04,KSA,Senegal,Al-Batin,İstanbulspor,0.5,
fm_17845,eafc_1742,Paco Mathis,2005-09-04,Marco Matias,1989-05-10,FRA,Portugal,Bordeaux,Farense,0.5,
fm_13899,eafc_6569,Lewis Salmon,2001-11-02,C. Kelman,2001-11-02,ENG,United States,Nottm Forest,Queens Park Rangers,0.5,
fm_17742,eafc_10670,Luís Gerardo,2000-04-26,Luís Semedo,2003-08-11,POR,Portugal,MRT,Sunderland,0.5,
fm_1971,eafc_7338,Abdou Diallo,1996-05-04,A. Diallo,2002-07-11,SEN,Côte d'Ivoire,RB Leipzig,Manchester United,0.5,
fm_16590,eafc_2435,Ricardo Nóbrega,2004-03-13,Ricardo Pereira,1993-10-06,POR,Portugal,Benfica,Leicester City,0.5,
fm_11154,eafc_11334,Kang Mingjie,1999-02-27,Fang Jingqi,1993-01-17,CHN,China PR,HeB FC,Tianjin Jinmen Tiger,0.5,
fm_16352,eafc_7083,Hianga'a Mbock,1999-12-29,H. Mbock,1999-12-28,FRA,France,SM Caen,Caen,0.5,
fm_7311,eafc_2388,Antonio Narciso,1980-10-01,Antônio Carlos,1993-03-07,ITA,Brazil,Modena,Orlando City,0.5,
fm_14133,eafc_2492,Josh Mazfari,2005-09-15,José Mari,1987-12-06,ENG,Spain,Huddersfield,Cádiz,0.5,
fm_1450,eafc_9114,Max Alves,2001-05-12,Max,2001-05-12,BRA,Brazil,Colorado,Colorado Rapids,0.5,
fm_8070,eafc_6984,Samuele Pumo,2006-07-19,Samuel Lino,1999-12-23,ITA,Brazil,Sassuolo,Atlético Madrid,0.5,
fm_15723,eafc_2279,Lucas Barros,1999-08-21,Lucas Torró,1994-07-19,BRA,Spain,Gil Vicente,Osasuna,0.5,
fm_3622,eafc_7931,Yannic Voigt,2002-10-27,Gabri Veiga,2002-05-27,GER,Spain,FSV Zwickau,Al Ahli Jeddah,0.5,
fm_8247,eafc_2302,Andrea Prete,2005-06-18,Andreas Pereira,1996-01-01,ITA,Brazil,Torino,Fulham,0.5,
fm_5328,eafc_4046,Leander Popp,2005-06-26,Leander Baia,1988-02-29,GER,Brazil,Hertha Berlin,Atlético Mineiro,0.5,
fm_13776,eafc_9236,Rio Martucci,2005-05-03,A. Marcucci,1999-07-31,ENG,United States,Luton,New York RB,0.5,
fm_17875,eafc_2155,João Pacheco,2004-01-20,João Paulo,1991-03-08,POR,Brazil,VIZ,Seattle Sounders,0.5,
fm_7153,eafc_8347,Larsson Coulibaly,2003-01-01,S. Coulibaly,2003-10-14,CIV,France,Lazio,Antwerp,0.5036764705882353,
fm_7958,eafc_7022,Francesco Raccosta,2005-10-08,Francisco Moura,1999-08-16,ITA,Portugal,Brianza,Famalicão,0.5083333333333334,
fm_13414,eafc_9029,Daniel Pike,2002-01-09,Daniel Queipo,2002-05-22,ENG,Spain,Blackburn,Sporting Gijón,0.5115384615384616,
fm_14661,eafc_4977,Joãozinho,1989-07-02,João Bardinho,1996-02-29,POR,Brazil,Estoril Praia,América Mineiro,0.5115384615384616,
fm_17920,eafc_4112,Gustavo António,2005-05-05,Gustavo Pastinho,1992-02-29,POR,Brazil,BVT,Internacional,0.515625,
fm_17989,eafc_6247,Gabriel Carvalho,2004-01-11,Gabriel Brazão,2000-10-05,POR,Brazil,A. Madrid,Ternana,0.515625,
fm_8107,eafc_9453,Leonardo Personi,2005-05-25,Leonardo Lelo,2000-03-30,ITA,Portugal,Verona,Casa Pia,0.515625,
fm_17329,eafc_4147,Jordan Monteiro,2004-01-21,Jonaldo Monteiro,2000-02-29,POR,Brazil,BRG,Fortaleza,0.515625,
fm_4077,eafc_4965,Gabriel Gonzalez,2006-06-14,Mario González,1996-02-25,SUI,Spain,FC Bayern,Los Angeles FC,0.515625,
fm_15206,eafc_8474,Andrés Sarmiento,1998-01-15,Andrés Caro,2004-02-01,COL,Spain,VIZ,Real Betis,0.51875,
fm_5935,eafc_4269,Benjamin Krist,2004-02-11,Benjamin Meseira,1996-02-29,GER,Brazil,FC Augsburg,Athletico Paranaense,0.51875,
fm_11141,eafc_11402,Han Xuan,1995-01-13,He Guan,1993-01-25,CHN,China PR,Wuhan Changjiang,Wuhan Three Towns,0.51875,
fm_1019,eafc_3877,Christian Fuchs,1986-04-07,Christian Rivera,1997-07-09,AUT,Spain,Charlotte FC,Sporting Gijón,0.51875,
fm_13025,eafc_4458,Elyh Harrison,2006-02-19,J. Harrison,1996-11-20,ENG,England,Man UFC,Everton,0.5192307692307692,
fm_4784,eafc_4601,Cole Campbell,2006-02-20,A. Campbell,1998-07-04,ISL,Scotland,Borussia Dortmund,Millwall,0.5192307692307692,
fm_10881,eafc_11329,Yan Bingliang,2000-04-03,Yang Mingyang,1995-07-11,CHN,Switzerland,Tianjin,Nantong Zhiyun,0.5192307692307692,
fm_11009,eafc_11656,Xiong Guohong,2003-03-01,Liang Nuoheng,1994-11-14,CHN,Hong Kong,DL Pro,Zhejiang,0.5192307692307692,
fm_16671,eafc_4743,Diogo Prioste,2004-03-26,Diogo Leite,1999-01-23,POR,Portugal,Benfica,FC Union Berlin,0.5192307692307692,
fm_16755,eafc_10137,Nathan Zeze,2005-06-18,N. Zézé,2005-06-18,FRA,France,FC Nantes,Nantes,0.5227272727272727,
