df1,df2,name1,birthdate1,name2,birthdate2,nat1,nat2,club1,club2,score,match
fm_17598,eafc_4042,Enzo Cantero,15.05.2005,Enzo Marteiro,29.02.1992,FRA,Brazil,Clermont,Flamengo,0.5,False
fm_13034,eafc_4019,Jack Thompson,05.05.2005,J. Thompson,03.01.1997,ENG,Northern Ireland,Nottm Forest,Stoke City,0.5,False
fm_10527,eafc_10886,Saqr Mamdouh,03.10.1998,M. Mamadou,04.10.1998,KSA,Senegal,Al-Batin,İstanbulspor,0.5,False
fm_10750,eafc_11329,Yang Jingfan,29.09.1999,Yang Mingyang,11.07.1995,CHN,Switzerland,Changchun,Nantong Zhiyun,0.5,False
fm_11141,eafc_11391,Han Xuan,13.01.1995,Gan Chao,13.02.1995,CHN,China PR,Wuhan Changjiang,Chengdu Rongcheng,0.5,False
fm_3622,eafc_7931,Yannic Voigt,27.10.2002,Gabri Veiga,27.05.2002,GER,Spain,FSV Zwickau,Al Ahli Jeddah,0.5,False
fm_16352,eafc_7083,Hianga'a Mbock,29.12.1999,H. Mbock,28.12.1999,FRA,France,SM Caen,Caen,0.5,True
fm_11154,eafc_11654,Kang Mingjie,27.02.1999,Yang Yilin,23.02.1999,CHN,China PR,HeB FC,Meizhou Hakka,0.5,False
fm_7153,eafc_10003,Larsson Coulibaly,01.01.2003,Adrián Corral,05.01.2003,CIV,Spain,Lazio,Racing Santander,0.500980392,False
fm_4429,eafc_10959,Enes Yılmaz,08.01.2005,A. Yılmaz,01.01.2004,GER,Turkey,Bayer 04,Trabzonspor,0.501136364,False
fm_1733,eafc_3525,Callum Montgomery,14.05.1997,Z. Vyner,14.05.1997,CAN,England,Minnesota,Bristol City,0.502941176,False
fm_9973,eafc_10813,Nazım Özcan,28.08.2002,Ricardo Fernandes,28.08.2002,TUR,São Tomé e Príncipe,Hatayspor,Estoril,0.502941176,False
fm_3519,eafc_7236,Vincent Gembalies,18.01.2000,A. Flips,18.01.2000,GER,France,MSV Duisburg,Anderlecht,0.502941176,False
fm_8301,eafc_7846,Matteo Montecolle,06.07.2005,M. Godts,07.06.2005,ITA,Belgium,Ternana,Ajax,0.502941176,False
fm_16117,eafc_6990,Gürkan Başkan,01.04.2002,I. Van der Brempt,01.04.2002,TUR,Belgium,Famalicão,Hamburger SV,0.502941176,False
fm_12840,eafc_8977,Vonnte Williams,02.07.2005,Loïc Williams,07.01.2002,ENG,Spain,Crystal Palace,Tenerife,0.503333333,False
fm_5548,eafc_5209,Mico Schmidt,16.02.2005,D. Schmidt,03.02.1992,GER,Japan,Hannover,Sint-Truiden,0.503333333,False
fm_16470,eafc_2120,Álvaro Ginés,15.03.2005,Álvaro Lemos,30.03.1993,ESP,Spain,R. Madrid,Las Palmas,0.503333333,False
fm_12630,eafc_8198,Kyron Gordon,24.05.2002,K. Gordon,05.10.2004,ENG,England,Sheff Utd,Liverpool,0.503333333,False
fm_4402,eafc_7343,Miguel Lemke,09.02.2004,Migue Leal,01.02.1997,GER,Spain,Hansa Rostock,FC Andorra,0.503333333,False
fm_16701,eafc_9247,César Fernández,28.09.2004,J. Fernández,30.01.2004,ESP,Argentina,Vigo,New York City,0.503333333,False
fm_7113,eafc_2302,Andrea Errico,01.01.1999,Andreas Pereira,01.01.1996,ITA,Brazil,Frosinone,Fulham,0.506666667,False
fm_12747,eafc_7675,Owen Hesketh,10.10.2002,P. Nebel,10.10.2002,WAL,Germany,Wolves,Karlsruher SC,0.5125,False
fm_12550,eafc_11044,Tomas Galvez,28.01.2005,Xavi Grande,28.01.2005,FIN,Spain,Man City,Levante,0.5125,False
fm_3973,eafc_6192,Jasper ter Heide,29.03.1999,S. Karweina,29.03.1999,NED,Germany,SC Cambuur,Austria Klagenfurt,0.5125,False
fm_8978,eafc_8958,Matteo Ferro,27.02.2004,L. Gechter,27.02.2004,ITA,Germany,Brescia,Hertha BSC,0.5125,False
fm_13302,eafc_8001,Michael Roxburgh,09.03.2003,Tiago Morais,03.09.2003,ENG,Portugal,Huddersfield,Boavista,0.5125,False
fm_7347,eafc_10993,Ognjen Bogunović,12.07.2004,D. Bolumbu,12.07.2004,SRB,France,Genoa,Caen,0.5125,False
fm_16518,eafc_9799,Mateusão,02.05.2002,M. Usor,05.02.2002,BRA,Nigeria,PTM,LASK Linz,0.5125,False
fm_1361,eafc_9483,Noble Okello,20.07.2000,Del Moral,20.07.2000,CAN,Spain,Toronto FC,Villarreal II,0.5125,False
fm_16669,eafc_3277,Xavi Pleguezuelo,14.01.2003,Pleguezuelo,26.01.1997,ESP,Spain,Real Hispalis,Plymouth Argyle,0.516875,False
fm_17959,eafc_1194,Naké Youssouf,04.03.2006,M. Youssouf,26.03.1988,FRA,Comoros,OGC Nice,Ajaccio,0.52,False
fm_11228,eafc_11367,Zhang Wenxuan,23.08.2004,Zhang Yuan,08.12.1989,CHN,China PR,Guangzhou,Shenzhen,0.52,False
fm_17602,eafc_2584,Álex Muñiz,15.11.2004,Alex Muñoz,30.07.1994,ESP,Spain,Oviedo,Levante,0.52,False
fm_18294,eafc_11128,Jorge Oreiro,19.05.2006,Jorge Benito,01.01.2006,ESP,Spain,R. Madrid,Getafe,0.520833333,False
fm_15772,eafc_3047,Jose Ángel Carrillo,07.01.1994,A. Ferrari,01.07.1994,ESP,Italy,Huesca,Sampdoria,0.521052632,False
fm_16564,eafc_10969,Rafael Luís,18.02.2005,Rafael Devisate,02.08.2005,POR,Brazil,Benfica,Austria Lustenau,0.521666667,False
fm_11484,eafc_6297,Carlos Vinícius,25.03.1995,Vinícius,22.03.1995,BRA,Brazil,Fulham,Fulham,0.521666667,True
fm_3267,eafc_7129,Patrick Möschl,06.03.1993,Patrick William,03.06.1997,AUT,Brazil,VfB Oldenburg,Rio Ave,0.521666667,False
fm_17174,eafc_9806,Dinis Rodrigues,12.01.2005,D. Seimen,01.12.2005,POR,Germany,FC Porto,VfB Stuttgart,0.523333333,False
fm_7601,eafc_6495,Jacopo Gianelli,04.03.2001,C. Mamengi,03.04.2001,ITA,Netherlands,Inter,Almere City,0.523333333,False
fm_4445,eafc_11057,Jorg Schreuders,09.09.2004,B. Stretton,09.09.2004,NED,England,FC Groningen,Coventry City,0.523333333,False
fm_10785,eafc_11486,Shen Xiangtao,27.02.1999,Wen Jiabao,02.01.1999,CHN,China PR,Henan,Shanghai Shenhua,0.525,False
fm_11224,eafc_11610,Sun Zixuan,22.04.2000,Sun Qinhan,21.03.2000,CHN,China PR,Tianjin,Cangzhou Mighty Lions,0.525,False
fm_11764,eafc_11342,Benik Afobe,12.02.1993,Wang Tong,12.02.1993,COD,China PR,Millwall,Shandong Taishan,0.527272727,False
fm_12289,eafc_10181,James Sweet,03.11.2003,J. Enem,11.03.2003,WAL,Netherlands,Arsenal,Venezia,0.527272727,False
fm_2710,eafc_8821,Tobias Bech,19.02.2002,Recasens,19.02.2002,DEN,Spain,FC Ingolstadt 04,Espanyol,0.527272727,False
fm_16639,eafc_8746,Txus Vizcay,05.08.2005,O. Vargas,05.08.2005,ESP,United States,A. Bilbao,Seattle Sounders,0.527272727,False
fm_13542,eafc_7927,Ryan Howley,23.11.2003,E. Brierley,23.11.2003,WAL,England,Coventry,Brentford,0.527272727,False
fm_13319,eafc_10071,Joe Westley,06.07.2005,Joel Roca,07.06.2005,ENG,Spain,Burnley,Girona,0.527272727,False
fm_4298,eafc_9204,Yannick Jerrentrup,16.04.2003,N. Cervantes,16.04.2003,GER,Algeria,Arminia Bielefeld,Troyes,0.530555556,False
fm_4646,eafc_9688,Trustin van 't Loo,25.05.2004,Yellu Santiago,25.05.2004,NED,Spain,sc Heerenveen,Valencia,0.530555556,False
fm_17995,eafc_7674,Tiago Gomes,29.07.2004,Tiago Tomás,16.06.2002,POR,Portugal,Gil Vicente,VfL Wolfsburg,0.531818182,False
fm_18117,eafc_6285,Hugo Hernández,21.05.2005,Javi Hernández,02.05.1998,ESP,Spain,Elche,Cádiz,0.534285714,False
fm_10843,eafc_9080,Yuwen Jiangong,04.01.2003,Lucas Laso,04.01.2003,CHN,Spain,Changchun,Real Oviedo,0.535714286,False
fm_5560,eafc_9843,Michel Schwarz,04.09.2004,M. Damar,09.04.2004,GER,Germany,KSC,Hannover 96,0.535714286,False
fm_5715,eafc_10703,Alexander Paul,16.02.2004,A. Gruaud,16.02.2004,GER,France,Heidenheim,Dunkerque,0.535714286,False
