df1,df2,name1,birthdate1,name2,birthdate2,nat1,nat2,club1,club2,score,match
fm_10799,eafc_3600,He Shaolin,2003-02-28,N. Rieble,1995-08-22,CHN,Germany,Guangzhou,Wehen Wiesbaden,,False
fm_17526,eafc_4194,Mathis Coudour,2006-02-08,D. Schmidt,1992-02-03,FRA,Japan,AS Monaco,Sint-Truiden,,False
fm_13085,eafc_7654,Josh Scott,2002-09-13,J. Ragen,1998-09-24,ENG,United States,Newcastle,Seattle Sounders,,False
fm_12071,eafc_5321,Jay Spearing,1988-11-25,S. Canestrelli,2000-09-11,ENG,Italy,Liverpool,Pisa,,False
fm_7165,eafc_8474,Andrea Coati,2005-01-01,I. Griffith,2001-12-02,ITA,Netherlands,Atalanta,Fortuna Sittard,,False
fm_7108,eafc_11170,Samuele Massolo,1996-05-04,J. Rinne,1993-06-20,ITA,Sweden,Palermo,Al Fateh,,False
fm_17372,eafc_7434,Desthy Nkounkou,2005-03-11,João Graça,1995-06-18,FRA,Portugal,PSG,Rio Ave,,False
fm_1476,eafc_10301,Marlon Hairston,1994-03-23,N. Rieble,1995-08-22,USA,Germany,Columbus,Wehen Wiesbaden,,False
fm_9969,eafc_11236,Anıl Demir,1996-11-04,Z. Erdal,1988-01-05,TUR,Turkey,Ümraniyespor,Sivasspor,,False
fm_7220,eafc_9233,Leonardo Graziani,2005-05-21,M. Desler,1995-02-19,ITA,Denmark,Capitoline,Toulouse,,False
fm_16789,eafc_4369,José Sampaio,2005-01-04,Thiago Rodrigues,1996-06-12,POR,Brazil,Benfica,Arouca,,False
fm_13896,eafc_9593,Martial Godo,2002-03-14,L. Bünning,1998-02-27,ENG,Germany,Fulham,Dynamo Dresden,,False
fm_16529,eafc_2114,Nicolas Reis,1999-06-04,Francisco Moura,1999-08-16,BRA,Portugal,Chaves,Famalicão,,False
fm_4314,eafc_7976,Jan Ecke,2004-06-11,J. Oehmichen,2004-03-03,GER,Germany,Bayer 04,Dynamo Dresden,,False
fm_8613,eafc_2093,Jacopo Rossi,2006-07-10,André Seruca,2000-10-20,ITA,Portugal,Pisa,Farense,,False
fm_17874,eafc_5235,Malick Sylla,2006-01-25,B. Amione,2002-01-03,FRA,Argentina,AS Monaco,Hellas Verona,,False
fm_18109,eafc_7106,João Pimenta,2005-02-09,N. Landgraf,1996-03-01,POR,Germany,Rio Ave,Hallescher FC,,False
fm_10361,eafc_11569,Guan Haojin,1995-08-26,D. Mirani,1996-05-13,CHN,Netherlands,Guangzhou,FC Volendam,,False
fm_8978,eafc_10013,Matteo Ferro,2004-02-27,G. Zaro,1994-05-12,ITA,Italy,Brescia,Modena,,False
fm_8205,eafc_8482,Daniele Quaresima,2004-01-18,Y. Assogba,2001-08-21,ITA,Benin,Lazio,Amiens SC,,False
fm_8639,eafc_6560,Paolo Raimondi,2005-05-14,H. Dotson,1997-08-06,ITA,United States,Parma,Minnesota United,,False
fm_18024,eafc_3654,Nordan Mukiele,2006-02-12,Róber,1995-02-16,FRA,Spain,Rennes,Sporting Gijón,,False
fm_14516,eafc_7468,Javier Pastore,1989-06-20,N. Zézé,2005-06-18,ARG,France,Elche,Nantes,,False
fm_6236,eafc_3007,Jeison Murillo,1992-05-27,T. Ernst,2003-03-15,COL,Germany,Sampdoria,Hertha BSC,,False
fm_4910,eafc_4691,Jason Janssens,2003-09-11,S. Diarra,1998-12-09,BEL,Côte d'Ivoire,Westerlo,Saint-Étienne,,False
fm_8947,eafc_6984,Samuel Gningue,2006-07-01,Matheus Pereira,1998-02-25,ITA,Brazil,Lazio,SD Eibar,,False
fm_8293,eafc_8294,Francesco Perlingieri,2002-05-14,B. Tahirović,2003-03-09,ITA,Bosnia and Herzegovina,Benevento,Ajax,,False
fm_17949,eafc_6025,Rafael Paulino,2004-06-03,Oier Luengo,1997-11-11,POR,Spain,Estoril Praia,Real Oviedo,,False
fm_12364,eafc_4098,Mauro Bandeira,2003-11-18,C. Harper,2001-11-19,POR,United States,Arsenal,New York RB,,False
fm_1736,eafc_6071,Daniel Ríos,2003-03-29,G. Kastanos,1998-01-30,SLV,Cyprus,Houston,Salernitana,,False
fm_7323,eafc_8180,Mattia Ciucci,2002-11-11,Calero,1995-09-14,ITA,Spain,Salento,Espanyol,,False
fm_5715,eafc_4046,Alexander Paul,2004-02-16,Hwang Hee Chan,1996-01-26,GER,Korea Republic,Heidenheim,Wolverhampton Wanderers,,False
fm_1088,eafc_1086,José Cifuentes,1999-03-12,Y. Valery,1999-02-22,ECU,Tunisia,LAFC,Angers SCO,,False
fm_18386,eafc_3979,Renan Pineschi,2004-08-06,N. Sansone,1991-09-10,BRA,Italy,BVT,Lecce,,False
fm_5560,eafc_10934,Michel Schwarz,2004-09-04,A. Onana,1996-04-02,GER,Cameroon,KSC,Manchester United,,False
fm_8741,eafc_9013,Matteo Lanza,2005-02-01,J. Ragen,1998-09-24,ITA,United States,Empoli,Seattle Sounders,,False
fm_5794,eafc_7690,Conner Schulze,2005-01-03,K. Sessa,2000-07-06,GER,Germany,Magdeburg,Heidenheim,,False
fm_8800,eafc_9916,Alessandro Arioli,2003-05-25,B. Riascos,1994-10-10,ITA,Colombia,Cosenza,Gaziantep F.K.,,False
fm_14020,eafc_1209,Olly Thomas,2005-02-14,T. Tattermusch,2001-05-08,ENG,Germany,Bristol City,Borussia Dortmund II,,False
fm_8838,eafc_7220,Santi Russo,2004-03-31,A. Yılmaz,2004-01-01,ITA,Turkey,Reggina,Trabzonspor,,False
fm_6707,eafc_9487,Alex Cordaz,1983-01-01,H. Vandermersch,1999-05-05,ITA,France,Inter,Elversberg,,False
fm_11974,eafc_10055,Will Norris,1993-08-12,C. Doyle,2003-10-03,ENG,England,Burnley,Leicester City,,False
fm_6761,eafc_2072,Rubén Botta,1990-01-31,S. Denswil,1993-05-07,ARG,Suriname,Bari,Trabzonspor,,False
fm_15852,eafc_6984,Samuel Mráz,1997-05-13,N. Landgraf,1996-03-01,SVK,Germany,Mirandés,Hallescher FC,,False
fm_9730,eafc_6395,Berk Yıldız,1996-01-09,Sergi Canós,1997-02-02,TUR,Spain,Adana D.S.,Valencia,,False
fm_18364,eafc_11054,Jesús Mollá,2005-05-28,S. Olsson,1997-09-14,ESP,Sweden,Elche,SC Heerenveen,,False
fm_4889,eafc_10412,Ben Käuper,2004-04-01,João Graça,1995-06-18,GER,Portugal,SV Werder,Rio Ave,,False
fm_5351,eafc_8127,Tyrique Mercera,2003-12-19,K. Laifis,1993-05-19,NED,Cyprus,SC Cambuur,Standard Liège,,False
fm_7925,eafc_4803,Matteo Rovatti,2005-01-06,Marco Suárez,2004-02-07,ITA,Spain,Sassuolo,Real Oviedo,,False
fm_8112,eafc_3568,Antonio Gasparro,2005-01-04,Álex Primo,2004-07-10,ITA,Spain,Salernitana,Levante,,False
fm_8810,eafc_10007,Mass Samba,2004-11-23,A. Campbell,1998-07-04,GAM,Scotland,Perugia,Millwall,,False
fm_13205,eafc_5601,Brian Kinnear,2001-01-16,A. Pembélé,2000-07-04,SCO,France,West Ham,Paris,,False
fm_5981,eafc_9250,Nick Graupner,2005-02-28,Zheng Haoqian,1998-11-16,GER,China PR,Union Berlin,Nantong Zhiyun,,False
fm_4058,eafc_10644,Timo Zaal,2004-02-09,Han Dong,2001-03-02,NED,China PR,sc Heerenveen,Henan,,False
fm_12769,eafc_7016,Keenan Carole,2004-08-04,Pedro Amador,1998-12-18,FRA,Portugal,Leeds,Moreirense,,False
fm_6923,eafc_7264,Ben Lhassine Koné,2000-03-14,M. Bozan,2000-08-23,CIV,Turkey,Frosinone,Gaziantep F.K.,,False
fm_4214,eafc_4026,Luciano Valente,2003-10-04,D. Abzi,1998-11-23,ITA,Canada,FC Groningen,Leganés,,False
fm_17907,eafc_1716,Trévor Letellier,2006-01-26,L. Weinkauf,1996-07-07,FRA,Germany,RC Lens,Hannover 96,,False
fm_10152,eafc_1631,Johnathan Goiano,1990-03-29,N. Zézé,2005-06-18,BRA,France,CD Rongcheng,Nantes,,False
fm_4745,eafc_10335,Ryan van de Pavert,2006-01-24,V. Covil,2003-07-26,NED,United States,Ajax,Hull City,,False
fm_7808,eafc_10925,Gabriele Chiggiato,2005-04-16,G. Fechner,1997-09-05,ITA,Germany,Atalanta,Wehen Wiesbaden,,False
fm_13471,eafc_4621,AJ Bridge,2005-03-21,Yellu Santiago,2004-05-25,ENG,Spain,Middlesbrough,Valencia,,False
fm_4445,eafc_10095,Jorg Schreuders,2004-09-09,C. Vela,1989-03-01,NED,Mexico,FC Groningen,Los Angeles FC,,False
fm_17056,eafc_10345,Karl Essoh,2004-01-08,Mario Gila,2000-08-29,FRA,Spain,Paris FC,Lazio,,False
fm_10068,eafc_7922,Collins Fai,1992-08-13,J. Sambia,1996-09-07,CMR,France,Al-Tai,Salernitana,,False
fm_13319,eafc_9311,Joe Westley,2005-07-06,P. Bochniewicz,1996-01-30,ENG,Poland,Burnley,SC Heerenveen,,False
fm_14756,eafc_10562,Cristo,1997-10-24,Álvaro Valles,1997-07-25,ESP,Spain,S. Gijón,Las Palmas,,False
fm_10843,eafc_9080,Yuwen Jiangong,2003-01-04,André Seruca,2000-10-20,CHN,Portugal,Changchun,Farense,,False
fm_17545,eafc_10911,Jonathan Do Marcolino,2006-05-10,A. Campbell,1998-07-04,FRA,Scotland,Rennes,Millwall,,False
fm_7803,eafc_7022,Federico Mosca,2005-08-08,João Félix,1999-11-10,ITA,Portugal,Udinese,FC Barcelona,,False
fm_10758,eafc_11573,Huang Kaizhou,2002-05-13,Yang Mingyang,1995-07-11,CHN,Switzerland,Guangzhou,Nantong Zhiyun,,False
fm_13559,eafc_2886,Tommy Jackson,2004-01-24,David Carmo,1999-07-19,ENG,Portugal,Stoke,Porto,,False
fm_17350,eafc_11077,Victor Joseph,2006-04-10,R. Lewandowski,1988-08-21,FRA,Poland,FCSM,FC Barcelona,,False
fm_8708,eafc_5183,Sergo De Luca,2006-05-03,C. Noß,2001-01-01,ITA,Republic of Ireland,Cosenza,Blau-Weiß Linz,,False
fm_6035,eafc_6696,Lukas Schmitt,2005-10-08,Yuan Junjie,2005-10-03,GER,China PR,Hansa Rostock,Shenzhen,,False
fm_5963,eafc_2255,Lucas Tamarez,2004-09-11,L. Baker,1995-04-25,USA,England,Hoffenheim,Stoke City,,False
fm_17799,eafc_6592,Antonio Muñoz,2005-01-13,Daniel Queipo,2002-05-22,ESP,Spain,Albacete,Sporting Gijón,,False
fm_13618,eafc_11309,Kadan Young,2006-01-19,R. Sallai,1997-05-22,ENG,Hungary,Aston Villa,SC Freiburg,,False
fm_13523,eafc_3780,Caden Kelly,2003-11-20,Fabinho,1993-10-23,ENG,Brazil,Sunderland,Al Ittihad,,False
fm_2350,eafc_10368,Tom Trybull,1993-03-09,K. Molino,1990-06-17,GER,Trinidad and Tobago,Sandhausen,Columbus Crew,,False
fm_4298,eafc_9204,Yannick Jerrentrup,2003-04-16,M. Trauco,1992-08-25,GER,Peru,Arminia Bielefeld,San Jose Earthquakes,,False
fm_4646,eafc_9688,Trustin van 't Loo,2004-05-25,P. Jones,2003-06-09,NED,Wales,sc Heerenveen,Huddersfield Town,,False
fm_5342,eafc_2366,Sem Langendonk,2005-01-07,Loïc Williams,2002-01-07,NED,Spain,Go Ahead Eagles,Tenerife,,False
fm_13542,eafc_7927,Ryan Howley,2003-11-23,Li Shuai,1995-06-18,WAL,China PR,Coventry,Shanghai Port,,False
fm_12289,eafc_10181,James Sweet,2003-11-03,J. Ragen,1998-09-24,WAL,United States,Arsenal,Seattle Sounders,,False
fm_11764,eafc_11342,Benik Afobe,1993-02-12,M. Desler,1995-02-19,COD,Denmark,Millwall,Toulouse,,False
fm_16639,eafc_8746,Txus Vizcay,2005-08-05,A. Lozano,1993-04-25,ESP,Honduras,A. Bilbao,Getafe,,False
fm_2710,eafc_8821,Tobias Bech,2002-02-19,K. Sessa,2000-07-06,DEN,Germany,FC Ingolstadt 04,Heidenheim,,False
fm_14083,eafc_3600,Oli Challinor,2006-02-04,Francisco Moura,1999-08-16,ENG,Portugal,Stoke,Famalicão,,False
fm_4208,eafc_7154,Arbnor Murati,2004-04-07,B. Balogh,2002-06-06,MKD,Hungary,MSV Duisburg,Parma,,False
fm_9819,eafc_6103,Özkan Yiğiter,2000-01-07,J. Daland,2000-01-06,TUR,Norway,Sivasspor,Cercle Brugge,,False
fm_4635,eafc_9271,Tjeerd Dekker,2004-01-25,G. Lapadula,1990-02-07,NED,Peru,Feyenoord,Cagliari,,False
fm_4379,eafc_5585,Mathijs Menu,2005-05-01,Mateus,1994-09-11,NED,Brazil,AZ,Al Taawon,,False
fm_4079,eafc_5450,Tobias Jensen,2006-02-10,Yellu Santiago,2004-05-25,DEN,Spain,Club Brugge,Valencia,,False
fm_4844,eafc_3563,David Engojan,2000-02-21,L. Weinkauf,1996-07-07,GER,Germany,Magdeburg,Hannover 96,,False
fm_6858,eafc_9631,Luca Matarese,1998-04-16,R. Pucino,1991-05-03,ITA,Italy,Frosinone,Bari 1908,,False
fm_8326,eafc_11471,Davide Zanoni,2005-03-25,M. Rogers,2002-07-26,ITA,England,Verona,Middlesbrough,,False
fm_7601,eafc_6495,Jacopo Gianelli,2001-03-04,A. Lozano,1993-04-25,ITA,Honduras,Inter,Getafe,,False
fm_8918,eafc_7129,Patrick Prosch,2005-03-27,A. Onana,1996-04-02,ITA,Cameroon,Südtirol,Manchester United,,False
fm_18142,eafc_9870,Álvaro Subisaga,2004-01-08,Vinícius,1995-03-22,ESP,Brazil,R. Santander,Fulham,,False
fm_7515,eafc_6558,Nicolò Turco,2004-01-15,Zhao Jianfei,1999-01-21,ITA,China PR,Juventus,Shandong Taishan,,False
fm_18353,eafc_4207,Sidney Powell,2004-02-14,Víctor Ruiz,1993-11-02,DEN,Spain,MRT,Al Fayha,,False
fm_9239,eafc_10976,Marco Di Nunzio,2005-03-11,Naim García,2002-06-11,ITA,Spain,Lazio,Leganés,,False
fm_7367,eafc_2205,Mattia Arrigoni,2006-05-11,Gabriel Pirani,2002-04-12,ITA,Brazil,Atalanta,DC United,,False
fm_16486,eafc_4988,Martin Georgiev,2005-09-24,B. Sweat,1991-09-04,BUL,United States,Barcelona,New England,,False
fm_15492,eafc_11187,Percy Liza,2000-04-10,Calero,1995-09-14,PER,Spain,MRT,Espanyol,,False
fm_17856,eafc_2927,Mathis Philippe,2005-09-22,A. Fontanarosa,2003-01-07,FRA,Italy,FC Nantes,Cosenza,,False
fm_8363,eafc_4167,Michael Armani,2004-09-23,Zhang Wentao,1993-04-14,ITA,China PR,Udinese,Wuhan Three Towns,,False
fm_9981,eafc_6315,Ümit Akdağ,2003-10-06,H. Dotson,1997-08-06,TUR,United States,Alanyaspor,Minnesota United,,False
fm_9116,eafc_7022,Francesco Stazi,2005-10-10,M. Hoffmeier,1999-07-15,ITA,Germany,Frosinone,Paderborn,,False
