df1,df2,name1,birthdate1,name2,birthdate2,nat1,nat2,club1,club2,score,match
fm_4208,eafc_8217,Arbnor Murati,2004-04-07,A. Schulz,2003-03-23,MKD,Germany,MSV Duisburg,Paderborn,,False
fm_5237,eafc_7603,Mark Huizenga,2004-01-12,M. Damar,2004-04-09,NED,Germany,sc Heerenveen,Hannover 96,,False
fm_12852,eafc_10944,David Aziaya,2004-08-03,A. Novakovich,1996-09-21,ENG,United States,Norwich,Lecco,,False
fm_4079,eafc_11100,Tobias Jensen,2006-02-10,D. Williams,2003-09-13,DEN,England,Club Brugge,Chelsea,,False
fm_6858,eafc_4807,Luca Matarese,1998-04-16,I. Griffith,2001-12-02,ITA,Netherlands,Frosinone,Fortuna Sittard,,False
fm_8838,eafc_11675,Santi Russo,2004-03-31,M. Senesi,1997-05-10,ITA,Argentina,Reggina,AFC Bournemouth,,False
fm_11009,eafc_7551,Xiong Guohong,2003-03-01,Romarinho,1990-12-12,CHN,Brazil,DL Pro,Al Ittihad,,False
fm_11041,eafc_6807,Bughrahan Iskandar,2000-08-11,A. Schulz,2003-03-23,CHN,Germany,CZ Mighty Lions,Paderborn,,False
fm_12210,eafc_9674,Teddy Sharman-Lowe,2003-03-30,K. Vinetot,1988-06-14,ENG,France,Chelsea,Südtirol,,False
fm_5614,eafc_10930,Jaynilson Geoffrey,2005-12-01,J. Lowe,1994-07-21,NED,Jamaica,Ajax,Swansea City,,False
fm_13558,eafc_9843,Seb Palmer-Houlden,2004-04-09,Astralaga,2004-03-03,ENG,Spain,Bristol City,FC Barcelona,,False
fm_14775,eafc_5333,Rodrigo Conceição,2000-01-02,M. Tchokounté,1988-09-11,POR,France,FC Porto,Laval,,False
fm_16912,eafc_8620,Maher Bouyadel,2003-01-17,M. Youssouf,1988-03-26,FRA,Comoros,VTSC,Ajaccio,,False
fm_5851,eafc_9994,Johannes Birkl,2004-01-14,A. Dønnum,1998-04-20,GER,Norway,FC Ingolstadt 04,Toulouse,,False
fm_5536,eafc_11123,Ramazan Bayram,2004-10-12,E. Brierley,2003-11-23,NED,England,Fortuna Sittard,Brentford,,False
fm_12278,eafc_11212,Micah Hamilton,2003-11-13,G. Jean,2000-02-19,ENG,France,Man City,Annecy,,False
fm_2720,eafc_4750,Lee Dong-Geong,1997-09-20,I. Kandouss,1997-11-12,KOR,Morocco,Hansa Rostock,Gent,,False
fm_16071,eafc_5774,Mattéo Ahlinvi,1999-07-02,Y. Malede,1999-11-14,BEN,Israel,Dijon FCO,Mechelen,,False
fm_7442,eafc_10266,Umberto Morleo,2005-01-20,I. Maatsen,2002-03-10,ITA,Netherlands,Juventus,Chelsea,,False
fm_7545,eafc_9041,Matteo Basti,2004-04-05,J. Ragen,1998-09-24,ITA,United States,Inter,Seattle Sounders,,False
fm_9932,eafc_8254,Fhed Al-Shlash,2002-01-01,L. Campana,2000-06-24,SYR,Ecuador,Adana D.S.,Inter Miami,,False
fm_1088,eafc_4804,José Cifuentes,1999-03-12,G. Zaro,1994-05-12,ECU,Italy,LAFC,Modena,,False
fm_8639,eafc_10215,Paolo Raimondi,2005-05-14,K. Gordon,2004-10-05,ITA,England,Parma,Liverpool,,False
fm_14106,eafc_3417,Narel Phillips,2004-10-02,J. Storey,1997-09-02,ENG,England,West Brom,Preston North End,,False
fm_10845,eafc_11625,Chen Jinyu,2003-03-26,Róber,1995-02-16,CHN,Spain,Guangzhou,Sporting Gijón,,False
fm_15998,eafc_2782,Bruno Almeida,1996-09-09,M. Almirón,1994-02-10,POR,Paraguay,Santa Clara,Newcastle United,,False
fm_7334,eafc_6984,Samuel Iling,2003-10-04,N. Zézé,2005-06-18,ENG,France,Juventus,Nantes,,False
fm_10801,eafc_11684,Zhao Jihan,2001-10-16,Luiz Felipe,1997-03-22,CHN,Italy,Henan,Al Ittihad,,False
fm_5373,eafc_6984,Samuel Dikoš,2006-03-13,P. Jones,2003-06-09,SVK,Wales,FC Groningen,Huddersfield Town,,False
fm_5344,eafc_10562,Dries Martens,2005-08-08,R. Mundle,2003-04-24,NED,England,Go Ahead Eagles,Standard Liège,,False
fm_14795,eafc_2085,Helibelton Palacios,1993-06-09,Wu Yake,1991-02-03,COL,China PR,Elche,Changchun Yatai,,False
fm_8293,eafc_8294,Francesco Perlingieri,2002-05-14,Hwang Hee Chan,1996-01-26,ITA,Korea Republic,Benevento,Wolverhampton Wanderers,,False
fm_10972,eafc_11274,Jiang Weiyi,2004-01-19,P. Bernardoni,1997-04-18,CHN,France,Beijing,Konyaspor,,False
fm_10883,eafc_11409,Wang Junbo,2002-05-21,M. Ruggeri,2002-07-11,CHN,Italy,CZ Mighty Lions,Atalanta,,False
fm_11845,eafc_2903,Nick Powell,1994-03-23,C. Baumgartner,1999-08-01,ENG,Austria,Stoke,RB Leipzig,,False
fm_10985,eafc_11461,Lyu Shihao,2002-07-16,A. Novakovich,1996-09-21,CHN,United States,Guangzhou,Lecco,,False
fm_14741,eafc_5038,Pedro Bigas,1990-05-15,D. Boloca,1998-12-22,ESP,Romania,Elche,Sassuolo,,False
fm_2429,eafc_9141,Janni Serra,1998-04-13,A. Mumin,1998-06-06,GER,Ghana,Arminia Bielefeld,Rayo Vallecano,,False
fm_16840,eafc_9263,Pablo Lomas,2005-04-14,T. Tattermusch,2001-05-08,ESP,Germany,R. Santander,Borussia Dortmund II,,False
fm_10361,eafc_11495,Guan Haojin,1995-08-26,C. Mamengi,2001-04-03,CHN,Netherlands,Guangzhou,Almere City,,False
fm_8800,eafc_9916,Alessandro Arioli,2003-05-25,F. Lakenmacher,2000-05-10,ITA,Germany,Cosenza,1860 München,,False
fm_13085,eafc_9536,Josh Scott,2002-09-13,F. Winther,2001-01-04,ENG,Denmark,Newcastle,FC Augsburg,,False
fm_5973,eafc_10909,Arda Bilgilisoy,2005-01-29,Dong Yu,1994-07-15,GER,China PR,Eintracht Frankfurt,Zhejiang,,False
fm_17372,eafc_11710,Desthy Nkounkou,2005-03-11,I. Kandouss,1997-11-12,FRA,Morocco,PSG,Gent,,False
fm_8810,eafc_9514,Mass Samba,2004-11-23,D. Abzi,1998-11-23,GAM,Canada,Perugia,Leganés,,False
fm_18142,eafc_8929,Álvaro Subisaga,2004-01-08,O. Ighalo,1989-06-16,ESP,Nigeria,R. Santander,Al Wahda,,False
fm_2023,eafc_6215,Sonny Kittel,1993-01-06,Romarinho,1990-12-12,GER,Brazil,HSV,Al Ittihad,,False
fm_10799,eafc_10371,He Shaolin,2003-02-28,Nanu,1994-05-17,CHN,Guinea Bissau,Guangzhou,Samsunspor,,False
fm_9239,eafc_11710,Marco Di Nunzio,2005-03-11,D. Peeters,1999-01-26,ITA,Belgium,Lazio,Südtirol,,False
fm_4652,eafc_8597,Leonard Seyfert,2003-02-10,M. Ellertsson,2002-03-11,GER,Iceland,FSV Zwickau,Venezia,,False
fm_17329,eafc_10999,Jordan Monteiro,2004-01-21,D. Schmidt,1992-02-03,POR,Japan,BRG,Sint-Truiden,,False
fm_5407,eafc_8081,Elijah Mansaray,2003-10-24,G. Fechner,1997-09-05,NED,Germany,FC Emmen,Wehen Wiesbaden,,False
fm_17856,eafc_10598,Mathis Philippe,2005-09-22,Wang Tong,1993-02-12,FRA,China PR,FC Nantes,Shandong Taishan,,False
fm_5351,eafc_10995,Tyrique Mercera,2003-12-19,Ye Chugui,1994-09-08,NED,China PR,SC Cambuur,Meizhou Hakka,,False
fm_13621,eafc_10362,Yusuf Akhamrich,2005-09-05,Iván Gil,2000-01-18,ENG,Spain,Tottenham,FC Andorra,,False
fm_6952,eafc_5873,Mladen Devetak,1999-03-12,De La Hoz,1992-03-30,SRB,Spain,Palermo,Real Valladolid,,False
fm_9969,eafc_2517,Anıl Demir,1996-11-04,A. Al Hamdan,1999-09-13,TUR,Saudi Arabia,Ümraniyespor,Al Hilal,,False
fm_9981,eafc_7752,Ümit Akdağ,2003-10-06,L. Weinkauf,1996-07-07,TUR,Germany,Alanyaspor,Hannover 96,,False
fm_10842,eafc_11594,Zhang Jingxiang,2001-03-18,K. Gordon,2004-10-05,CHN,England,CZ Mighty Lions,Liverpool,,False
fm_5935,eafc_4269,Benjamin Krist,2004-02-11,L. Lonardi,1999-02-10,GER,Italy,FC Augsburg,Südtirol,,False
fm_1019,eafc_3877,Christian Fuchs,1986-04-07,A. Pembélé,2000-07-04,AUT,France,Charlotte FC,Paris,,False
fm_12769,eafc_7016,Keenan Carole,2004-08-04,Rafael Devisate,2005-08-02,FRA,Brazil,Leeds,Austria Lustenau,,False
fm_5981,eafc_9250,Nick Graupner,2005-02-28,Álex Primo,2004-07-10,GER,Spain,Union Berlin,Levante,,False
fm_12503,eafc_11172,Yago Santiago,2003-04-15,Alex Telles,1992-12-15,ESP,Brazil,Tottenham,Al Nassr,,False
fm_10881,eafc_11527,Yan Bingliang,2000-04-03,R. Sallai,1997-05-22,CHN,Hungary,Tianjin,SC Freiburg,,False
fm_13205,eafc_5601,Brian Kinnear,2001-01-16,L. Bünning,1998-02-27,SCO,Germany,West Ham,Dynamo Dresden,,False
fm_4058,eafc_10644,Timo Zaal,2004-02-09,Álvaro Valles,1997-07-25,NED,Spain,sc Heerenveen,Las Palmas,,False
fm_18063,eafc_10071,Yaël Nandjou Kwingoua,2005-07-06,E. Brierley,2003-11-23,FRA,England,OGC Nice,Brentford,,False
fm_11670,eafc_10811,Malachi Fagan-Walcott,2002-03-11,D. Schmidt,1992-02-03,ENG,Japan,Tottenham,Sint-Truiden,,False
fm_7822,eafc_3091,Diego Russo,2005-04-20,Yin Hongbo,1989-10-30,ITA,China PR,Udinese,Meizhou Hakka,,False
fm_17989,eafc_10624,Gabriel Carvalho,2004-01-11,I. Van der Brempt,2002-04-01,POR,Belgium,A. Madrid,Hamburger SV,,False
fm_9251,eafc_9656,Leon Di Venanzio,2005-02-15,H. Vandermersch,1999-05-05,ITA,France,Lazio,Elversberg,,False
fm_5885,eafc_10082,Marten Brink,2005-04-18,J. Medranda,1994-02-07,GER,Colombia,Paderborn,Columbus Crew,,False
fm_14257,eafc_2029,Shkodran Mustafi,1992-04-17,M. Bozan,2000-08-23,GER,Turkey,Levante,Gaziantep F.K.,,False
fm_7676,eafc_9373,Isaac Annan,2005-08-11,Zaldúa,1992-06-24,GHA,Spain,Parma,Cádiz,,False
fm_10152,eafc_1897,Johnathan Goiano,1990-03-29,J. Hungbo,2000-01-15,BRA,England,CD Rongcheng,Nürnberg,,False
fm_13407,eafc_9290,Matt Dibley-Dias,2003-10-29,N. Kosović,1995-02-24,ENG,Montenegro,Fulham,Meizhou Hakka,,False
fm_10994,eafc_9966,Han Yalin,2004-03-12,David Ferreiro,1988-04-01,CHN,Spain,Beijing,FC Cartagena,,False
fm_17056,eafc_10345,Karl Essoh,2004-01-08,B. Riascos,1994-10-10,FRA,Colombia,Paris FC,Gaziantep F.K.,,False
fm_10068,eafc_7922,Collins Fai,1992-08-13,J. Sambia,1996-09-07,CMR,France,Al-Tai,Salernitana,,False
fm_14756,eafc_10562,Cristo,1997-10-24,M. Ndiaye,2000-11-21,ESP,Senegal,S. Gijón,Estoril,,False
fm_14661,eafc_4977,Joãozinho,1989-07-02,Javi Hernández,1998-05-02,POR,Spain,Estoril Praia,Cádiz,,False
fm_13414,eafc_9029,Daniel Pike,2002-01-09,Abraham,2001-07-05,ENG,Spain,Blackburn,Villarreal II,,False
fm_15852,eafc_6625,Samuel Mráz,1997-05-13,A. Novakovich,1996-09-21,SVK,United States,Mirandés,Lecco,,False
fm_15775,eafc_1111,Lloyd Palun,1988-11-28,J. Lowe,1994-07-21,GAB,Jamaica,SC Bastia,Swansea City,,False
fm_7290,eafc_10576,Clinton Nsiala Makengo,2004-01-17,D. Doué,2005-06-03,FRA,France,Milan,Rennes,,False
fm_12693,eafc_9360,Seb Quirk,2001-12-05,D. Boloca,1998-12-22,ENG,Romania,Everton,Sassuolo,,False
