df1,df2,name1,birthdate1,name2,birthdate2,nat1,nat2,club1,club2,score,match
tm_2454,fm_10215,Abdullah Al-Qahtani,01.01.1997,Abdullah Al-Mayouf,23.01.1987,Saudi Arabia,KSA,Damac FC,Al-Hilal (KSA),0.553947368,False
tm_9151,fm_9294,Riccardo Melgrati,17.06.1994,Riccardo Fagotti,06.10.2005,Italy,ITA,Calcio Lecco 1912,Perugia,0.554117647,False
tm_8768,fm_8424,Giuseppe Aurelio,22.03.2000,Giuseppe D'Angelo,03.04.2006,Italy,ITA,Palermo FC,Parthenope,0.554117647,False
tm_9153,fm_7256,Matteo Battistini,18.02.1994,Matteo Masini,17.02.2005,Italy,ITA,Calcio Lecco 1912,Empoli,0.554117647,False
tm_2921,fm_18177,Hengye Yan,04.09.2003,Sergio Caño,04.09.2003,China,ESP,,Elche,0.554545455,False
tm_3318,fm_2710,Tian Li,19.02.2002,Tobias Bech,19.02.2002,China,DEN,Nantong Zhiyun,FC Ingolstadt 04,0.554545455,False
tm_5119,fm_15171,Maga,16.11.2002,Miguel Maga,16.11.2002,Portugal,POR,Vitória Guimarães SC,VTSC,0.554545455,True
tm_3210,fm_10795,Ziyi Tian,27.01.2001,Zhang Yitao,27.01.2001,China,CHN,Shenzhen FC,CD Rongcheng,0.554545455,False
tm_10802,fm_2594,Sidi Sané,21.04.2003,Xavi Simons,21.04.2003,Germany,NED,Eintracht Braunschweig,PSV,0.554545455,False
tm_10766,fm_2389,Sebastian Saftig,05.02.2002,Sebastiano Esposito,02.07.2002,Germany,ITA,SV 07 Elversberg,RSC Anderlecht,0.555263158,False
tm_10781,fm_16852,Justin Duda,05.02.2003,Justin Smith,04.02.2003,Germany,CAN,Eintracht Braunschweig,QRM,0.558333333,False
tm_8579,fm_11594,Amadou Ba-Sy,08.06.2001,Amadou Onana,16.08.2001,France,BEL,USL Dunkerque,Everton,0.558333333,False
tm_1883,fm_2554,Nils Kaiser,03.02.2002,Nils Seufert,03.02.1997,Germany,GER,Rot-Weiss Essen,Fürth,0.558333333,False
tm_2496,fm_15963,Naif Asiri,18.02.2001,Nabil Alioui,18.02.1999,Saudi Arabia,FRA,Al-Okhdood Club,Havre AC,0.558333333,False
tm_8142,fm_13045,Danel Dongmo,31.01.2001,Daniel Dodds,17.01.2001,Cameroon,ENG,,Middlesbrough,0.558333333,False
tm_9632,fm_16756,Alberto Reina,09.09.1997,Alberto Costa,29.09.2003,Spain,POR,CD Mirandés,VTSC,0.559615385,False
tm_9574,fm_1544,Juan Gutiérrez,28.01.2000,Brian Gutiérrez,17.06.2003,Spain,USA,Racing Santander,Chicago,0.56,False
tm_8331,fm_14488,Sofiane Boudraa,30.06.2003,Sofiane Boufal,17.09.1993,France,MAR,Valenciennes FC,Angers SCO,0.56,False
