df1,df2,name1,birthdate1,name2,birthdate2,nat1,nat2,club1,club2,score,match
tm_3221,fm_10701,Ning Li,2001-10-20,Ning An,1995-10-08,China,CHN,Shenzhen FC,GZ City,0.56,False
tm_2794,fm_5736,Marcel Gaus,1989-08-02,Marcel Zajusch,2006-08-19,Germany,POL,1.FC Saarbrücken,RB Leipzig,0.56,False
tm_9083,fm_6354,Mattia Zennaro,2000-08-03,Mattia Destro,1991-03-20,Italy,ITA,Feralpisalò,Empoli,0.56,False
tm_5326,fm_3798,Matías Lacava,2002-10-24,Matías Galarza,2002-03-04,Venezuela,ARG,,KRC Genk,0.56,False
tm_2453,fm_10340,Abdulaziz Al-Shahrani,1994-10-29,Abdulaziz Al-Bishi,1994-03-11,Saudi Arabia,KSA,Damac FC,Al-Ittihad,0.56,False
tm_5382,fm_14731,Héctor Hernández,1995-09-14,Héctor,1995-09-14,Spain,ESP,GD Chaves,Chaves,0.5625,True
tm_9542,fm_16860,Miguel Ángel Morro,2000-09-11,Miguel Ángel Ruiz,2002-04-09,Spain,ESP,Rayo Vallecano,Villarreal B,0.5655555555555556,False
tm_5205,fm_1640,Jesús Castillo,2001-06-11,Jesús Castellano,2004-03-22,Peru,VEN,Gil Vicente FC,New York,0.56875,False
tm_9431,fm_18105,Fernando Medrano,2000-03-26,Fernando Moreno,2004-10-15,Spain,ESP,CD Tenerife,Leganés,0.56875,False
tm_3517,fm_4543,Silvano Vos,2005-03-16,Delano Vos,2005-01-15,Netherlands,NED,Ajax Amsterdam,FC Utrecht,0.5690909090909091,False
tm_1782,fm_2365,Marco Wolf,2001-02-05,Marius Wolf,1995-05-27,Germany,GER,Hallescher FC,Borussia Dortmund,0.5690909090909091,False
tm_4795,fm_12195,Ryan Mendes,1990-01-08,Ryan Hedges,1995-07-08,Cape Verde,WAL,Fatih Karagümrük,Blackburn,0.5690909090909091,False
tm_9780,fm_1094,Glen Kamara,1995-10-28,Ola Kamara,1989-10-15,Finland,NOR,Leeds United,D.C. United,0.5690909090909091,False
tm_1518,fm_16029,Jonathan Dean,1997-05-15,Javi Díaz,1997-05-15,United States,ESP,Chicago Fire FC,Tenerife,0.5692307692307692,False
tm_2026,fm_17705,Simon Dorfner,2004-09-22,Hugo Barbier,2004-09-22,Germany,FRA,SpVgg Unterhaching,RC Lens,0.5692307692307692,False
tm_3147,fm_11122,Liangkuan Jin,2002-01-28,Jin Liangkuan,2002-01-28,China,CHN,Meizhou Hakka,GZ City,0.5692307692307692,True
tm_3199,fm_10491,Zichang Huang,1997-04-04,Huang Zichang,1997-04-04,China,CHN,Henan FC,Henan,0.5692307692307692,True
tm_3045,fm_11553,Manuel Palacios,1993-02-13,Manuel Lanzini,1993-02-15,Colombia,ARG,Chengdu Rongcheng,West Ham,0.57,False
tm_10277,fm_3100,Dominic Iorfa,1995-06-24,Dominic Baumann,1995-04-24,England,GER,Sheffield Wednesday,FSV Zwickau,0.57,False
tm_2402,fm_10359,Abdullah Al-Mogren,1996-11-16,Abdullah Al-Khaibari,1996-08-16,Saudi Arabia,KSA,Al-Fateh SC,Al-Nassr (KSA),0.57,False
tm_3375,fm_10390,Ali Al-Asmari,1997-01-12,Khaled Al-Sumairi,1997-01-01,Saudi Arabia,KSA,Al-Ahli SFC,Al-Khaleej (KSA),0.5705882352941176,False
tm_9251,fm_14513,John Victor,1996-02-13,João Victor,1998-07-17,Brazil,BRA,,Benfica,0.5727272727272726,False
tm_9000,fm_1965,Federico Zuccon,2003-04-01,Federico Ricca,1994-12-01,Italy,URU,Atalanta BC,OHL,0.5733333333333333,False
tm_9111,fm_7510,Lorenzo Lonardi,1999-02-10,Lorenzo Romani,2005-02-28,Italy,ITA,FC Südtirol,Fiorentina,0.5733333333333333,False
tm_1169,fm_16159,Tomás Chancalay,1999-01-01,Tomás Alarcón,1999-01-19,Argentina,CHI,,Cádiz,0.5733333333333333,False
tm_2730,fm_6470,Alessio Besio,2004-03-18,Alessio Zerbin,1999-03-03,Switzerland,ITA,SC Freiburg II,Parthenope,0.575,False
tm_9227,fm_15389,Yoel Rodríguez,1988-08-28,Dani Rodríguez,1988-06-06,Spain,ESP,SD Eibar,Mallorca,0.575,False
tm_2349,fm_10194,Mohammed Al-Oufi,2002-08-08,Mohammed Al-Owais,1991-10-10,Saudi Arabia,KSA,Abha Club,Al-Hilal (KSA),0.5764705882352941,False
tm_5065,fm_2253,Joe Mendes,2002-12-31,Joe Scally,2002-12-31,Sweden,USA,SC Braga,Borussia M'gladbach,0.58,False
tm_2245,fm_3821,Nasser Al-Bishi,2002-06-03,Ameen Al-Dakhil,2002-03-06,Saudi Arabia,BEL,Al-Shabab FC,STVV,0.58,False
tm_5288,fm_6594,Dinis Pinto,2000-08-24,Emanuel Vignato,2000-08-24,Portugal,ITA,Moreirense FC,Bologna,0.58,False
tm_9676,fm_6546,Luca Ferrone,1993-06-07,Luca Marrone,1990-03-28,Italy,ITA,Racing Ferrol,Brianza,0.5833333333333334,False
tm_8329,fm_17855,David Kruse,2002-05-15,David Brosed,2005-11-05,Denmark,ESP,Valenciennes FC,Huesca,0.585,False
tm_5929,fm_1764,Sadibou Sané,2004-06-10,Sadio Mané,1992-04-10,Senegal,SEN,FC Metz,FC Bayern,0.585,False
tm_2618,fm_10420,Rayan Al-Dossary,2004-07-01,Rayan Al-Mousa,1994-07-24,Saudi Arabia,KSA,Al-Khaleej FC,Damac,0.585,False
tm_2056,fm_17204,Tomás Avilés,2004-02-03,Tomás Inglés,2004-04-07,Argentina,ESP,Inter Miami CF,Málaga,0.585,False
