df1,df2,name1,birthdate1,name2,birthdate2,nat1,nat2,club1,club2,score,match
tm_1037,fm_13787,Nolan Norris,2005-02-17,Robert Voloder,2001-05-09,United States,GER,FC Dallas,Sporting KC,,False
tm_2559,fm_2054,Farhan Al-Aazmi,1994-07-31,Loïc Mbe Soh,2001-06-13,Saudi Arabia,FRA,Al-Hazem SC,Nottm Forest,,False
tm_1665,fm_16318,Ousman Jabang,2001-03-29,Oliver Zandén,2001-08-14,United States,SWE,CF Montréal,Toulouse FC,,False
tm_3286,fm_10490,Xingyu Ma,1989-11-04,Ajdin Hrustic,1996-07-05,China,AUS,Qingdao Hainiu,Verona,,False
tm_9092,fm_1750,Mattia Compagnon,2001-11-06,Morgan Rogers,2002-07-26,Italy,ENG,,Man City,,False
tm_8204,fm_18348,Guédé Nadje,2003-11-12,Michaël Frey,1994-07-19,France,SUI,Angers SCO,Antwerp,,False
tm_9359,fm_14701,Giorgi Kochorashvili,1999-06-29,Matteo Rover,1999-02-20,Georgia,ITA,Levante UD,Südtirol,,False
tm_8454,fm_10912,Ange Ahoussou,2003-12-22,Oscar Vilhelmsson,2003-10-02,Cote d'Ivoire,SWE,Pau FC,Darmstadt,,False
tm_3275,fm_10479,Yibo Sha,1991-01-07,Aloïs Confais,1996-09-07,China,FRA,Qingdao Hainiu,Havre AC,,False
tm_3348,fm_3877,Musab Al-Juwayr,2003-06-20,Ameen Al-Dakhil,2002-03-06,Saudi Arabia,BEL,Al-Hilal SFC,STVV,,False
tm_2022,fm_8764,Andreas Hirtlreiter,2003-03-22,Vedat Karakuş,1998-02-28,Germany,TUR,SpVgg Unterhaching,Adana D.S.,,False
tm_4148,fm_7267,Bakary Haidara,2005-06-01,Andrea Carboni,2001-02-04,Cote d'Ivoire,ITA,KVC Westerlo,Brianza,,False
tm_2280,fm_10424,Saleh Al-Ohaymid,1998-05-21,Mitchell van Bergen,1999-08-27,Saudi Arabia,NED,Al-Ittihad Club,Reims,,False
tm_5539,fm_2810,Fabian Rieder,2002-02-16,Maurice Multhaup,1996-12-15,Switzerland,GER,Stade Rennais FC,Braunschweig,,False
tm_3864,fm_5874,Diego van Oorschot,2005-10-02,Manu,2004-01-05,Netherlands,ESP,Heracles Almelo,Málaga,,False
tm_3251,fm_10338,Wei Wu,1997-02-05,Alexander Brunst,1995-07-07,China,GER,Dalian Professional,Darmstadt,,False
tm_3271,fm_13219,Xinkai Lü,2004-10-12,Emirhan Delifer,2005-01-11,China,GER,Qingdao Hainiu,Paderborn,,False
tm_10393,fm_4590,Linus Gechter,2004-02-27,Hugo Vallejo,2000-02-15,Germany,ESP,Hertha BSC,Ponferrada,,False
tm_8231,fm_7009,Abdoul Tapsoba,2001-08-23,Mason Burstow,2003-08-04,Burkina Faso,ENG,Standard Liège,Chelsea,,False
