df1,df2,name1,birthdate1,name2,birthdate2,nat1,nat2,club1,club2,score
fm_11897,tm_9870,Jamal Lowe,1994-07-21,Jamal Lowe,1994-07-21,JAM,Jamaica,Bournemouth,AFC Bournemouth,True
fm_14264,tm_3397,Alex Telles,1992-12-15,Alex Telles,1992-12-15,BRA,Brazil,Sevilla,Al-Nassr FC,True
fm_11546,tm_6064,Rasmus Kristensen,1997-07-11,Rasmus Kristensen,1997-07-11,DEN,Denmark,Leeds,Leeds United,True
fm_7072,tm_8731,Simone Canestrelli,2000-09-11,Simone Canestrelli,2000-09-11,ITA,Italy,Pisa,Pisa Sporting Club,True
fm_1101,tm_2158,Alejandro Bedoya,1987-04-29,Alejandro Bedoya,1987-04-29,USA,United States,Philadelphia,Philadelphia Union,True
fm_2570,tm_5856,Aron Dønnum,1998-04-20,Aron Dønnum,1998-04-20,NOR,Norway,Standard,FC Toulouse,True
fm_14223,tm_7201,Pau Torres,1997-01-16,Pau Torres,1997-01-16,ESP,Spain,Villarreal,Aston Villa,True
fm_2783,tm_8058,Kevin Sessa,2000-07-06,Kevin Sessa,2000-07-06,GER,Germany,Heidenheim,1.FC Heidenheim 1846,True
fm_2862,tm_7897,Jamie Leweling,2001-02-26,Jamie Leweling,2001-02-26,GER,Germany,Union Berlin,1.FC Union Berlin,True
fm_9470,tm_7815,Attila Szalai,1998-01-20,Attila Szalai,1998-01-20,HUN,Hungary,Fenerbahçe,TSG 1899 Hoffenheim,True
fm_15957,tm_8104,Matthieu Dreyer,1989-03-20,Matthieu Dreyer,1989-03-20,FRA,France,ASSE,AS Saint-Étienne,True
fm_14174,tm_6561,João Félix,1999-11-10,João Félix,1999-11-10,POR,Portugal,A. Madrid,Atlético de Madrid,True
fm_15835,tm_8459,Kenji-Van Boto,1996-03-07,Kenji-Van Boto,1996-03-07,FRA,Madagascar,AJ Auxerre,Pau FC,True
fm_6099,tm_3362,Merih Demiral,1998-03-05,Merih Demiral,1998-03-05,TUR,Turkey,Atalanta,Al-Ahli SFC,True
fm_3039,tm_7961,Michael Zetterer,1995-07-12,Michael Zetterer,1995-07-12,GER,Germany,SV Werder,SV Werder Bremen,True
