df1,df2,name1,birthdate1,name2,birthdate2,nat1,nat2,club1,club2,score,match
tm_3874,fm_4166,Brian Plat,2000-04-05,Brian Plat,2000-04-05,Netherlands,NED,FC Volendam,FC Volendam,1.0,True
tm_6436,fm_6924,Antonino Gallo,2000-01-05,Antonino Gallo,2000-01-05,Italy,ITA,US Lecce,Salento,1.0,True
tm_10068,fm_11899,Ben Wilmot,1999-11-04,Ben Wilmot,1999-11-04,England,ENG,Stoke City,Stoke,1.0,True
tm_1461,fm_1452,Derrick Jones,1997-03-03,Derrick Jones,1997-03-03,United States,USA,Charlotte FC,Charlotte FC,1.0,True
tm_9410,fm_15822,Jandro Orellana,2000-08-07,Jandro Orellana,2000-08-07,Spain,ESP,FC Andorra,F.C. Andorra,1.0,True
tm_2597,fm_10028,Fayçal Fajr,1988-08-01,Fayçal Fajr,1988-08-01,Morocco,MAR,Al-Wehda FC,Al-Wehda,1.0,True
tm_9412,fm_16112,Sergio Molina,1996-02-18,Sergio Molina,1996-02-18,Spain,ESP,FC Andorra,F.C. Andorra,1.0,True
tm_2672,fm_3415,Paul-Philipp Besong,2000-10-06,Paul-Philipp Besong,2000-10-06,Germany,GER,Borussia Dortmund II,Erzgebirge Aue,1.0,True
tm_8471,fm_15801,Mehdi Chahiri,1996-07-25,Mehdi Chahiri,1996-07-25,France,FRA,Pau FC,Paris FC,1.0,True
tm_8167,fm_15643,Rayan Raveloson,1997-01-16,Rayan Raveloson,1997-01-16,Madagascar,MAD,AJ Auxerre,AJ Auxerre,1.0,True
tm_2194,fm_1538,Andres Jasson,2002-01-17,Andres Jasson,2002-01-17,United States,USA,New York City FC,NYCFC,1.0,True
tm_1031,fm_1243,José Antonio Martínez,1993-02-12,José Antonio Martínez,1993-02-12,Spain,ESP,FC Dallas,FC Dallas,1.0,True
tm_4616,fm_9887,Ege Bilsel,2004-01-04,Ege Bilsel,2004-01-04,Turkey,AZE,Antalyaspor,Antalyaspor,1.0,True
tm_9425,fm_15877,Tomeu Nadal,1989-02-08,Tomeu Nadal,1989-02-08,Spain,ESP,CD Tenerife,Oviedo,1.0,True
tm_4497,fm_16244,Jerome Opoku,1998-10-14,Jerome Opoku,1998-10-14,England,ENG,FC Arouca,Arouca,1.0,True
tm_10034,fm_11926,Scott Hogan,1992-04-13,Scott Hogan,1992-04-13,Ireland,IRL,Birmingham City,Birmingham,1.0,True
tm_2414,fm_10207,Amiri Kurdi,1991-09-11,Amiri Kurdi,1991-09-11,Saudi Arabia,GRE,Al-Riyadh SC,Al-Wehda,1.0,True
tm_6649,fm_14501,Juan Foyth,1998-01-12,Juan Foyth,1998-01-12,Argentina,ARG,Villarreal CF,Villarreal,1.0,True
tm_6375,fm_6458,Liberato Cacace,2000-09-27,Liberato Cacace,2000-09-27,New Zealand,NZL,FC Empoli,Empoli,1.0,True
tm_7029,fm_11761,Julián Álvarez,2000-01-31,Julián Álvarez,2000-01-31,Argentina,ARG,Manchester City,Man City,1.0,True
tm_1334,fm_1755,Bode Hidalgo,2002-02-22,Bode Hidalgo,2002-02-22,United States,USA,Real Salt Lake City,Real Salt Lake,1.0,True
tm_1259,fm_9442,Diego Rossi,1998-03-05,Diego Rossi,1998-03-05,Uruguay,URU,Columbus Crew,Fenerbahçe,1.0,True
tm_1111,fm_1050,Emiliano Rigoni,1993-02-04,Emiliano Rigoni,1993-02-04,Argentina,ARG,Austin FC,Austin FC,1.0,True
tm_6157,fm_6211,Giacomo Bonaventura,1989-08-22,Giacomo Bonaventura,1989-08-22,Italy,ITA,ACF Fiorentina,Fiorentina,1.0,True
tm_5601,fm_14827,Vito Mannone,1988-03-02,Vito Mannone,1988-03-02,Italy,ITA,LOSC Lille,FC Lorient,1.0,True
tm_5375,fm_9519,Rúben Ribeiro,1987-08-01,Rúben Ribeiro,1987-08-01,Portugal,POR,GD Chaves,Hatayspor,1.0,True
tm_7051,fm_11282,Bukayo Saka,2001-09-05,Bukayo Saka,2001-09-05,England,ENG,Arsenal FC,Arsenal,1.0,True
tm_7681,fm_6185,Aster Vranckx,2002-10-04,Aster Vranckx,2002-10-04,Belgium,BEL,VfL Wolfsburg,Milan,1.0,True
tm_7951,fm_2348,Linton Maina,1999-06-23,Linton Maina,1999-06-23,Germany,GER,1.FC Köln,1. FC Köln,1.0,True
tm_4274,fm_4787,Nathan Bitumazala,2002-12-10,Nathan Bitumazala,2002-12-10,France,FRA,KAS Eupen,Eupen,1.0,True
tm_10776,fm_3211,Dominik Martinovic,1997-03-25,Dominik Martinovic,1997-03-25,Germany,CRO,SV 07 Elversberg,SV Waldhof Mannheim,1.0,True
