df1,df2,name1,birthdate1,name2,birthdate2,nat1,nat2,club1,club2,score,match
tm_3874,fm_4166,Brian Plat,2000-04-05,Brian Plat,2000-04-05,Netherlands,NED,FC Volendam,FC Volendam,1.0,True
tm_5630,fm_15322,Jonathan Gradit,1992-11-24,Jonathan Gradit,1992-11-24,France,FRA,RC Lens,RC Lens,1.0,True
tm_1349,fm_1656,Maikel Chang,1991-04-18,Maikel Chang,1991-04-18,Cuba,CUB,Real Salt Lake City,Real Salt Lake,1.0,True
tm_9333,fm_14534,Roque Mesa,1989-06-07,Roque Mesa,1989-06-07,Spain,ESP,Sporting Gijón,Valladolid,1.0,True
tm_8073,fm_16677,Davy Rouyard,1999-08-17,Davy Rouyard,1999-08-17,Guadeloupe,GLP,FC Girondins Bordeaux,Bordeaux,1.0,True
tm_1457,fm_11620,Ashley Westwood,1990-04-01,Ashley Westwood,1990-04-01,England,ENG,Charlotte FC,Burnley,1.0,True
tm_9432,fm_15091,Jérémy Mellot,1994-03-28,Jérémy Mellot,1994-03-28,France,FRA,CD Tenerife,Tenerife,1.0,True
tm_10000,fm_11872,Romaine Sawyers,1991-11-02,Romaine Sawyers,1991-11-02,St. Kitts & Nevis,SKN,Cardiff City,Cardiff,1.0,True
tm_4595,fm_10097,Naldo,1988-08-25,Naldo,1988-08-25,Brazil,BRA,Antalyaspor,Al-Taawoun,1.0,True
tm_5720,fm_15375,Thomas Delaine,1992-03-24,Thomas Delaine,1992-03-24,France,FRA,RC Strasbourg Alsace,Strasbourg,1.0,True
tm_1131,fm_1742,Alex Freeman,2004-08-09,Alex Freeman,2004-08-09,United States,USA,Orlando City SC,Orlando City,1.0,True
tm_4463,fm_9799,Rayyan Baniya,1999-02-18,Rayyan Baniya,1999-02-18,Turkey,TUR,Trabzonspor,Fatih Karagümrük,1.0,True
tm_6687,fm_14317,Borja Iglesias,1993-01-17,Borja Iglesias,1993-01-17,Spain,ESP,Real Betis Balompié,Real Hispalis,1.0,True
tm_7464,fm_14146,Matheus Cunha,1999-05-27,Matheus Cunha,1999-05-27,Brazil,BRA,Wolverhampton Wanderers,A. Madrid,1.0,True
tm_1713,fm_3784,Baran Mogultay,2004-05-18,Baran Mogultay,2004-05-18,Germany,GER,MSV Duisburg,MSV Duisburg,1.0,True
tm_4080,fm_2305,Kamal Sowah,2000-01-09,Kamal Sowah,2000-01-09,Ghana,GHA,Club Brugge KV,Club Brugge,1.0,True
