df1,df2,match
fm_1971,eafc_3670,False
fm_15919,eafc_9903,True
fm_12533,eafc_5940,False
fm_7108,eafc_11170,False
fm_8425,eafc_4121,False
fm_7149,eafc_9789,False
fm_10545,eafc_11374,False
fm_2720,eafc_4750,False
fm_7880,eafc_11128,False
fm_13959,eafc_10237,False
fm_16111,eafc_7898,False
fm_17583,eafc_6561,False
fm_16564,eafc_10969,False
fm_14061,eafc_11128,False
fm_6046,eafc_3025,False
fm_14901,eafc_4970,True
fm_14419,eafc_3082,True
fm_10303,eafc_3070,True
fm_6549,eafc_5175,True
fm_15129,eafc_6489,True
fm_7842,eafc_5423,False
fm_5288,eafc_5755,False
fm_2397,eafc_8153,True
fm_18237,eafc_7603,False
fm_6412,eafc_3595,True
fm_17348,eafc_9437,False
fm_17174,eafc_9806,False
fm_14677,eafc_3814,True
fm_5991,eafc_10523,False
fm_15631,eafc_1567,True
fm_16575,eafc_8842,True
fm_14252,eafc_2695,True
fm_8200,eafc_9922,True
fm_12693,eafc_9360,False
fm_10380,eafc_11393,True
fm_14277,eafc_5017,True
fm_9899,eafc_9894,True
fm_5745,eafc_8751,False
fm_9470,eafc_7277,True
fm_17959,eafc_1194,False
fm_12278,eafc_11212,False
fm_13514,eafc_10301,False
fm_2570,eafc_5253,True
fm_16394,eafc_6623,True
fm_3127,eafc_2825,False
fm_16057,eafc_7133,True
fm_15504,eafc_1838,False
fm_1836,eafc_3115,True
fm_11460,eafc_2482,True
fm_8916,eafc_10794,False
fm_2355,eafc_5483,True
fm_6157,eafc_3074,True
fm_6194,eafc_2491,True
fm_8958,eafc_9819,False
fm_6942,eafc_7921,True
fm_1485,eafc_9790,True
fm_6035,eafc_10992,False
fm_17989,eafc_10624,False
fm_15206,eafc_8641,False
fm_12682,eafc_8011,False
fm_15508,eafc_6625,True
fm_1970,eafc_6379,True
fm_1937,eafc_4771,True
fm_12573,eafc_9744,True
fm_15852,eafc_6625,False
fm_15553,eafc_4005,True
fm_14670,eafc_7191,True
fm_9372,eafc_1581,True
fm_9903,eafc_9844,False
fm_9768,eafc_8766,True
fm_11280,eafc_5719,True
fm_11038,eafc_11547,True
fm_10957,eafc_11349,False
fm_6933,eafc_4804,True
fm_1387,eafc_3685,True
fm_10750,eafc_11329,False
fm_13559,eafc_5821,False
