"Blocking Key Value","Frequency"
"BBB","1"
"BBD","2"
"JRR","1"
"JRV","1"
"JSB","1"
"AA","194"
"DGD","1"
"JSJ","2"
"AB","193"
"AC","113"
"JSL","2"
"AD","85"
"AE","24"
"SDV","2"
"AF","83"
"AG","110"
"JSP","2"
"AH","70"
"AI","26"
"AJ","36"
"AK","65"
"AL","87"
"AM","186"
"AN","47"
"AO","57"
"AP","89"
"AQ","1"
"AR","87"
"AS","166"
"AT","61"
"AU","13"
"AV","44"
"AW","26"
"AX","1"
"SEH","1"
"AY","19"
"SEK","2"
"AZ","24"
"BA","43"
"JTH","2"
"BB","75"
"BDC","2"
"SES","2"
"A","80"
"BC","31"
"B","39"
"BD","43"
"BE","12"
"C","67"
"DHF","2"
"BF","11"
"D","30"
"BG","46"
"E","26"
"FLJ","2"
"BH","33"
"F","37"
"BI","8"
"G","29"
"BDK","2"
"BJ","19"
"H","17"
"BK","34"
"I","18"
"BL","30"
"J","57"
"BM","53"
"K","26"
"BN","14"
"L","24"
"BO","20"
"M","101"
"BP","28"
"N","28"
"O","19"
"BR","23"
"P","55"
"BS","49"
"Q","6"
"BT","38"
"R","50"
"BU","5"
"S","38"
"BV","19"
"T","30"
"BW","29"
"U","4"
"V","39"
"BY","14"
"W","16"
"BZ","9"
"Y","4"
"Z","12"
"FMA","1"
"CA","43"
"CB","72"
"CC","48"
"CD","39"
"CE","22"
"CF","23"
