"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] PlayerNameComparatorJaccard record1Value","[0] PlayerNameComparatorJaccard record2Value","[0] PlayerNameComparatorJaccard record1PreprocessedValue","[0] PlayerNameComparatorJaccard record2PreprocessedValue","[0] PlayerNameComparatorJaccard similarity","[0] PlayerNameComparatorJaccard postproccesedSimilarity","[1] PlayerClubComparatorLowerCaseJaccard record1Value","[1] PlayerClubComparatorLowerCaseJaccard record2Value","[1] PlayerClubComparatorLowerCaseJaccard record1PreprocessedValue","[1] PlayerClubComparatorLowerCaseJaccard record2PreprocessedValue","[1] PlayerClubComparatorLowerCaseJaccard similarity","[1] PlayerClubComparatorLowerCaseJaccard postproccesedSimilarity","[2] PlayerNameComparatorEqual record1Value","[2] PlayerNameComparatorEqual record2Value","[2] PlayerNameComparatorEqual record1PreprocessedValue","[2] PlayerNameComparatorEqual record2PreprocessedValue","[2] PlayerNameComparatorEqual similarity","[2] PlayerNameComparatorEqual postproccesedSimilarity","[3] PlayerClubComparatorJaccard record1Value","[3] PlayerClubComparatorJaccard record2Value","[3] PlayerClubComparatorJaccard record1PreprocessedValue","[3] PlayerClubComparatorJaccard record2PreprocessedValue","[3] PlayerClubComparatorJaccard similarity","[3] PlayerClubComparatorJaccard postproccesedSimilarity","[4] PlayerClubComparatorLevenshtein record1Value","[4] PlayerClubComparatorLevenshtein record2Value","[4] PlayerClubComparatorLevenshtein record1PreprocessedValue","[4] PlayerClubComparatorLevenshtein record2PreprocessedValue","[4] PlayerClubComparatorLevenshtein similarity","[4] PlayerClubComparatorLevenshtein postproccesedSimilarity","[5] PlayerNameComparatorLevenshtein record1Value","[5] PlayerNameComparatorLevenshtein record2Value","[5] PlayerNameComparatorLevenshtein record1PreprocessedValue","[5] PlayerNameComparatorLevenshtein record2PreprocessedValue","[5] PlayerNameComparatorLevenshtein similarity","[5] PlayerNameComparatorLevenshtein postproccesedSimilarity","[6] PlayerBirthdateComparator record1Value","[6] PlayerBirthdateComparator record2Value","[6] PlayerBirthdateComparator record1PreprocessedValue","[6] PlayerBirthdateComparator record2PreprocessedValue","[6] PlayerBirthdateComparator similarity","[6] PlayerBirthdateComparator postproccesedSimilarity","[7] PlayerJerseyNumberComparatorEqual record1Value","[7] PlayerJerseyNumberComparatorEqual record2Value","[7] PlayerJerseyNumberComparatorEqual record1PreprocessedValue","[7] PlayerJerseyNumberComparatorEqual record2PreprocessedValue","[7] PlayerJerseyNumberComparatorEqual similarity","[7] PlayerJerseyNumberComparatorEqual postproccesedSimilarity","[8] PlayerBirthdateComparatorDay record1Value","[8] PlayerBirthdateComparatorDay record2Value","[8] PlayerBirthdateComparatorDay record1PreprocessedValue","[8] PlayerBirthdateComparatorDay record2PreprocessedValue","[8] PlayerBirthdateComparatorDay similarity","[8] PlayerBirthdateComparatorDay postproccesedSimilarity","[9] PlayerNameComparatorMongeElkan record1Value","[9] PlayerNameComparatorMongeElkan record2Value","[9] PlayerNameComparatorMongeElkan record1PreprocessedValue","[9] PlayerNameComparatorMongeElkan record2PreprocessedValue","[9] PlayerNameComparatorMongeElkan similarity","[9] PlayerNameComparatorMongeElkan postproccesedSimilarity"
"WekaMatchingRule","eafc_4485","tm_1196",,"1","Judson","Judson","Judson","Judson","1.0","1.0","San Jose Earthquakes","San Jose Earthquakes","san jose earthquakes","san jose earthquakes","1.0","0.0","Judson","Judson","Judson","Judson","1.0","1.0","San Jose Earthquakes","San Jose Earthquakes","San Jose Earthquakes","San Jose Earthquakes","1.0","1.0","San Jose Earthquakes","San Jose Earthquakes","San Jose Earthquakes","San Jose Earthquakes","1.0","1.0","Judson","Judson","Judson","Judson","1.0","1.0","1993-05-25T00:00","1993-05-25T00:00","1993-05-25T00:00","1993-05-25T00:00","1.0","1.0","93","93","93","93","1.0","1.0","1993-05-25T00:00","1993-05-25T00:00","1993-05-25T00:00","1993-05-25T00:00","1.0","1.0","Judson","Judson","Judson","Judson","1.0","1.0"
"WekaMatchingRule","eafc_7684","tm_8147",,"1","R. Saïd","Rafiki Saïd","R. Saïd","Rafiki Saïd","0.3333333333333333","0.3333333333333333","Troyes","ESTAC Troyes","troyes","estac troyes","0.5","0.0","R. Saïd","Rafiki Saïd","R. Saïd","Rafiki Saïd","0.0","0.0","Troyes","ESTAC Troyes","Troyes","ESTAC Troyes","0.5","0.0","Troyes","ESTAC Troyes","Troyes","ESTAC Troyes","0.5","0.5","R. Saïd","Rafiki Saïd","R. Saïd","Rafiki Saïd","0.5454545454545454","0.5454545454545454","2000-03-15T00:00","2000-03-15T00:00","2000-03-15T00:00","2000-03-15T00:00","1.0","1.0","11","11","11","11","1.0","1.0","2000-03-15T00:00","2000-03-15T00:00","2000-03-15T00:00","2000-03-15T00:00","1.0","1.0","R. Saïd","Rafiki Saïd","R. Saïd","Rafiki Saïd","0.5833333333333333","0.5833333333333333"
"WekaMatchingRule","eafc_1047","tm_7087",,"1","T. Heaton","Tom Heaton","T. Heaton","Tom Heaton","0.3333333333333333","0.3333333333333333","Manchester United","Manchester United","manchester united","manchester united","1.0","0.0","T. Heaton","Tom Heaton","T. Heaton","Tom Heaton","0.0","0.0","Manchester United","Manchester United","Manchester United","Manchester United","1.0","1.0","Manchester United","Manchester United","Manchester United","Manchester United","1.0","1.0","T. Heaton","Tom Heaton","T. Heaton","Tom Heaton","0.8","0.8","1986-04-15T00:00","1986-04-15T00:00","1986-04-15T00:00","1986-04-15T00:00","1.0","1.0","22","22","22","22","1.0","1.0","1986-04-15T00:00","1986-04-15T00:00","1986-04-15T00:00","1986-04-15T00:00","1.0","1.0","T. Heaton","Tom Heaton","T. Heaton","Tom Heaton","0.6666666666666667","0.6666666666666667"
"WekaMatchingRule","tm_3041","eafc_9501","7.117676321722721E-5",,"Andrigo","A. Aiki","Andrigo","A. Aiki","0.0","0.0","Chengdu Rongcheng","Saint-Étienne","chengdu rongcheng","saint-étienne","0.0","0.0","Andrigo","A. Aiki","Andrigo","A. Aiki","0.0","0.0","Chengdu Rongcheng","Saint-Étienne","Chengdu Rongcheng","Saint-Étienne","0.0","0.0","Chengdu Rongcheng","Saint-Étienne","Chengdu Rongcheng","Saint-Étienne","0.17647058823529416","0.17647058823529416","Andrigo","A. Aiki","Andrigo","A. Aiki","0.2857142857142857","0.2857142857142857","1995-02-27T00:00","2005-06-25T00:00","1995-02-27T00:00","2005-06-25T00:00","0.0","0.0","18","39","18","39","0.0","0.0","1995-02-27T00:00","2005-06-25T00:00","1995-02-27T00:00","2005-06-25T00:00","0.0","0.0","Andrigo","A. Aiki","Andrigo","A. Aiki","0.2857142857142857","0.2857142857142857"
"WekaMatchingRule","eafc_3813","tm_9676",,"1","L. Ferrone","Luca Ferrone","L. Ferrone","Luca Ferrone","0.3333333333333333","0.3333333333333333","Racing Ferrol","Racing Ferrol","racing ferrol","racing ferrol","1.0","0.0","L. Ferrone","Luca Ferrone","L. Ferrone","Luca Ferrone","0.0","0.0","Racing Ferrol","Racing Ferrol","Racing Ferrol","Racing Ferrol","1.0","1.0","Racing Ferrol","Racing Ferrol","Racing Ferrol","Racing Ferrol","1.0","1.0","L. Ferrone","Luca Ferrone","L. Ferrone","Luca Ferrone","0.75","0.75","1993-06-07T00:00","1993-06-07T00:00","1993-06-07T00:00","1993-06-07T00:00","1.0","1.0","12","12","12","12","1.0","1.0","1993-06-07T00:00","1993-06-07T00:00","1993-06-07T00:00","1993-06-07T00:00","1.0","1.0","L. Ferrone","Luca Ferrone","L. Ferrone","Luca Ferrone","0.625","0.625"
"WekaMatchingRule","tm_9265","eafc_4673","6.405382235658564E-5",,"Anuar","Allan Ardaújo","Anuar","Allan Ardaújo","0.0","0.0","Real Valladolid CF","Goiás","real valladolid cf","goiás","0.0","0.0","Anuar","Allan Ardaújo","Anuar","Allan Ardaújo","0.0","0.0","Real Valladolid CF","Goiás","Real Valladolid CF","Goiás","0.0","0.0","Real Valladolid CF","Goiás","Real Valladolid CF","Goiás","0.11111111111111116","0.11111111111111116","Anuar","Allan Ardaújo","Anuar","Allan Ardaújo","0.3076923076923077","0.3076923076923077","1995-01-15T00:00","1988-02-29T00:00","1995-01-15T00:00","1988-02-29T00:00","0.0","0.0","23","56","23","56","0.0","0.0","1995-01-15T00:00","1988-02-29T00:00","1995-01-15T00:00","1988-02-29T00:00","0.0","0.0","Anuar","Allan Ardaújo","Anuar","Allan Ardaújo","0.4","0.4"
"WekaMatchingRule","eafc_9366","tm_7771",,"1","H. Larsson","Hugo Larsson","H. Larsson","Hugo Larsson","0.3333333333333333","0.3333333333333333","Eintracht Frankfurt","Eintracht Frankfurt","eintracht frankfurt","eintracht frankfurt","1.0","0.0","H. Larsson","Hugo Larsson","H. Larsson","Hugo Larsson","0.0","0.0","Eintracht Frankfurt","Eintracht Frankfurt","Eintracht Frankfurt","Eintracht Frankfurt","1.0","1.0","Eintracht Frankfurt","Eintracht Frankfurt","Eintracht Frankfurt","Eintracht Frankfurt","1.0","1.0","H. Larsson","Hugo Larsson","H. Larsson","Hugo Larsson","0.75","0.75","2004-06-27T00:00","2004-06-27T00:00","2004-06-27T00:00","2004-06-27T00:00","1.0","1.0","16","16","16","16","1.0","1.0","2004-06-27T00:00","2004-06-27T00:00","2004-06-27T00:00","2004-06-27T00:00","1.0","1.0","H. Larsson","Hugo Larsson","H. Larsson","Hugo Larsson","0.625","0.625"
"WekaMatchingRule","tm_1610","eafc_1133","2.992699826167736E-5",,"Artur","Adán","Artur","Adán","0.0","0.0","Houston Dynamo FC","Sporting CP","houston dynamo fc","sporting cp","0.0","0.0","Artur","Adán","Artur","Adán","0.0","0.0","Houston Dynamo FC","Sporting CP","Houston Dynamo FC","Sporting CP","0.0","0.0","Houston Dynamo FC","Sporting CP","Houston Dynamo FC","Sporting CP","0.23529411764705888","0.23529411764705888","Artur","Adán","Artur","Adán","0.19999999999999996","0.19999999999999996","1996-03-11T00:00","1987-05-13T00:00","1996-03-11T00:00","1987-05-13T00:00","0.0","0.0","6","1","6","1","0.0","0.0","1996-03-11T00:00","1987-05-13T00:00","1996-03-11T00:00","1987-05-13T00:00","0.0","0.0","Artur","Adán","Artur","Adán","0.19999999999999996","0.19999999999999996"
"WekaMatchingRule","tm_9318","eafc_2501","3.828878507249625E-5",,"Alemão","A. Ateef","Alemão","A. Ateef","0.0","0.0",,"Al Ahli Jeddah","","al ahli jeddah","0.0","0.0","Alemão","A. Ateef","Alemão","A. Ateef","0.0","0.0",,"Al Ahli Jeddah",,"Al Ahli Jeddah","0.0","0.0",,"Al Ahli Jeddah",,"Al Ahli Jeddah","0.0","0.0","Alemão","A. Ateef","Alemão","A. Ateef","0.125","0.125","1998-04-01T00:00","1992-08-03T00:00","1998-04-01T00:00","1992-08-03T00:00","0.0","0.0","14","14","14","14","1.0","1.0","1998-04-01T00:00","1992-08-03T00:00","1998-04-01T00:00","1992-08-03T00:00","0.0","0.0","Alemão","A. Ateef","Alemão","A. Ateef","0.33333333333333337","0.33333333333333337"
"WekaMatchingRule","tm_9318","eafc_10263","5.003088383273897E-5",,"Alemão","Alarcón","Alemão","Alarcón","0.0","0.0",,"FC Barcelona","","fc barcelona","0.0","0.0","Alemão","Alarcón","Alemão","Alarcón","0.0","0.0",,"FC Barcelona",,"FC Barcelona","0.0","0.0",,"FC Barcelona",,"FC Barcelona","0.0","0.0","Alemão","Alarcón","Alemão","Alarcón","0.2857142857142857","0.2857142857142857","1998-04-01T00:00","2004-05-15T00:00","1998-04-01T00:00","2004-05-15T00:00","0.0","0.0","14","29","14","29","0.0","0.0","1998-04-01T00:00","2004-05-15T00:00","1998-04-01T00:00","2004-05-15T00:00","0.0","0.0","Alemão","Alarcón","Alemão","Alarcón","0.2857142857142857","0.2857142857142857"
