"RecordIDS","AverageConsistency","Birthdate-Consistency","Birthdate-Values","Club-Consistency","Club-Values","Jersey_number-Consistency","Jersey_number-Values","Name-Consistency","Name-Values","Nationality-Consistency","Nationality-Values","Height-Consistency","Height-Values","Weight-Consistency","Weight-Values"
"eafc_5120+tm_10297","0.7142857142857143","1.0","{1998-12-15T00:00|1998-12-15T00:00}","1.0","{Sheffield Wednesday|Sheffield Wednesday}","0.0","{7|7}","0.0","{M. Wilks|Mallik Wilks}","1.0","{England|England}","1.0","{183.0}","1.0","{73.0}"
"eafc_10230+tm_1811","0.5714285714285714","1.0","{2004-11-29T00:00|2004-11-29T00:00}","0.0","{Jahn Regensburg|SSV Jahn Regensburg}","0.0","{23|23}","0.0","{J. Graf|Jannik Graf}","1.0","{Germany|Germany}","1.0","{180.0}","1.0","{78.0}"
"eafc_9102+fm_3635+tm_7979","0.3333333333333333","1.0","{2000-11-15T00:00|2000-11-15T00:00|2000-11-15T00:00}","0.0","{Werder Bremen|Borussia Dortmund II|SV Werder Bremen}","0.0","{17|17}","0.6666666666666666","{J. Njinmah|Justin Njinmah|Justin Njinmah}","0.6666666666666666","{Germany|GER|Germany}","0.0","{179.0|182.0}","0.0","{77.0|74.0}"
"eafc_9153+fm_9804","0.2857142857142857","1.0","{2000-06-21T00:00|2000-06-21T00:00}","0.0","{Adana Demirspor|Adana D.S.}","1.0","{2}","0.0","{İ. Çokçalış|İsmail Çokçalış}","0.0","{Turkey|TUR}","0.0","{180.0|176.0}","0.0","{75.0|70.0}"
"eafc_5087+fm_3310","0.2857142857142857","1.0","{1997-01-13T00:00|1997-01-13T00:00}","0.0","{Sturm Graz|KV Mechelen}","1.0","{24}","0.0","{D. Lavalée|Dimitri Lavalée}","0.0","{Belgium|BEL}","0.0","{187.0|188.0}","0.0","{76.0|85.0}"
"eafc_9618+fm_16652","0.2857142857142857","1.0","{2002-01-16T00:00|2002-01-16T00:00}","0.0","{Nantes|FC Nantes}","1.0","{19}","0.0","{M. Achi|Mohamed Achi}","0.0","{France|FRA}","0.0","{181.0|171.0}","0.0","{72.0|69.0}"
"eafc_2762+fm_1419+tm_1002","0.4285714285714285","1.0","{1990-08-08T00:00|1990-08-08T00:00|1990-08-08T00:00}","0.6666666666666666","{Cincinnati|Cincinnati|FC Cincinnati}","0.0","{1|1}","0.6666666666666666","{A. Kann|Alec Kann|Alec Kann}","0.6666666666666666","{United States|USA|United States}","0.0","{193.0|194.0}","0.0","{86.0|87.0}"
"eafc_10747+tm_8948","0.5714285714285714","1.0","{2003-01-16T00:00|2003-01-16T00:00}","0.0","{Reggiana|SSC Napoli}","0.0","{30|30}","0.0","{A. Vergara|Antonio Vergara}","1.0","{Italy|Italy}","1.0","{182.0}","1.0","{73.0}"
"eafc_1128+fm_2130+tm_3691","0.7619047619047619","1.0","{1987-09-13T00:00|1987-09-13T00:00|1987-09-13T00:00}","1.0","{Sparta Rotterdam|Sparta Rotterdam|Sparta Rotterdam}","0.0","{6|-1}","0.6666666666666666","{J. de Guzmán|Jonathan de Guzmán|Jonathan de Guzmán}","0.6666666666666666","{Netherlands|NED|Netherlands}","1.0","{173.0|173.0}","1.0","{70.0|70.0}"
"eafc_6818+fm_2530+tm_10564","0.619047619047619","1.0","{2000-05-01T00:00|2000-05-01T00:00|2000-05-01T00:00}","0.0","{Nürnberg|Schalke 04|1.FC Nuremberg}","0.0","{6|6}","0.6666666666666666","{F. Flick|Florian Flick|Florian Flick}","0.6666666666666666","{Germany|GER|Germany}","1.0","{190.0|190.0}","1.0","{79.0|79.0}"
