UID,Name,DoB,Nat,Division,Club,Preferred Foot,Position,Height,Weight,Age,Transfer Value,Wage,Style
831079,Giorgio Chiellini,14/8/1984 ,ITA,Major League Soccer,LAFC,Left ,D (C),187,85,37,,"90,500",Leader
962988,Gonzalo Higuaín,10/12/1987 ,ARG,Major League Soccer,Inter Miami,Right,ST (C),184,89,34,495000.0,"487,000",Intelligent
5132312,Gareth Bale,16/7/1989 ,WAL,Major League Soccer,LAFC,Left,"M (L), AM (RLC), ST (C)",185,82,32,3075000.0,"135,000",Creative
51000001,Carlos Vela,1/3/1989 ,MEX,Major League Soccer,LAFC,Left ,"AM (RLC), ST (C)",178,74,33,,"340,000",Creative
43043933,Lorenzo Insigne,4/6/1991 ,ITA,Major League Soccer,Toronto FC,Right,"AM (L), ST (C)",163,59,31,,"1,176,000",Creative
98003827,Xherdan Shaqiri,10/10/1991 ,SUI,Major League Soccer,Chicago,Left ,AM (RLC),169,72,30,6400000.0,"685,000",Technical
43093476,Federico Bernardeschi,16/2/1994 ,ITA,Major League Soccer,Toronto FC,Left,WB/M/AM (RL),185,77,28,10800000.0,"526,000",Physical
19044710,Douglas Costa,14/9/1990 ,BRA,Major League Soccer,LA Galaxy,Left,AM (RLC),172,75,31,,"252,000",Creative
75014702,Felipe Gutiérrez,8/10/1990 ,CHI,Major League Soccer,Colorado,Left,"DM, M/AM (C)",171,66,31,605000.0,"32,000",Technical
5664830,Héctor Herrera,19/4/1990 ,MEX,Major League Soccer,Houston,Right,M (C),178,72,32,,"441,000",Leader
2111393,Alexandre Pato,2/9/1989 ,BRA,Major League Soccer,Orlando City,Right,"AM (L), ST (C)",180,72,32,1250000.0,"33,500",Technical
51001380,Chicharito,1/6/1988 ,MEX,Major League Soccer,LA Galaxy,Right,ST (C),175,73,34,660000.0,"504,000",Intelligent
91108809,Hany Mukhtar,21/3/1995 ,GER,Major League Soccer,Nashville,Either,"M/AM (LC), ST (C)",176,73,27,12500000.0,"138,000",Creative
72038786,Walker Zimmerman,19/5/1993 ,USA,Major League Soccer,Nashville,Right,D (C),191,88,29,8400000.0,"97,000",Physical
78010878,Martín Cáceres,7/4/1987 ,URU,Major League Soccer,LA Galaxy,Right,D (RLC),181,78,35,550000.0,"24,500",Physical
78088646,Facundo Torres,13/4/2000 ,URU,Major League Soccer,Orlando City,Left,AM (RLC),177,71,22,14000000.0,"504,000",Creative
18026085,Victor Wanyama,25/6/1991 ,KEN,Major League Soccer,CF Montréal,Right,"DM, M (C)",184,87,31,2950000.0,"260,000",Leader
78018171,Nicolás Lodeiro,21/3/1989 ,URU,Major League Soccer,Seattle,Left,"M (LC), AM (RLC)",171,69,33,,"274,000",Physical
18009139,Christian Benteke,3/12/1990 ,BEL,Major League Soccer,D.C. United,Right,ST (C),191,86,31,,"351,000",Physical
5603918,Christian Fuchs,7/4/1986 ,AUT,Major League Soccer,Charlotte FC,Left,D (LC),187,89,36,385000.0,"31,500",Intelligent
980486,Michael Bradley,31/7/1987 ,USA,Major League Soccer,Toronto FC,Right,"DM, M (C)",188,80,34,495000.0,"126,000",Leader
14023276,Josef Martínez,19/5/1993 ,VEN,Major League Soccer,Atlanta United,Right,"AM (L), ST (C)",173,74,29,10450000.0,"348,000",Leader
33029449,Robin Lod,17/4/1993 ,FIN,Major League Soccer,Minnesota,Left,"M/AM (RLC), ST (C)",181,77,29,10900000.0,"80,000",Leader
14043242,Sebastián Driussi,9/2/1996 ,ARG,Major League Soccer,Austin FC,Right,"AM (LC), ST (C)",179,82,26,7300000.0,"195,000",Technical
210541,Ercan Kara,3/1/1996 ,AUT,Major League Soccer,Orlando City,Right,ST (C),192,88,26,6600000.0,"156,000",Physical
77012758,Raúl Ruidíaz,25/7/1990 ,PER,Major League Soccer,Seattle,Right ,"AM (R), ST (C)",171,66,31,,"269,000",Intelligent
72048200,Miles Robinson,14/3/1997 ,USA,Major League Soccer,Atlanta United,Right,D (C),188,84,25,3120000.0,"62,000",Physical
76043783,Cucho Hernández,20/4/1999 ,COL,Major League Soccer,Columbus,Right,"AM (RLC), ST (C)",175,74,23,18000000.0,"242,000",Physical
78021834,Gastón Brugman,7/9/1992 ,URU,Major League Soccer,LA Galaxy,Right,"DM, M (C)",178,75,29,3347500.0,"118,000",Leader
7987827,Domenico Criscito,30/12/1986 ,ITA,Major League Soccer,Toronto FC,Left,"D (LC), WB (L)",183,75,35,,"127,000",Leader
28037201,Ravel Morrison,2/2/1993 ,JAM,Major League Soccer,D.C. United,Right,"M (C), AM (LC)",175,71,29,1250000.0,"77,000",Creative
29003721,Kieran Gibbs,26/9/1989 ,ENG,Major League Soccer,Inter Miami,Left,D/WB (L),178,66,32,1025000.0,"32,000",Technical
860472,Eloy Room,2/6/1989 ,CUW,Major League Soccer,Columbus,Right ,GK,191,82,33,,"74,000",Distributor
67224237,Shaq Moore,2/11/1996 ,USA,Major League Soccer,Nashville,Right,D/WB/M (R),181,74,25,6800000.0,"65,500",Leader
36055197,Taxi Fountas,4/9/1995 ,GRE,Major League Soccer,D.C. United,Right,"M (R), AM (RC), ST (C)",171,65,26,6600000.0,"138,000",Physical
67103542,Carles Gil,22/11/1992 ,ESP,Major League Soccer,New England,Left,"M (L), AM (RLC), ST (C)",171,66,29,6300000.0,"298,000",Creative
14046847,Lucas Zelarayán,20/6/1992 ,ARM,Major League Soccer,Columbus,Right,AM (C),173,70,30,6500000.0,"311,000",Technical
67258407,Riqui Puig,13/8/1999 ,ESP,Major League Soccer,LA Galaxy,Right,M/AM (C),169,56,22,7200000.0,"142,000",Creative
77004608,Pedro Gallese,23/2/1990 ,PER,Major League Soccer,Orlando City,Left,GK,189,79,32,1600000.0,"43,500",Shot Stopper
14111499,Emanuel Reynoso,16/11/1995 ,ARG,Major League Soccer,Minnesota,Left ,"M (LC), AM (C)",176,65,26,6300000.0,"89,500",Creative
67140148,Alejandro Pozuelo,20/9/1991 ,ESP,Major League Soccer,Inter Miami,Either,M/AM (C),171,64,30,2700000.0,"394,000",Technical
14172522,Thiago Almada,26/4/2001 ,ARG,Major League Soccer,Atlanta United,Right,AM (RLC),171,64,21,22500000.0,"196,000",Creative
