UID,Name,DoB,Nat,Division,Club,Preferred Foot,Position,Height,Weight,Age,Transfer Value,Wage,Style,Best Role
831079,Giorgio Chiellini,14/8/1984 (37 years old),ITA,Major League Soccer,LAFC,Left Only,D (C),187 cm,85 kg,37,Not for Sale,"€90,500 p/m",Leader,Central Defender
962988,Gonzalo Higuaín,10/12/1987 (34 years old),ARG,Major League Soccer,Inter Miami,Right,ST (C),184 cm,89 kg,34,€90K - €900K,"€487,000 p/m",Intelligent,Deep Lying Forward
5132312,Gareth Bale,16/7/1989 (32 years old),WAL,Major League Soccer,LAFC,Left,"M (L), AM (RLC), ST (C)",185 cm,82 kg,32,€550K - €5.6M,"€135,000 p/m",Creative,Inverted Winger
51000001,Carlos Vela,1/3/1989 (33 years old),MEX,Major League Soccer,LAFC,Left Only,"AM (RLC), ST (C)",178 cm,74 kg,33,Not for Sale,"€340,000 p/m",Creative,Inverted Winger
43043933,Lorenzo Insigne,4/6/1991 (31 years old),ITA,Major League Soccer,Toronto FC,Right,"AM (L), ST (C)",163 cm,59 kg,31,Not for Sale,"€1,176,000 p/m",Creative,Inverted Winger
98003827,Xherdan Shaqiri,10/10/1991 (30 years old),SUI,Major League Soccer,Chicago,Left Only,AM (RLC),169 cm,72 kg,30,€5.6M - €7.2M,"€685,000 p/m",Technical,Inside Forward
43093476,Federico Bernardeschi,16/2/1994 (28 years old),ITA,Major League Soccer,Toronto FC,Left,WB/M/AM (RL),185 cm,77 kg,28,€8.6M - €13M,"€526,000 p/m",Physical,Inverted Winger
19044710,Douglas Costa,14/9/1990 (31 years old),BRA,Major League Soccer,LA Galaxy,Left,AM (RLC),172 cm,75 kg,31,Not for Sale,"€252,000 p/m",Creative,Inverted Winger
75014702,Felipe Gutiérrez,8/10/1990 (31 years old),CHI,Major League Soccer,Colorado,Left,"DM, M/AM (C)",171 cm,66 kg,31,€110K - €1.1M,"€32,000 p/m",Technical,Deep Lying Playmaker
5664830,Héctor Herrera,19/4/1990 (32 years old),MEX,Major League Soccer,Houston,Right,M (C),178 cm,72 kg,32,Not for Sale,"€441,000 p/m",Leader,Ball Winning Midfielder
2111393,Alexandre Pato,2/9/1989 (32 years old),BRA,Major League Soccer,Orlando City,Right,"AM (L), ST (C)",180 cm,72 kg,32,€800K - €1.7M,"€33,500 p/m",Technical,Inverted Winger
51001380,Chicharito,1/6/1988 (34 years old),MEX,Major League Soccer,LA Galaxy,Right,ST (C),175 cm,73 kg,34,€120K - €1.2M,"€504,000 p/m",Intelligent,Poacher
91108809,Hany Mukhtar,21/3/1995 (27 years old),GER,Major League Soccer,Nashville,Either,"M/AM (LC), ST (C)",176 cm,73 kg,27,€11.5M - €13.5M,"€138,000 p/m",Creative,Wide Playmaker
72038786,Walker Zimmerman,19/5/1993 (29 years old),USA,Major League Soccer,Nashville,Right,D (C),191 cm,88 kg,29,€6.8M - €10M,"€97,000 p/m",Physical,Central Defender
78010878,Martín Cáceres,7/4/1987 (35 years old),URU,Major League Soccer,LA Galaxy,Right,D (RLC),181 cm,78 kg,35,€100K - €1M,"€24,500 p/m",Physical,No-Nonsense Full-Back
78088646,Facundo Torres,13/4/2000 (22 years old),URU,Major League Soccer,Orlando City,Left,AM (RLC),177 cm,71 kg,22,€11M - €17M,"€504,000 p/m",Creative,Inverted Winger
18026085,Victor Wanyama,25/6/1991 (31 years old),KEN,Major League Soccer,CF Montréal,Right,"DM, M (C)",184 cm,87 kg,31,€1.9M - €4M,"€260,000 p/m",Leader,Ball Winning Midfielder
78018171,Nicolás Lodeiro,21/3/1989 (33 years old),URU,Major League Soccer,Seattle,Left,"M (LC), AM (RLC)",171 cm,69 kg,33,Not for Sale,"€274,000 p/m",Physical,Inverted Winger
18009139,Christian Benteke,3/12/1990 (31 years old),BEL,Major League Soccer,D.C. United,Right,ST (C),191 cm,86 kg,31,Not for Sale,"€351,000 p/m",Physical,Target Forward
5603918,Christian Fuchs,7/4/1986 (36 years old),AUT,Major League Soccer,Charlotte FC,Left,D (LC),187 cm,89 kg,36,€70K - €700K,"€31,500 p/m",Intelligent,Full-Back
980486,Michael Bradley,31/7/1987 (34 years old),USA,Major League Soccer,Toronto FC,Right,"DM, M (C)",188 cm,80 kg,34,€90K - €900K,"€126,000 p/m",Leader,Defensive Midfielder
14023276,Josef Martínez,19/5/1993 (29 years old),VEN,Major League Soccer,Atlanta United,Right,"AM (L), ST (C)",173 cm,74 kg,29,€8.4M - €12.5M,"€348,000 p/m",Leader,Inverted Winger
33029449,Robin Lod,17/4/1993 (29 years old),FIN,Major League Soccer,Minnesota,Left,"M/AM (RLC), ST (C)",181 cm,77 kg,29,€9.8M - €12M,"€80,000 p/m",Leader,Inverted Winger
14043242,Sebastián Driussi,9/2/1996 (26 years old),ARG,Major League Soccer,Austin FC,Right,"AM (LC), ST (C)",179 cm,82 kg,26,€5.8M - €8.8M,"€195,000 p/m",Technical,Inverted Winger
210541,Ercan Kara,3/1/1996 (26 years old),AUT,Major League Soccer,Orlando City,Right,ST (C),192 cm,88 kg,26,€6M - €7.2M,"€156,000 p/m",Physical,Pressing Forward
77012758,Raúl Ruidíaz,25/7/1990 (31 years old),PER,Major League Soccer,Seattle,Right Only,"AM (R), ST (C)",171 cm,66 kg,31,Not for Sale,"€269,000 p/m",Intelligent,Winger
72048200,Miles Robinson,14/3/1997 (25 years old),USA,Major League Soccer,Atlanta United,Right,D (C),188 cm,84 kg,25,€240K - €6M,"€62,000 p/m",Physical,Central Defender
