"Blocking Key Value","Frequency"
"BBA","1"
"BBD","2"
"BBG","1"
"SDB","1"
"SDC","5"
"SDF","2"
"SDG","2"
"JSB","1"
"SDL","3"
"SDM","3"
"SDP","3"
"JSJ","3"
"SDR","2"
"JSL","2"
"JSK","1"
"SDS","2"
"SDV","2"
"JSP","3"
"SDW","1"
"SEH","2"
"SEK","2"
"JTB","1"
"SEJ","1"
"SEM","2"
"FLC","1"
"JTF","1"
"JTH","2"
"BDC","1"
"SES","2"
"A","103"
"B","38"
"C","79"
"D","32"
"E","43"
"FLJ","1"
"F","43"
"G","43"
"BDK","1"
"H","21"
"BDJ","1"
"I","22"
"J","75"
"K","33"
"L","29"
"M","107"
"N","35"
"O","17"
"P","65"
"Q","9"
"R","63"
"S","48"
"BDW","1"
"T","29"
"U","5"
"V","37"
"W","16"
"X","3"
"Y","12"
"Z","11"
"FMN","1"
"BEK","3"
"JVA","1"
"JVC","2"
"JVE","2"
"JVD","10"
"JVG","1"
"FNB","1"
"FND","1"
"JVH","4"
"JVK","2"
"SGS","1"
"JVM","1"
"JVL","1"
"JVN","1"
"SGV","1"
"JVP","1"
"JVS","1"
"JVR","2"
"JVZ","1"
"ÓDM","1"
"SDÞ","1"
"JWY","2"
"OAA","1"
"FPA","1"
"SIM","1"
"OAK","2"
"FPE","1"
"OAM","1"
"FPD","1"
"OAO","2"
"Á","7"
"Â","1"
"É","1"
"FPV","1"
"Í","2"
"Ó","5"
"SJN","1"
"OBM","2"
"JYL","1"
"SKM","1"
