"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] PlayerNameComparatorJaccard record1Value","[0] PlayerNameComparatorJaccard record2Value","[0] PlayerNameComparatorJaccard record1PreprocessedValue","[0] PlayerNameComparatorJaccard record2PreprocessedValue","[0] PlayerNameComparatorJaccard similarity","[0] PlayerNameComparatorJaccard postproccesedSimilarity","[1] PlayerClubComparatorLowerCaseJaccard record1Value","[1] PlayerClubComparatorLowerCaseJaccard record2Value","[1] PlayerClubComparatorLowerCaseJaccard record1PreprocessedValue","[1] PlayerClubComparatorLowerCaseJaccard record2PreprocessedValue","[1] PlayerClubComparatorLowerCaseJaccard similarity","[1] PlayerClubComparatorLowerCaseJaccard postproccesedSimilarity","[2] PlayerNameComparatorEqual record1Value","[2] PlayerNameComparatorEqual record2Value","[2] PlayerNameComparatorEqual record1PreprocessedValue","[2] PlayerNameComparatorEqual record2PreprocessedValue","[2] PlayerNameComparatorEqual similarity","[2] PlayerNameComparatorEqual postproccesedSimilarity","[3] PlayerClubComparatorJaccard record1Value","[3] PlayerClubComparatorJaccard record2Value","[3] PlayerClubComparatorJaccard record1PreprocessedValue","[3] PlayerClubComparatorJaccard record2PreprocessedValue","[3] PlayerClubComparatorJaccard similarity","[3] PlayerClubComparatorJaccard postproccesedSimilarity","[4] PlayerClubComparatorLevenshtein record1Value","[4] PlayerClubComparatorLevenshtein record2Value","[4] PlayerClubComparatorLevenshtein record1PreprocessedValue","[4] PlayerClubComparatorLevenshtein record2PreprocessedValue","[4] PlayerClubComparatorLevenshtein similarity","[4] PlayerClubComparatorLevenshtein postproccesedSimilarity","[5] PlayerNameComparatorLevenshtein record1Value","[5] PlayerNameComparatorLevenshtein record2Value","[5] PlayerNameComparatorLevenshtein record1PreprocessedValue","[5] PlayerNameComparatorLevenshtein record2PreprocessedValue","[5] PlayerNameComparatorLevenshtein similarity","[5] PlayerNameComparatorLevenshtein postproccesedSimilarity","[6] PlayerBirthdateComparator record1Value","[6] PlayerBirthdateComparator record2Value","[6] PlayerBirthdateComparator record1PreprocessedValue","[6] PlayerBirthdateComparator record2PreprocessedValue","[6] PlayerBirthdateComparator similarity","[6] PlayerBirthdateComparator postproccesedSimilarity","[7] PlayerBirthdateComparatorDay record1Value","[7] PlayerBirthdateComparatorDay record2Value","[7] PlayerBirthdateComparatorDay record1PreprocessedValue","[7] PlayerBirthdateComparatorDay record2PreprocessedValue","[7] PlayerBirthdateComparatorDay similarity","[7] PlayerBirthdateComparatorDay postproccesedSimilarity","[8] PlayerBirthdateComparatorDay record1Value","[8] PlayerBirthdateComparatorDay record2Value","[8] PlayerBirthdateComparatorDay record1PreprocessedValue","[8] PlayerBirthdateComparatorDay record2PreprocessedValue","[8] PlayerBirthdateComparatorDay similarity","[8] PlayerBirthdateComparatorDay postproccesedSimilarity","[9] PlayerBirthdateComparatorDay record1Value","[9] PlayerBirthdateComparatorDay record2Value","[9] PlayerBirthdateComparatorDay record1PreprocessedValue","[9] PlayerBirthdateComparatorDay record2PreprocessedValue","[9] PlayerBirthdateComparatorDay similarity","[9] PlayerBirthdateComparatorDay postproccesedSimilarity","[10] PlayerNameComparatorMongeElkan record1Value","[10] PlayerNameComparatorMongeElkan record2Value","[10] PlayerNameComparatorMongeElkan record1PreprocessedValue","[10] PlayerNameComparatorMongeElkan record2PreprocessedValue","[10] PlayerNameComparatorMongeElkan similarity","[10] PlayerNameComparatorMongeElkan postproccesedSimilarity"
"WekaMatchingRule","eafc_7114","fm_9244","0.0",,"S. Loric","Sebastiano Lenzi","S. Loric","Sebastiano Lenzi","0.0","0.0","Quevilly Rouen","Modena","quevilly rouen","modena","0.0","0.0","S. Loric","Sebastiano Lenzi","S. Loric","Sebastiano Lenzi","0.0","0.0","Quevilly Rouen","Modena","Quevilly Rouen","Modena","0.0","0.0","Quevilly Rouen","Modena","Quevilly Rouen","Modena","0.1428571428571429","0.1428571428571429","S. Loric","Sebastiano Lenzi","S. Loric","Sebastiano Lenzi","0.1875","0.1875","2000-07-05T00:00","2006-03-02T00:00","2000-07-05T00:00","2006-03-02T00:00","0.0","0.0","2000-07-05T00:00","2006-03-02T00:00","2000-07-05T00:00","2006-03-02T00:00","0.0","0.0","2000-07-05T00:00","2006-03-02T00:00","2000-07-05T00:00","2006-03-02T00:00","0.0","0.0","2000-07-05T00:00","2006-03-02T00:00","2000-07-05T00:00","2006-03-02T00:00","0.0","0.0","S. Loric","Sebastiano Lenzi","S. Loric","Sebastiano Lenzi","0.14999999999999997","0.14999999999999997"
"WekaMatchingRule","eafc_9252","fm_1351","1.0",,"K. Arriaga","Kervin Arriaga","K. Arriaga","Kervin Arriaga","0.3333333333333333","0.3333333333333333","Minnesota United","Minnesota","minnesota united","minnesota","0.5","0.0","K. Arriaga","Kervin Arriaga","K. Arriaga","Kervin Arriaga","0.0","0.0","Minnesota United","Minnesota","Minnesota United","Minnesota","0.5","0.0","Minnesota United","Minnesota","Minnesota United","Minnesota","0.5625","0.5625","K. Arriaga","Kervin Arriaga","K. Arriaga","Kervin Arriaga","0.6428571428571428","0.6428571428571428","1998-01-05T00:00","1998-01-05T00:00","1998-01-05T00:00","1998-01-05T00:00","1.0","1.0","1998-01-05T00:00","1998-01-05T00:00","1998-01-05T00:00","1998-01-05T00:00","1.0","1.0","1998-01-05T00:00","1998-01-05T00:00","1998-01-05T00:00","1998-01-05T00:00","1.0","1.0","1998-01-05T00:00","1998-01-05T00:00","1998-01-05T00:00","1998-01-05T00:00","1.0","1.0","K. Arriaga","Kervin Arriaga","K. Arriaga","Kervin Arriaga","0.5833333333333333","0.5833333333333333"
"WekaMatchingRule","eafc_8349","fm_5599","0.0",,"Dário Essugo","David Easmon","Dário Essugo","David Easmon","0.0","0.0","Sporting CP","Ajax","sporting cp","ajax","0.0","0.0","Dário Essugo","David Easmon","Dário Essugo","David Easmon","0.0","0.0","Sporting CP","Ajax","Sporting CP","Ajax","0.0","0.0","Sporting CP","Ajax","Sporting CP","Ajax","0.0","0.0","Dário Essugo","David Easmon","Dário Essugo","David Easmon","0.41666666666666663","0.41666666666666663","2005-03-14T00:00","2005-09-27T00:00","2005-03-14T00:00","2005-09-27T00:00","1.0","1.0","2005-03-14T00:00","2005-09-27T00:00","2005-03-14T00:00","2005-09-27T00:00","0.0","0.0","2005-03-14T00:00","2005-09-27T00:00","2005-03-14T00:00","2005-09-27T00:00","0.0","0.0","2005-03-14T00:00","2005-09-27T00:00","2005-03-14T00:00","2005-09-27T00:00","0.0","0.0","Dário Essugo","David Easmon","Dário Essugo","David Easmon","0.3666666666666667","0.3666666666666667"
"WekaMatchingRule","eafc_5916","fm_8553","0.0",,"C. Klarer","Christos Kourfalidis","C. Klarer","Christos Kourfalidis","0.0","0.0","Darmstadt 98","Cagliari","darmstadt 98","cagliari","0.0","0.0","C. Klarer","Christos Kourfalidis","C. Klarer","Christos Kourfalidis","0.0","0.0","Darmstadt 98","Cagliari","Darmstadt 98","Cagliari","0.0","0.0","Darmstadt 98","Cagliari","Darmstadt 98","Cagliari","0.16666666666666663","0.16666666666666663","C. Klarer","Christos Kourfalidis","C. Klarer","Christos Kourfalidis","0.19999999999999996","0.19999999999999996","2000-06-14T00:00","2002-11-11T00:00","2000-06-14T00:00","2002-11-11T00:00","0.33333333333333337","0.33333333333333337","2000-06-14T00:00","2002-11-11T00:00","2000-06-14T00:00","2002-11-11T00:00","0.0","0.0","2000-06-14T00:00","2002-11-11T00:00","2000-06-14T00:00","2002-11-11T00:00","0.0","0.0","2000-06-14T00:00","2002-11-11T00:00","2000-06-14T00:00","2002-11-11T00:00","0.0","0.0","C. Klarer","Christos Kourfalidis","C. Klarer","Christos Kourfalidis","0.15340909090909088","0.15340909090909088"
"WekaMatchingRule","eafc_3310","fm_11893","0.0",,"L. Berry","Loïc Badé","L. Berry","Loïc Badé","0.0","0.0","Luton Town","Nottm Forest","luton town","nottm forest","0.0","0.0","L. Berry","Loïc Badé","L. Berry","Loïc Badé","0.0","0.0","Luton Town","Nottm Forest","Luton Town","Nottm Forest","0.0","0.0","Luton Town","Nottm Forest","Luton Town","Nottm Forest","0.25","0.25","L. Berry","Loïc Badé","L. Berry","Loïc Badé","0.2222222222222222","0.2222222222222222","1992-07-12T00:00","2000-04-11T00:00","1992-07-12T00:00","2000-04-11T00:00","0.0","0.0","1992-07-12T00:00","2000-04-11T00:00","1992-07-12T00:00","2000-04-11T00:00","0.0","0.0","1992-07-12T00:00","2000-04-11T00:00","1992-07-12T00:00","2000-04-11T00:00","0.0","0.0","1992-07-12T00:00","2000-04-11T00:00","1992-07-12T00:00","2000-04-11T00:00","0.0","0.0","L. Berry","Loïc Badé","L. Berry","Loïc Badé","0.22499999999999998","0.22499999999999998"
"WekaMatchingRule","fm_15337","eafc_9798",,"0","MT","M. Tepe","MT","M. Tepe","0.0","0.0","Santa Clara","Trabzonspor","santa clara","trabzonspor","0.0","0.0","MT","M. Tepe","MT","M. Tepe","0.0","0.0","Santa Clara","Trabzonspor","Santa Clara","Trabzonspor","0.0","0.0","Santa Clara","Trabzonspor","Santa Clara","Trabzonspor","0.09090909090909094","0.09090909090909094","MT","M. Tepe","MT","M. Tepe","0.2857142857142857","0.2857142857142857","2001-03-01T00:00","2001-01-01T00:00","2001-03-01T00:00","2001-01-01T00:00","1.0","1.0","2001-03-01T00:00","2001-01-01T00:00","2001-03-01T00:00","2001-01-01T00:00","0.0","0.0","2001-03-01T00:00","2001-01-01T00:00","2001-03-01T00:00","2001-01-01T00:00","0.41000000000000003","0.41000000000000003","2001-03-01T00:00","2001-01-01T00:00","2001-03-01T00:00","2001-01-01T00:00","0.0","0.0","MT","M. Tepe","MT","M. Tepe","0.5","0.5"
"WekaMatchingRule","eafc_3315","fm_10550","0.0",,"Z. Yavru","Zhang Yi","Z. Yavru","Zhang Yi","0.0","0.0","Samsunspor","Tianjin","samsunspor","tianjin","0.0","0.0","Z. Yavru","Zhang Yi","Z. Yavru","Zhang Yi","0.0","0.0","Samsunspor","Tianjin","Samsunspor","Tianjin","0.0","0.0","Samsunspor","Tianjin","Samsunspor","Tianjin","0.09999999999999998","0.09999999999999998","Z. Yavru","Zhang Yi","Z. Yavru","Zhang Yi","0.125","0.125","1991-09-05T00:00","1993-08-17T00:00","1991-09-05T00:00","1993-08-17T00:00","0.33333333333333337","0.33333333333333337","1991-09-05T00:00","1993-08-17T00:00","1991-09-05T00:00","1993-08-17T00:00","0.0","0.0","1991-09-05T00:00","1993-08-17T00:00","1991-09-05T00:00","1993-08-17T00:00","0.0","0.0","1991-09-05T00:00","1993-08-17T00:00","1991-09-05T00:00","1993-08-17T00:00","0.0","0.0","Z. Yavru","Zhang Yi","Z. Yavru","Zhang Yi","0.19999999999999996","0.19999999999999996"
"WekaMatchingRule","eafc_8241","fm_12929","0.0",,"A. Mabika","Ashton Muir","A. Mabika","Ashton Muir","0.0","0.0","Toronto","Man City","toronto","man city","0.0","0.0","A. Mabika","Ashton Muir","A. Mabika","Ashton Muir","0.0","0.0","Toronto","Man City","Toronto","Man City","0.0","0.0","Toronto","Man City","Toronto","Man City","0.125","0.125","A. Mabika","Ashton Muir","A. Mabika","Ashton Muir","0.18181818181818177","0.18181818181818177","1998-08-16T00:00","2005-12-08T00:00","1998-08-16T00:00","2005-12-08T00:00","0.0","0.0","1998-08-16T00:00","2005-12-08T00:00","1998-08-16T00:00","2005-12-08T00:00","0.0","0.0","1998-08-16T00:00","2005-12-08T00:00","1998-08-16T00:00","2005-12-08T00:00","0.0","0.0","1998-08-16T00:00","2005-12-08T00:00","1998-08-16T00:00","2005-12-08T00:00","0.0","0.0","A. Mabika","Ashton Muir","A. Mabika","Ashton Muir","0.25","0.25"
"WekaMatchingRule","eafc_5870","fm_15815","0.0",,"X. Amaechi","Xeber Alkain","X. Amaechi","Xeber Alkain","0.0","0.0","Magdeburg","Alavés","magdeburg","alavés","0.0","0.0","X. Amaechi","Xeber Alkain","X. Amaechi","Xeber Alkain","0.0","0.0","Magdeburg","Alavés","Magdeburg","Alavés","0.0","0.0","Magdeburg","Alavés","Magdeburg","Alavés","0.11111111111111116","0.11111111111111116","X. Amaechi","Xeber Alkain","X. Amaechi","Xeber Alkain","0.25","0.25","2001-01-05T00:00","1997-06-26T00:00","2001-01-05T00:00","1997-06-26T00:00","0.0","0.0","2001-01-05T00:00","1997-06-26T00:00","2001-01-05T00:00","1997-06-26T00:00","0.0","0.0","2001-01-05T00:00","1997-06-26T00:00","2001-01-05T00:00","1997-06-26T00:00","0.0","0.0","2001-01-05T00:00","1997-06-26T00:00","2001-01-05T00:00","1997-06-26T00:00","0.0","0.0","X. Amaechi","Xeber Alkain","X. Amaechi","Xeber Alkain","0.17142857142857143","0.17142857142857143"
"WekaMatchingRule","eafc_6859","fm_1847","0.0",,"M. Diarra","Munas Dabbur","M. Diarra","Munas Dabbur","0.0","0.0","Toulouse","Hoffenheim","toulouse","hoffenheim","0.0","0.0","M. Diarra","Munas Dabbur","M. Diarra","Munas Dabbur","0.0","0.0","Toulouse","Hoffenheim","Toulouse","Hoffenheim","0.0","0.0","Toulouse","Hoffenheim","Toulouse","Hoffenheim","0.19999999999999996","0.19999999999999996","M. Diarra","Munas Dabbur","M. Diarra","Munas Dabbur","0.25","0.25","2000-11-10T00:00","1992-05-14T00:00","2000-11-10T00:00","1992-05-14T00:00","0.0","0.0","2000-11-10T00:00","1992-05-14T00:00","2000-11-10T00:00","1992-05-14T00:00","0.0","0.0","2000-11-10T00:00","1992-05-14T00:00","2000-11-10T00:00","1992-05-14T00:00","0.0","0.0","2000-11-10T00:00","1992-05-14T00:00","2000-11-10T00:00","1992-05-14T00:00","0.0","0.0","M. Diarra","Munas Dabbur","M. Diarra","Munas Dabbur","0.1833333333333333","0.1833333333333333"
