"Blocking Key Value","Frequency"
"SA,MARI","30"
"NEBO,ZHHU,HUCU,RABA,GABR,GACA,ZHYA,GACH,IGMI,DIAL,GAJE,RALI,RALE,DIGU,RAMO,DIGA,RAPA,HUVA,GAPA,GAPI,GASA,RATO,THAL,THCO,THFO,SEDA,SEGO,EMBE,SEGU,THMA,LÉDU,SELE,SELO,SEOR,SERI,ARCA,CR,DI,DJ,DO,EL,IA,LE,HÉ,TIDA,TIES,AROR,MUSA,RU,ARSO,TU,TITO,TISI,CHFA,CHKE,RUCO,RUBO,FACA,FAFA,FAGO,FRMA,FRMO,RUPA,NIFI,NIGO,RUSO,FRVE,NIPA,NIRE,GECA,NIWI,GEFE,IKMU,GEMA,IKUN,GEMO,LUAH,LUAL,ADAR,ADBU,OMMA,LUGA,JOAR,KACA,SHYA,JOCH,VAFE,LULA,LUJO,LUMU,LUNE,KAJO,SIDO,JOJO,LUPO,JONE,LURI,LUVE,JONO,JOQU,JORE,JOPU,LUVÁ,JOSA,SITA,LEBU,ERBO,ERAL,PACU,PAFA,CLBR,PAHE,MIBO,DOLU,MIME,MIMO,MILO,AFMO,MIPI,PAVÍ,MIRI,FEBO,RYME,JÚMO,JAAM,JAAN,TOAB,D.TA,RIFE,JAMI,JALÓ,TOMO,TOSI,TOVI,RIPE,ÁLPA,ÁLMO,VÍMO,VÍRU,JOÁL,EDBO,DAAL,DAGI,ORRO,LIJI,DAQU,DATO,LIKE,DAVI,DAWE,WISA,PEAL,PEGO,PEMA,JUAR,JUBR,JUGU,TACH,JUJE,JUNI,JEBU,JELE,JERU,CAAL,BOBA,CACH,YABO,CRGU,MODE,NAGI,ALFO,ALFE,KIBA,CRMO,VICA,CANI,CANE,NAME,BOMA,MOMO,VIJA,BOSA,YASH,CAVI,ALRI,YAYU,KISA,DEDI,DEHA,SAAG,ROCA,ROES,SAGA,GOFR,ROFE,ROGU,GOGU,SAJU,ROLO,ROMO,ROPE,ANAL,ANBL,ANFI,SASÁ,ANGE,ROSÁ,ANMI,ANSE,ANTA,TEMO,BRBE,MAAG,BRAR,BRCO,MAAS,BRDU,LODI,BRJO,NUMO,BRLO,MAKE,MANI,BRRO,XASI,JILI,BRVE,BRVA,BRWI,MASÁ,BAYA","2"
"GU,DACA,MABA,MAMO","28"
"CEBI,JIXI,YECH,CAÁL,STVI,RÚDI,DYSO,RÚFE,DYTA,HUBU,RÚLA,IGCO,IGFO,YESH,RÚNE,RÚLI,HUDU,HUGU,RABR,RÚRI,GADI,ÚMEM,IGMA,RÚVI,RÚVE,ELCO,HUOL,RAJU,HUNO,IGPA,IGSI,DIDA,DIDI,IGRO,RAMI,DIFO,IGTH,RAPE,HUPÉ,GASO,GAST,DILE,GRSI,DIJO,GARO,RAMÚ,OILU,RATR,ZILU,DINA,HUZH,DILL,DIPE,DIPI,RAVA,DIMÉ,DIRA,DIRI,DILÓ,HEAR,SEBU,DISÁ,SEBA,DÁES,SEEN,LÉBA,SEHE,LÉCH,HELE,EMHO,THRO,LÉJA,SEPA,HETA,SERA,SERU,AZ,BO,EMMO,LAAG,AREL,WACH,DU,FI,EMRO,MUKA,WADA,HI,IÑMA,IB,IG,ARJO,LÉSC,JH,TIAR,YGNO,IZCA,LI,TICO,RODEPI,TIDJ,IÑPE,OM,ARPU,LÁ,WAMA,KOOB,SO,IÑWI,ST,SU,ARTE,IÑVI,ÍÑSA,UK,LASA,WI,XUYA,TIMO,ZI,WAZI,ENGA,TISA,ENLL,NÉDALU,CHGU,TISÁ,ABBR,ABCO,TIYU,FÉCO,CHPU,GUAS,CHTI,BEPR,MEPA,BESI,GUBU,RUBL,CHWE,GUCO,ABPR,BEVI,FRBE,RUDU,ABRU,GUHA,FABL,FRDE,FRGA,NIAL,FAIS,FRGÁ,FRNA,RUPE,POLI,RUPU,GURA,POMO,FRMÉ,FAPI,POLO,RUSI,GUSÁ,FARU,FRSE,FRPÉ,RUSÁ,NIME,IKBE,POVA,UNGA,RUYÁ,SHCH,GEAR,UNGÓ,SHHU,IKLO,UNLÓ,ÓLTO,UNNÚ,UNSI,GEJE,RELO,IKSE,UNVE,LUAN,AUBU,LUCR,LUBI,GERO,RESA,LUFL,GEYE,KAFI,KÉRO,LUMI,JOFI,ADMO,ADPE,SEÁL,JOFÉ,KALI,LULÓ,LUSA,JOMB,LUSI,JOOR,LUPÉ,JONU,KASA,ADVI,JOTA,ADZO,KAZA,SIPE,ILSÁ,ÂN,WEDA,LELE,ÉD,WEJI,LERO,WESA,PAAZ,DOAU,ERCU,DOCA,PAFO,ERGA,PADU,PAES,DODU,PAIB,CLFA,MIDI,PALE,ERMO,PAMO,PAIÑ,PALÓ,CLMA,PAOL,MIGU,AFFR,PARA,PARI,DOQU,PASE,MILE,CLRA,MIMU,MIPU,XIPE,MIMÁ,MINÓ,MISA,CLWI,MIRE,MIRU,MITI,AFRO,XIXI,JÚBR,FEJI,FENA,FENI,RADETO,FELÓ,FETO,ÂNTA,MÁRU,JAFA,AGME,JAGU,JÚUR,TOES,IKÁL,TOFU,JALL,RIES,ÁLCO,TOHÄ,ÁLCE,ÁLDJ,JAME,ÁLDO,TONA,RIHO,ÁLBU,TOME,JAOL,JAOR,ÁLGI,ÁLGA,TORI,VÍCH,ÁLLE,RIPU,JASÁ,VÍGA,RIRY,VÍDÍ,VÍGÓ,RISO,RIVE,ÁLTE,ÁLSO,ÁLRE,ÁLNÚ,VÍVÁ,AYPÉ,ZÉLU,DAAM,DACE,ZÉMA,EDES,EDEX,DAFA,DAES,DACÁ,DAFI,EDIÉ,DAJI,AIBU,DAGÓ,AIFU,EDPI,DAOL,DAOJ,EDQU,ÉDMI,DALÓ,ORRE,DATA,WIJO,WIMA,AIMU,AIPA,AIOR,AISA,AIRU,PEAP,PEAM,PEBE,PECA,PEDÍ,EVJU,PEGA,PELI,ÓSCL,PENE,ÓSAR,PEMI,PEPI,PEPO,JUAL,ÓSGI,PEOB,PEOR,PETI,IAAS,JUFI,PEXI,JUIG,PESÁ,ÓSPI,ÓSPL,JUOR,ÓSSI,ÓSRI,ÀLCO,ÀLCA,JUSO,FIFE,TAMA,ÓSVA,TAMI,JUSE,JUPÉ,IALÓ,JUSÁ,FIRE,JEJI,JEKA,JENA,FÁMA,NÚFO,JEMO,CÉGE,FÁRO,FÁTA,NÉLO,FÁSI,FÁVI,CAAU,YACH,YACO,CAED,NÉOL,CAFE,JEVÁ,CRGO,YADI,CRHE,CAFO,CAGI,ALDU,NAGA,BOGO,NÉSE,CAIS,BOIG,VIBR,YAMI,MOGÓ,NAMO,CRPO,CAJÚ,KIFE,CAPO,CRSA,CRRI,ALMU,CASO,NAMÉ,CASE,CRTE,CAPÉ,YARU,ALRE,NAVI,KIOL,VIME,LLLÓ,ALRU,CASÁ,ALTE,ALSU,ALSI,KISI,VIRO,YAZH,YAXU,VISI,VISO,KIPÉ,DEFR,HÉBE,DEPE,DEPO,DESU,HÉMO,GOBO,HÉPE,SÉOL,SACR,SABO,ROCO,HADO,GOCO,RODO,GOES,HÉVA,HAJI,ROFI,ROGA,GOIN,SAME,SAMA,PEÁL,SALI,GONO,RONA,GOPI,HARO,SAPO,GOPA,GOSI,ROLÓ,SARO,GORA,ROVI,ROVU,ANFR,GOVE,GOVI,ANHE,IVAZ,IVAY,NUDACO,IVAL,ANLA,IVCU,ANOL,IVGI,ANPI,IVJA,ANTR,ANSÁ,IVMO,ANVI,IVPI,IVMÁ,YUBE,IVVI,IVSÁ,MAAI,CUHE,BRFE,BRGI,NULI,NUME,MAJU,BROL,MALL,MAJÚ,JIGU,NUTA,JIHA,BRPA,BRMÉ,MANU,JIJI,MASU,CUSÁ,STEU,BRVI,LORO","1"
"LUMA","27"
"RAAL","26"
"FA,HE,JOFE,ROMA,ANSI,MAGA,MAHE","24"
"JAMA,MAAL,MACO,MAPE","22"
"AR,FE,JU,RA,ALMA,ANMA","20"
"JOGO,JOPA,ANGO","18"
"MASA","17"
"JOSÁ,ALSA","16"
"BE,RO","77"
"SESA,WA,JOSI,MICA,MAVI","15"
"CH","72"
"GAMA,MU,JOBA,JOME,MIMA,DARO,ANPE","14"
"MARO","68"
"SECA,DE,KA,LU,MI,SE,LUHE,JOGA,LUPE,JOMI,JOPE,JOVI,PARO,ÁLMA,DARA,JEBE,SACO,ANLU","12"
"PA","66"
"MAPA","11"
"NA","64"
"ELBA,CO,GA,VA,SHLI,JOGR,LUPI,MIBA,MIRO,LISH,ALGO,ROBA,MACU","10"
"MO","56"
"ZHZH,KI,ME,NE,WE,LUPA,PATO,JAGA,ÁLBE,ALGA","9"
"JOMO","49"
"ZHCH,RAFE,DICO,DIGO,ELMA,RASA,AD,IS,KE,SI,TA,ZA,CHZH,LUCA,LUFE,JODO,JOPO,JAHE,ÁLBA,DASI,LILI,JUCA,ALAR,ALBO,ALBA,ALSO,SACA,IVMA,MAFR,MAFE","8"
"JOCA","45"
"JOCO,ANBA,MAGR,MAPO,MASO","7"
"BR,JA,RI","40"
"ANCA","36"
"MA","768"
"JO","180"
"VI","150"
"JOMA","144"
"CA","120"
"MACA","108"
"PE","104"
"AL","102"
"AN","88"
"MAMA","80"
"RAGA,DICA,DIMO,DIPA,SEMO,SERO,FR,LA,PI,PO,TO,CHCH,GUHE,LUSE,LELO,JABA,JACA,JALA,ÁLFE,ÁLSA,ÁLVA,DACO,DAGA,DAMO,DASE,PEPE,JUME,CACO,NAFE,ALBE,CAMA,ALPE,ALRO,ROTA,ANFE,MABO,MAAN,MADI,MAFU,BRLA,MAME,MARE","6"
"JIZH,CL,PU,QU,TR,CHRI,JOAL,ADMA,LEBA,JACO,TOLE,JAMO,DAMA,DAPE,ALMI,HAHA,ANGA,ANSA,ANRO,MABU,MAPI,MASI,MAVA","5"
"DA","35"
"ZHJI,ZHLI,RACA,RANA,HUSO,RAMA,GAPE,GAVE,SEGÓ,ED,EV,FL,OT,RE,TH,SÁ,RUAL,FRCA,RUGA,NICA,GURO,GUSA,FRVI,NISE,UNMA,JOBE,JOBR,JOFO,JOLE,LURO,ADSA,ADTR,JOMÁ,JORO,JOSE,JOVA,J.NG,PAGA,MICR,PAVI,MIPA,FEAN,MIVE,FESI,JAGR,RIBA,ÁLCA,JAMU,ÁLBL,JASE,RIMA,VÍGO,ÁLLÓ,ÁLPE,ZÉCA,DABR,DAFE,EDSE,DARE,PECH,LIZH,PEME,PEMO,PERE,JUCR,JUBE,PESA,JUGA,JULA,JUMA,FÁCA,JEFE,CAHE,BOGA,KIGA,YALI,ALMO,ALSE,DEMA,ROBE,ROHE,ANAN,SASO,RORI,ANBO,ANGU,ANHO,IVCA,ANRA,IVRO,MAGI,MAGO,BRMA,STBA,MANE,NUSA,MATR","4"
"PAMA","32"
"ZHWE,RAGU,DIMA,THLU,THSI,AB,CÉ,GR,JE,KO,ARMA,TIDI,NO,OS,TIGO,ARSI,TE,TIMA,ENCO,BEME,CHRA,FRAN,FRCO,ADBE,JOAN,JOAM,GEVA,JOCU,JODA,LULI,JOMU,LUTO,JOTE,JORU,LECO,LEPA,LESA,PABA,WEZH,MIBE,PASA,PAWI,FECA,JAAL,JABI,TOAL,TOAR,TOLA,TOMA,ÁLRO,WICA,DANE,DAPO,DASO,DASA,YOTA,LIYA,C.SA,ISPA,CADO,ALCO,CAHU,ALFL,NAMA,CRRO,CARO,ALPA,VIMA,DEWA,ROGO,ROIB,SALO,ROMU,ROME,ANFA,ANGI,ANMO,ANVA,BRBR,BRGU,BRGA,MALU,MAOL,MANA,YUYA,MATA,MATE","3"
