"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] PlayerNameComparatorJaccard record1Value","[0] PlayerNameComparatorJaccard record2Value","[0] PlayerNameComparatorJaccard record1PreprocessedValue","[0] PlayerNameComparatorJaccard record2PreprocessedValue","[0] PlayerNameComparatorJaccard similarity","[0] PlayerNameComparatorJaccard postproccesedSimilarity","[1] PlayerClubComparatorLowerCaseJaccard record1Value","[1] PlayerClubComparatorLowerCaseJaccard record2Value","[1] PlayerClubComparatorLowerCaseJaccard record1PreprocessedValue","[1] PlayerClubComparatorLowerCaseJaccard record2PreprocessedValue","[1] PlayerClubComparatorLowerCaseJaccard similarity","[1] PlayerClubComparatorLowerCaseJaccard postproccesedSimilarity","[2] PlayerNameComparatorEqual record1Value","[2] PlayerNameComparatorEqual record2Value","[2] PlayerNameComparatorEqual record1PreprocessedValue","[2] PlayerNameComparatorEqual record2PreprocessedValue","[2] PlayerNameComparatorEqual similarity","[2] PlayerNameComparatorEqual postproccesedSimilarity","[3] PlayerClubComparatorJaccard record1Value","[3] PlayerClubComparatorJaccard record2Value","[3] PlayerClubComparatorJaccard record1PreprocessedValue","[3] PlayerClubComparatorJaccard record2PreprocessedValue","[3] PlayerClubComparatorJaccard similarity","[3] PlayerClubComparatorJaccard postproccesedSimilarity","[4] PlayerClubComparatorLevenshtein record1Value","[4] PlayerClubComparatorLevenshtein record2Value","[4] PlayerClubComparatorLevenshtein record1PreprocessedValue","[4] PlayerClubComparatorLevenshtein record2PreprocessedValue","[4] PlayerClubComparatorLevenshtein similarity","[4] PlayerClubComparatorLevenshtein postproccesedSimilarity","[5] PlayerNameComparatorLevenshtein record1Value","[5] PlayerNameComparatorLevenshtein record2Value","[5] PlayerNameComparatorLevenshtein record1PreprocessedValue","[5] PlayerNameComparatorLevenshtein record2PreprocessedValue","[5] PlayerNameComparatorLevenshtein similarity","[5] PlayerNameComparatorLevenshtein postproccesedSimilarity","[6] PlayerBirthdateComparator record1Value","[6] PlayerBirthdateComparator record2Value","[6] PlayerBirthdateComparator record1PreprocessedValue","[6] PlayerBirthdateComparator record2PreprocessedValue","[6] PlayerBirthdateComparator similarity","[6] PlayerBirthdateComparator postproccesedSimilarity","[7] PlayerJerseyNumberComparatorEqual record1Value","[7] PlayerJerseyNumberComparatorEqual record2Value","[7] PlayerJerseyNumberComparatorEqual record1PreprocessedValue","[7] PlayerJerseyNumberComparatorEqual record2PreprocessedValue","[7] PlayerJerseyNumberComparatorEqual similarity","[7] PlayerJerseyNumberComparatorEqual postproccesedSimilarity","[8] PlayerBirthdateComparatorDay record1Value","[8] PlayerBirthdateComparatorDay record2Value","[8] PlayerBirthdateComparatorDay record1PreprocessedValue","[8] PlayerBirthdateComparatorDay record2PreprocessedValue","[8] PlayerBirthdateComparatorDay similarity","[8] PlayerBirthdateComparatorDay postproccesedSimilarity","[9] PlayerNameComparatorMongeElkan record1Value","[9] PlayerNameComparatorMongeElkan record2Value","[9] PlayerNameComparatorMongeElkan record1PreprocessedValue","[9] PlayerNameComparatorMongeElkan record2PreprocessedValue","[9] PlayerNameComparatorMongeElkan similarity","[9] PlayerNameComparatorMongeElkan postproccesedSimilarity"
"WekaMatchingRule","eafc_9909","tm_4907",,"0","H. Yeşilyurt","Hasan Emre Yesilyurt","H. Yeşilyurt","Hasan Emre Yesilyurt","0.0","0.0","Kasımpaşa","Kasimpasa","kasımpaşa","kasimpasa","0.0","0.0","H. Yeşilyurt","Hasan Emre Yesilyurt","H. Yeşilyurt","Hasan Emre Yesilyurt","0.0","0.0","Kasımpaşa","Kasimpasa","Kasımpaşa","Kasimpasa","0.0","0.0","Kasımpaşa","Kasimpasa","Kasımpaşa","Kasimpasa","0.7777777777777778","0.7777777777777778","H. Yeşilyurt","Hasan Emre Yesilyurt","H. Yeşilyurt","Hasan Emre Yesilyurt","0.5","0.5","2000-08-18T00:00","2000-08-18T00:00","2000-08-18T00:00","2000-08-18T00:00","1.0","1.0","80","80","80","80","1.0","1.0","2000-08-18T00:00","2000-08-18T00:00","2000-08-18T00:00","2000-08-18T00:00","1.0","1.0","H. Yeşilyurt","Hasan Emre Yesilyurt","H. Yeşilyurt","Hasan Emre Yesilyurt","0.5444444444444444","0.5444444444444444"
"WekaMatchingRule","eafc_8420","tm_6766",,"1","Carlos Domínguez","Carlos Domínguez","Carlos Domínguez","Carlos Domínguez","1.0","1.0","Celta de Vigo","Celta de Vigo","celta de vigo","celta de vigo","1.0","0.0","Carlos Domínguez","Carlos Domínguez","Carlos Domínguez","Carlos Domínguez","1.0","1.0","Celta de Vigo","Celta de Vigo","Celta de Vigo","Celta de Vigo","1.0","1.0","Celta de Vigo","Celta de Vigo","Celta de Vigo","Celta de Vigo","1.0","1.0","Carlos Domínguez","Carlos Domínguez","Carlos Domínguez","Carlos Domínguez","1.0","1.0","2001-02-11T00:00","2001-02-11T00:00","2001-02-11T00:00","2001-02-11T00:00","1.0","1.0","28","28","28","28","1.0","1.0","2001-02-11T00:00","2001-02-11T00:00","2001-02-11T00:00","2001-02-11T00:00","1.0","1.0","Carlos Domínguez","Carlos Domínguez","Carlos Domínguez","Carlos Domínguez","1.0","1.0"
"WekaMatchingRule","tm_3041","eafc_9501","0.0",,"Andrigo","A. Aiki","Andrigo","A. Aiki","0.0","0.0","Chengdu Rongcheng","Saint-Étienne","chengdu rongcheng","saint-étienne","0.0","0.0","Andrigo","A. Aiki","Andrigo","A. Aiki","0.0","0.0","Chengdu Rongcheng","Saint-Étienne","Chengdu Rongcheng","Saint-Étienne","0.0","0.0","Chengdu Rongcheng","Saint-Étienne","Chengdu Rongcheng","Saint-Étienne","0.17647058823529416","0.17647058823529416","Andrigo","A. Aiki","Andrigo","A. Aiki","0.2857142857142857","0.2857142857142857","1995-02-27T00:00","2005-06-25T00:00","1995-02-27T00:00","2005-06-25T00:00","0.0","0.0","18","39","18","39","0.0","0.0","1995-02-27T00:00","2005-06-25T00:00","1995-02-27T00:00","2005-06-25T00:00","0.0","0.0","Andrigo","A. Aiki","Andrigo","A. Aiki","0.2857142857142857","0.2857142857142857"
"WekaMatchingRule","eafc_4441","tm_9266",,"1","Joni Montiel","Joni Montiel","Joni Montiel","Joni Montiel","1.0","1.0","Real Valladolid","Rayo Vallecano","real valladolid","rayo vallecano","0.0","0.0","Joni Montiel","Joni Montiel","Joni Montiel","Joni Montiel","1.0","1.0","Real Valladolid","Rayo Vallecano","Real Valladolid","Rayo Vallecano","0.0","0.0","Real Valladolid","Rayo Vallecano","Real Valladolid","Rayo Vallecano","0.4","0.4","Joni Montiel","Joni Montiel","Joni Montiel","Joni Montiel","1.0","1.0","1998-09-03T00:00","1998-09-03T00:00","1998-09-03T00:00","1998-09-03T00:00","1.0","1.0","21","21","21","21","1.0","1.0","1998-09-03T00:00","1998-09-03T00:00","1998-09-03T00:00","1998-09-03T00:00","1.0","1.0","Joni Montiel","Joni Montiel","Joni Montiel","Joni Montiel","1.0","1.0"
"WekaMatchingRule","eafc_4857","tm_1832",,"1","P. Kammerbauer","Patrick Kammerbauer","P. Kammerbauer","Patrick Kammerbauer","0.3333333333333333","0.3333333333333333","Verl","SC Verl","verl","sc verl","0.5","0.0","P. Kammerbauer","Patrick Kammerbauer","P. Kammerbauer","Patrick Kammerbauer","0.0","0.0","Verl","SC Verl","Verl","SC Verl","0.5","0.0","Verl","SC Verl","Verl","SC Verl","0.5714285714285714","0.5714285714285714","P. Kammerbauer","Patrick Kammerbauer","P. Kammerbauer","Patrick Kammerbauer","0.6842105263157895","0.6842105263157895","1997-02-11T00:00","1997-02-11T00:00","1997-02-11T00:00","1997-02-11T00:00","1.0","1.0","15","10","15","10","0.0","0.0","1997-02-11T00:00","1997-02-11T00:00","1997-02-11T00:00","1997-02-11T00:00","1.0","1.0","P. Kammerbauer","Patrick Kammerbauer","P. Kammerbauer","Patrick Kammerbauer","0.5714285714285714","0.5714285714285714"
"WekaMatchingRule","eafc_8070","tm_2349",,"0","M. Al Oufi","Mohammed Al-Oufi","M. Al Oufi","Mohammed Al-Oufi","0.5","0.5","Abha","Abha Club","abha","abha club","0.5","0.0","M. Al Oufi","Mohammed Al-Oufi","M. Al Oufi","Mohammed Al-Oufi","0.0","0.0","Abha","Abha Club","Abha","Abha Club","0.5","0.0","Abha","Abha Club","Abha","Abha Club","0.4444444444444444","0.4444444444444444","M. Al Oufi","Mohammed Al-Oufi","M. Al Oufi","Mohammed Al-Oufi","0.5","0.5","2002-08-08T00:00","2002-08-08T00:00","2002-08-08T00:00","2002-08-08T00:00","1.0","1.0","24","24","24","24","1.0","1.0","2002-08-08T00:00","2002-08-08T00:00","2002-08-08T00:00","2002-08-08T00:00","1.0","1.0","M. Al Oufi","Mohammed Al-Oufi","M. Al Oufi","Mohammed Al-Oufi","0.3273809523809524","0.3273809523809524"
"WekaMatchingRule","tm_9318","eafc_2501","0.01",,"Alemão","A. Ateef","Alemão","A. Ateef","0.0","0.0",,"Al Ahli Jeddah","","al ahli jeddah","0.0","0.0","Alemão","A. Ateef","Alemão","A. Ateef","0.0","0.0",,"Al Ahli Jeddah",,"Al Ahli Jeddah","0.0","0.0",,"Al Ahli Jeddah",,"Al Ahli Jeddah","0.0","0.0","Alemão","A. Ateef","Alemão","A. Ateef","0.125","0.125","1998-04-01T00:00","1992-08-03T00:00","1998-04-01T00:00","1992-08-03T00:00","0.0","0.0","14","14","14","14","1.0","1.0","1998-04-01T00:00","1992-08-03T00:00","1998-04-01T00:00","1992-08-03T00:00","0.0","0.0","Alemão","A. Ateef","Alemão","A. Ateef","0.33333333333333337","0.33333333333333337"
"WekaMatchingRule","tm_9318","eafc_10263","0.0",,"Alemão","Alarcón","Alemão","Alarcón","0.0","0.0",,"FC Barcelona","","fc barcelona","0.0","0.0","Alemão","Alarcón","Alemão","Alarcón","0.0","0.0",,"FC Barcelona",,"FC Barcelona","0.0","0.0",,"FC Barcelona",,"FC Barcelona","0.0","0.0","Alemão","Alarcón","Alemão","Alarcón","0.2857142857142857","0.2857142857142857","1998-04-01T00:00","2004-05-15T00:00","1998-04-01T00:00","2004-05-15T00:00","0.0","0.0","14","29","14","29","0.0","0.0","1998-04-01T00:00","2004-05-15T00:00","1998-04-01T00:00","2004-05-15T00:00","0.0","0.0","Alemão","Alarcón","Alemão","Alarcón","0.2857142857142857","0.2857142857142857"
"WekaMatchingRule","eafc_5354","tm_6044",,"1","W. McKennie","Weston McKennie","W. McKennie","Weston McKennie","0.3333333333333333","0.3333333333333333","Juventus","Juventus FC","juventus","juventus fc","0.5","0.0","W. McKennie","Weston McKennie","W. McKennie","Weston McKennie","0.0","0.0","Juventus","Juventus FC","Juventus","Juventus FC","0.5","0.0","Juventus","Juventus FC","Juventus","Juventus FC","0.7272727272727273","0.7272727272727273","W. McKennie","Weston McKennie","W. McKennie","Weston McKennie","0.6666666666666667","0.6666666666666667","1998-08-28T00:00","1998-08-28T00:00","1998-08-28T00:00","1998-08-28T00:00","1.0","1.0","16","16","16","16","1.0","1.0","1998-08-28T00:00","1998-08-28T00:00","1998-08-28T00:00","1998-08-28T00:00","1.0","1.0","W. McKennie","Weston McKennie","W. McKennie","Weston McKennie","0.5833333333333333","0.5833333333333333"
"WekaMatchingRule","eafc_11698","tm_3317",,"1","Li Junju","Junju Li","Li Junju","Junju Li","1.0","1.0","Nantong Zhiyun","Nantong Zhiyun","nantong zhiyun","nantong zhiyun","1.0","0.0","Li Junju","Junju Li","Li Junju","Junju Li","0.0","0.0","Nantong Zhiyun","Nantong Zhiyun","Nantong Zhiyun","Nantong Zhiyun","1.0","1.0","Nantong Zhiyun","Nantong Zhiyun","Nantong Zhiyun","Nantong Zhiyun","1.0","1.0","Li Junju","Junju Li","Li Junju","Junju Li","0.25","0.25","2003-01-17T00:00","2003-01-17T00:00","2003-01-17T00:00","2003-01-17T00:00","1.0","1.0","24","24","24","24","1.0","1.0","2003-01-17T00:00","2003-01-17T00:00","2003-01-17T00:00","2003-01-17T00:00","1.0","1.0","Li Junju","Junju Li","Li Junju","Junju Li","1.0","1.0"
