"Blocking Key Value","Frequency"
"FAAL","64"
"MABO,MASE","63"
"VI,JOFE,JORO,TOBA,ROMA,ANGO,MAHO,MAKO","60"
"CHMA,DARO,ALBO,MOSA,MATO","56"
"LUBE,LUBO,ANBE,ANCO,MAVA","55"
"JOGO,JOGA,LUPE,ALBE,ANSI,MACH,STBE,MAST,MARE","54"
"RAAL,NAAL,MAGO","52"
"JACO,JALE,ANSA","50"
"JOME,MAGR,MASO","49"
"SECA,JU,NA,JOPA,JAHA,MOBA,MODI,SASA,MAHE,MAWI","48"
"SAAL","253"
"LEBA,MICA,MABU,MAAR,MAKA,MAVI","45"
"MOAL","248"
"CHZH,GICA,SABE,MAFA","44"
"MASC","243"
"LUBA,JOHO,JABR,MAAN","42"
"MAPE","231"
"JA,NIMA,LUCA,JOBR,ADMA,LUSC,JOSI,MIRO,HAHA,MAFO,MAGU","40"
"ALMA,MAPA","220"
"CA,LUHE,JABA,JAGR,RIMA,DARA,ALMO","36"
"MABE,MAHA","210"
"BE,DA,NIRA,TOLE,DAPE,ANRO,MAMI,MASI","35"
"JO","204"
"JOCA","198"
"LUMA","189"
"ALCA","184"
"ABAL","954"
"MACA","702"
"MARO","561"
"MAMA","544"
"JOMA","522"
"MA","504"
"MASA","391"
"MABA","350"
"ANCA","288"
"MACO","286"
"TOMA","33"
"RA,DASI,ALLA,ALSE,ROBE","32"
"AL,ABKA,NIST,JOAL,JOBO,JOGR,LUPI,JOPE,LEMA,JEBE,ALCO,ALGO,ALRO,SAMO,LOMA","30"
"MO,ABBA,CHKO,NICA,LUHA,JOBE,JOSC,JOVE,JOVI,MIVE,NOMA,ALDO,ALPI,MADO,BRMA,MANE,MATR","28"
"ANMA,MABR","180"
"SA,FEMA,JABE,JACA,VIMA,MATA","27"
"MAMO","168"
"RI,ALMI,ROSC,MACU","25"
"DABA","165"
"ZHZH,DICO,GAPE,DIMA,FE,GU,MEBO,FRCA,FRCO,BEWI,JOLE,JOKE,PAGA,PARO,PASC,MIPA,JABO,JAHE,JAHO,RIBA,JAMU,JARO,DABR,DADO,DAMO,JUCA,JUBE,KHAL,ALAR,SAAB,SACO,AMSA,ROHE,ANBO,ANLU,MAGI,MAJA,STBA,MATE","24"
"MARI","150"
"MAWA","22"
"JAMA","143"
"HUAL,CHCH,NICO,NIHA,LUMO,JORU,LESA,MIAL,JALI,DACO,ALPA,ALPE,ANMO,MARA,MAVE","21"
"MIBA","130"
"JIZH,RABE,GALA,THDE,LADI,FA,LAMA,FRBO,NIBE,FRMA,NISE,JOBU,JODO,LURO,JOVA,JOSÁ,ERMA,JASH,DAHA,DALA,DAMI,YOMA,LILI,LISH,JULA,FIST,ALSO,ROBA,HAMA,SASO,ANBR,ROSA,ANGU,ANGA,ANJU,ANRA,MADA,STMA","20"
"MADE","128"
"MALA","126"
"AN,ALBA","120"
"PE,DACA","112"
"ZHJI,SEMA,ARMA,NIAN,NILA,ADBE,LUST,LEPA,JADE,JAGA,JALA,JAMC,JAPA,DABE,DASA,ISKA,CACO,YABA,HABA,HACA,SAKA,ANVA,MABI,MAMU,MAPR","18"
"RAFE,RAMA,ELMA,HE,TIWE,CHTR,FASC,SICA,JONI,ADTR,JOPO,TOCA,GIBE,JASE,GIPE,JECA,OUDI,ALDE,MOSI,DEJO,ANHO,ANLO,IVMA,BADI,MAWE","16"
"ELBA,RAGU,BR,NE,ENBA,ABHA,CHRI,ABMA,NIGA,NIRO,NITA,NISA,JOAN,JOCL,ADGR,SIBA,JOTE,LESC,PABA,MIBE,MIPE,TOAL,JADA,JAJA,JATA,TORO,JASC,JASA,LIJI,DASE,JUBA,MOBE,CAHU,CAMA,ALME,ALSC,DEBO,ROME,ANFO,ANFE,ANME,LOCO,MAJO,MALU,MAOL,MANA,MAWO","15"
"DIRO,GA,FRMO,LUCH,JOGU,JOSA,DAFR,DAPA,JUMA,YABO,ALKA,ALPO,MAFI,MASP","14"
"MAAL","110"
