"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] PlayerNameComparatorJaccard record1Value","[0] PlayerNameComparatorJaccard record2Value","[0] PlayerNameComparatorJaccard record1PreprocessedValue","[0] PlayerNameComparatorJaccard record2PreprocessedValue","[0] PlayerNameComparatorJaccard similarity","[0] PlayerNameComparatorJaccard postproccesedSimilarity","[1] PlayerNameReverseComparator record1Value","[1] PlayerNameReverseComparator record2Value","[1] PlayerNameReverseComparator record1PreprocessedValue","[1] PlayerNameReverseComparator record2PreprocessedValue","[1] PlayerNameReverseComparator similarity","[1] PlayerNameReverseComparator postproccesedSimilarity","[2] PlayerNameComparatorLevenshtein record1Value","[2] PlayerNameComparatorLevenshtein record2Value","[2] PlayerNameComparatorLevenshtein record1PreprocessedValue","[2] PlayerNameComparatorLevenshtein record2PreprocessedValue","[2] PlayerNameComparatorLevenshtein similarity","[2] PlayerNameComparatorLevenshtein postproccesedSimilarity","[3] PlayerNameComparatorEqual record1Value","[3] PlayerNameComparatorEqual record2Value","[3] PlayerNameComparatorEqual record1PreprocessedValue","[3] PlayerNameComparatorEqual record2PreprocessedValue","[3] PlayerNameComparatorEqual similarity","[3] PlayerNameComparatorEqual postproccesedSimilarity","[4] PlayerNameComparatorMongeElkan record1Value","[4] PlayerNameComparatorMongeElkan record2Value","[4] PlayerNameComparatorMongeElkan record1PreprocessedValue","[4] PlayerNameComparatorMongeElkan record2PreprocessedValue","[4] PlayerNameComparatorMongeElkan similarity","[4] PlayerNameComparatorMongeElkan postproccesedSimilarity","[5] PlayerBirthdateComparator10Years record1Value","[5] PlayerBirthdateComparator10Years record2Value","[5] PlayerBirthdateComparator10Years record1PreprocessedValue","[5] PlayerBirthdateComparator10Years record2PreprocessedValue","[5] PlayerBirthdateComparator10Years similarity","[5] PlayerBirthdateComparator10Years postproccesedSimilarity","[6] PlayerBirthdateComparator2Years record1Value","[6] PlayerBirthdateComparator2Years record2Value","[6] PlayerBirthdateComparator2Years record1PreprocessedValue","[6] PlayerBirthdateComparator2Years record2PreprocessedValue","[6] PlayerBirthdateComparator2Years similarity","[6] PlayerBirthdateComparator2Years postproccesedSimilarity","[7] PlayerBirthdateComparatorDay record1Value","[7] PlayerBirthdateComparatorDay record2Value","[7] PlayerBirthdateComparatorDay record1PreprocessedValue","[7] PlayerBirthdateComparatorDay record2PreprocessedValue","[7] PlayerBirthdateComparatorDay similarity","[7] PlayerBirthdateComparatorDay postproccesedSimilarity","[8] PlayerBirthdateComparatorDay record1Value","[8] PlayerBirthdateComparatorDay record2Value","[8] PlayerBirthdateComparatorDay record1PreprocessedValue","[8] PlayerBirthdateComparatorDay record2PreprocessedValue","[8] PlayerBirthdateComparatorDay similarity","[8] PlayerBirthdateComparatorDay postproccesedSimilarity","[9] PlayerBirthdateComparator record1Value","[9] PlayerBirthdateComparator record2Value","[9] PlayerBirthdateComparator record1PreprocessedValue","[9] PlayerBirthdateComparator record2PreprocessedValue","[9] PlayerBirthdateComparator similarity","[9] PlayerBirthdateComparator postproccesedSimilarity","[10] PlayerBirthdateComparatorDay record1Value","[10] PlayerBirthdateComparatorDay record2Value","[10] PlayerBirthdateComparatorDay record1PreprocessedValue","[10] PlayerBirthdateComparatorDay record2PreprocessedValue","[10] PlayerBirthdateComparatorDay similarity","[10] PlayerBirthdateComparatorDay postproccesedSimilarity","[11] PlayerClubComparatorLowerCaseJaccard record1Value","[11] PlayerClubComparatorLowerCaseJaccard record2Value","[11] PlayerClubComparatorLowerCaseJaccard record1PreprocessedValue","[11] PlayerClubComparatorLowerCaseJaccard record2PreprocessedValue","[11] PlayerClubComparatorLowerCaseJaccard similarity","[11] PlayerClubComparatorLowerCaseJaccard postproccesedSimilarity","[12] PlayerClubComparatorJaccard record1Value","[12] PlayerClubComparatorJaccard record2Value","[12] PlayerClubComparatorJaccard record1PreprocessedValue","[12] PlayerClubComparatorJaccard record2PreprocessedValue","[12] PlayerClubComparatorJaccard similarity","[12] PlayerClubComparatorJaccard postproccesedSimilarity","[13] PlayerClubComparatorLevenshtein record1Value","[13] PlayerClubComparatorLevenshtein record2Value","[13] PlayerClubComparatorLevenshtein record1PreprocessedValue","[13] PlayerClubComparatorLevenshtein record2PreprocessedValue","[13] PlayerClubComparatorLevenshtein similarity","[13] PlayerClubComparatorLevenshtein postproccesedSimilarity","[14] PlayerLeagueComparatorEqual record1Value","[14] PlayerLeagueComparatorEqual record2Value","[14] PlayerLeagueComparatorEqual record1PreprocessedValue","[14] PlayerLeagueComparatorEqual record2PreprocessedValue","[14] PlayerLeagueComparatorEqual similarity","[14] PlayerLeagueComparatorEqual postproccesedSimilarity"
"WekaMatchingRule","tm_2407","fm_10272",,"0","Abdulrahman Al-Shammari","Abdulrahman Al-Ghamdi","Abdulrahman Al-Shammari","Abdulrahman Al-Ghamdi","0.5","0.5","Abdulrahman Al-Shammari","Al-Ghamdi Abdulrahman","Abdulrahman Al-Shammari","Al-Ghamdi Abdulrahman","0.30434782608695654","0.30434782608695654","Abdulrahman Al-Shammari","Abdulrahman Al-Ghamdi","Abdulrahman Al-Shammari","Abdulrahman Al-Ghamdi","0.8260869565217391","0.8260869565217391","Abdulrahman Al-Shammari","Abdulrahman Al-Ghamdi","Abdulrahman Al-Shammari","Abdulrahman Al-Ghamdi","0.0","0.0","Abdulrahman Al-Shammari","Abdulrahman Al-Ghamdi","Abdulrahman Al-Shammari","Abdulrahman Al-Ghamdi","0.8181818181818181","0.8181818181818181","1900-01-01T00:00","1994-11-01T00:00","1900-01-01T00:00","1994-11-01T00:00","0.0","0.0","1900-01-01T00:00","1994-11-01T00:00","1900-01-01T00:00","1994-11-01T00:00","0.0","0.0","1900-01-01T00:00","1994-11-01T00:00","1900-01-01T00:00","1994-11-01T00:00","0.0","0.0","1900-01-01T00:00","1994-11-01T00:00","1900-01-01T00:00","1994-11-01T00:00","0.0","0.0","1900-01-01T00:00","1994-11-01T00:00","1900-01-01T00:00","1994-11-01T00:00","0.0","0.0","1900-01-01T00:00","1994-11-01T00:00","1900-01-01T00:00","1994-11-01T00:00","0.0","0.0","Al-Riyadh SC","Al-Raed","al-riyadh sc","al-raed","0.25","0.0","Al-Riyadh SC","Al-Raed","Al-Riyadh SC","Al-Raed","0.25","0.0","Al-Riyadh SC","Al-Raed","Al-Riyadh SC","Al-Raed","0.41666666666666663","0.41666666666666663",,"Saudi Professional League",,"Saudi Professional League","0.0","0.0"
"WekaMatchingRule","tm_3508","fm_9734",,"0","Ahmetcan Kaplan","Kazımcan Karataş","Ahmetcan Kaplan","Kazımcan Karataş","0.0","0.0","Ahmetcan Kaplan","Karataş Kazımcan","Ahmetcan Kaplan","Karataş Kazımcan","0.375","0.375","Ahmetcan Kaplan","Kazımcan Karataş","Ahmetcan Kaplan","Kazımcan Karataş","0.4375","0.4375","Ahmetcan Kaplan","Kazımcan Karataş","Ahmetcan Kaplan","Kazımcan Karataş","0.0","0.0","Ahmetcan Kaplan","Kazımcan Karataş","Ahmetcan Kaplan","Kazımcan Karataş","0.4375","0.4375","2003-01-16T00:00","2003-01-16T00:00","2003-01-16T00:00","2003-01-16T00:00","1.0","1.0","2003-01-16T00:00","2003-01-16T00:00","2003-01-16T00:00","2003-01-16T00:00","1.0","1.0","2003-01-16T00:00","2003-01-16T00:00","2003-01-16T00:00","2003-01-16T00:00","1.0","1.0","2003-01-16T00:00","2003-01-16T00:00","2003-01-16T00:00","2003-01-16T00:00","1.0","1.0","2003-01-16T00:00","2003-01-16T00:00","2003-01-16T00:00","2003-01-16T00:00","1.0","1.0","2003-01-16T00:00","2003-01-16T00:00","2003-01-16T00:00","2003-01-16T00:00","1.0","1.0","Ajax Amsterdam","Galatasaray","ajax amsterdam","galatasaray","0.0","0.0","Ajax Amsterdam","Galatasaray","Ajax Amsterdam","Galatasaray","0.0","0.0","Ajax Amsterdam","Galatasaray","Ajax Amsterdam","Galatasaray","0.3571428571428571","0.3571428571428571",,"Turkish Super League",,"Turkish Super League","0.0","0.0"
"WekaMatchingRule","tm_10535","fm_2483",,"1","Marcel Hartel","Marcel Hartel","Marcel Hartel","Marcel Hartel","1.0","1.0","Marcel Hartel","Hartel Marcel","Marcel Hartel","Hartel Marcel","0.6923076923076923","0.6923076923076923","Marcel Hartel","Marcel Hartel","Marcel Hartel","Marcel Hartel","1.0","1.0","Marcel Hartel","Marcel Hartel","Marcel Hartel","Marcel Hartel","1.0","1.0","Marcel Hartel","Marcel Hartel","Marcel Hartel","Marcel Hartel","1.0","1.0","1996-01-19T00:00","1996-01-19T00:00","1996-01-19T00:00","1996-01-19T00:00","1.0","1.0","1996-01-19T00:00","1996-01-19T00:00","1996-01-19T00:00","1996-01-19T00:00","1.0","1.0","1996-01-19T00:00","1996-01-19T00:00","1996-01-19T00:00","1996-01-19T00:00","1.0","1.0","1996-01-19T00:00","1996-01-19T00:00","1996-01-19T00:00","1996-01-19T00:00","1.0","1.0","1996-01-19T00:00","1996-01-19T00:00","1996-01-19T00:00","1996-01-19T00:00","1.0","1.0","1996-01-19T00:00","1996-01-19T00:00","1996-01-19T00:00","1996-01-19T00:00","1.0","1.0","FC St. Pauli","St. Pauli","fc st. pauli","st. pauli","0.6666666666666666","0.0","FC St. Pauli","St. Pauli","FC St. Pauli","St. Pauli","0.6666666666666666","0.0","FC St. Pauli","St. Pauli","FC St. Pauli","St. Pauli","0.75","0.75",,"Bundesliga 2",,"Bundesliga 2","0.0","0.0"
"WekaMatchingRule","tm_7552","fm_12190",,"1","Carlton Morris","Carlton Morris","Carlton Morris","Carlton Morris","1.0","1.0","Carlton Morris","Morris Carlton","Carlton Morris","Morris Carlton","0.1428571428571429","0.1428571428571429","Carlton Morris","Carlton Morris","Carlton Morris","Carlton Morris","1.0","1.0","Carlton Morris","Carlton Morris","Carlton Morris","Carlton Morris","1.0","1.0","Carlton Morris","Carlton Morris","Carlton Morris","Carlton Morris","1.0","1.0","1995-12-16T00:00","1995-12-16T00:00","1995-12-16T00:00","1995-12-16T00:00","1.0","1.0","1995-12-16T00:00","1995-12-16T00:00","1995-12-16T00:00","1995-12-16T00:00","1.0","1.0","1995-12-16T00:00","1995-12-16T00:00","1995-12-16T00:00","1995-12-16T00:00","1.0","1.0","1995-12-16T00:00","1995-12-16T00:00","1995-12-16T00:00","1995-12-16T00:00","1.0","1.0","1995-12-16T00:00","1995-12-16T00:00","1995-12-16T00:00","1995-12-16T00:00","1.0","1.0","1995-12-16T00:00","1995-12-16T00:00","1995-12-16T00:00","1995-12-16T00:00","1.0","1.0","Luton Town","Luton","luton town","luton","0.5","0.0","Luton Town","Luton","Luton Town","Luton","0.5","0.0","Luton Town","Luton","Luton Town","Luton","0.5","0.5",,"Sky Bet Championship",,"Sky Bet Championship","0.0","0.0"
"WekaMatchingRule","tm_8331","fm_14488",,"0","Sofiane Boudraa","Sofiane Boufal","Sofiane Boudraa","Sofiane Boufal","0.3333333333333333","0.3333333333333333","Sofiane Boudraa","Boufal Sofiane","Sofiane Boudraa","Boufal Sofiane","0.2666666666666667","0.2666666666666667","Sofiane Boudraa","Sofiane Boufal","Sofiane Boudraa","Sofiane Boufal","0.8","0.8","Sofiane Boudraa","Sofiane Boufal","Sofiane Boudraa","Sofiane Boufal","0.0","0.0","Sofiane Boudraa","Sofiane Boufal","Sofiane Boudraa","Sofiane Boufal","0.7857142857142857","0.7857142857142857","2003-06-30T00:00","1993-09-17T00:00","2003-06-30T00:00","1993-09-17T00:00","0.0","0.0","2003-06-30T00:00","1993-09-17T00:00","2003-06-30T00:00","1993-09-17T00:00","0.0","0.0","2003-06-30T00:00","1993-09-17T00:00","2003-06-30T00:00","1993-09-17T00:00","0.0","0.0","2003-06-30T00:00","1993-09-17T00:00","2003-06-30T00:00","1993-09-17T00:00","0.0","0.0","2003-06-30T00:00","1993-09-17T00:00","2003-06-30T00:00","1993-09-17T00:00","0.0","0.0","2003-06-30T00:00","1993-09-17T00:00","2003-06-30T00:00","1993-09-17T00:00","0.0","0.0","Valenciennes FC","Angers SCO","valenciennes fc","angers sco","0.0","0.0","Valenciennes FC","Angers SCO","Valenciennes FC","Angers SCO","0.0","0.0","Valenciennes FC","Angers SCO","Valenciennes FC","Angers SCO","0.33333333333333337","0.33333333333333337",,"Ligue 1 Uber Eats",,"Ligue 1 Uber Eats","0.0","0.0"
"WekaMatchingRule","tm_2320","fm_10374",,"0","Abdulrahman Al-Anazi","Abdulrahman Al-Aboud","Abdulrahman Al-Anazi","Abdulrahman Al-Aboud","0.5","0.5","Abdulrahman Al-Anazi","Al-Aboud Abdulrahman","Abdulrahman Al-Anazi","Al-Aboud Abdulrahman","0.19999999999999996","0.19999999999999996","Abdulrahman Al-Anazi","Abdulrahman Al-Aboud","Abdulrahman Al-Anazi","Abdulrahman Al-Aboud","0.8","0.8","Abdulrahman Al-Anazi","Abdulrahman Al-Aboud","Abdulrahman Al-Anazi","Abdulrahman Al-Aboud","0.0","0.0","Abdulrahman Al-Anazi","Abdulrahman Al-Aboud","Abdulrahman Al-Anazi","Abdulrahman Al-Aboud","0.75","0.75","1998-06-14T00:00","1995-06-01T00:00","1998-06-14T00:00","1995-06-01T00:00","0.7","0.7","1998-06-14T00:00","1995-06-01T00:00","1998-06-14T00:00","1995-06-01T00:00","0.0","0.0","1998-06-14T00:00","1995-06-01T00:00","1998-06-14T00:00","1995-06-01T00:00","0.0","0.0","1998-06-14T00:00","1995-06-01T00:00","1998-06-14T00:00","1995-06-01T00:00","0.0","0.0","1998-06-14T00:00","1995-06-01T00:00","1998-06-14T00:00","1995-06-01T00:00","0.0","0.0","1998-06-14T00:00","1995-06-01T00:00","1998-06-14T00:00","1995-06-01T00:00","0.0","0.0","Al-Fayha FC","Al-Ittihad","al-fayha fc","al-ittihad","0.25","0.0","Al-Fayha FC","Al-Ittihad","Al-Fayha FC","Al-Ittihad","0.25","0.0","Al-Fayha FC","Al-Ittihad","Al-Fayha FC","Al-Ittihad","0.36363636363636365","0.36363636363636365",,"Saudi Professional League",,"Saudi Professional League","0.0","0.0"
"WekaMatchingRule","tm_4991","fm_14989",,"1","Chiquinho","Chiquinho","Chiquinho","Chiquinho","1.0","1.0","Chiquinho","Chiquinho","Chiquinho","Chiquinho","1.0","1.0","Chiquinho","Chiquinho","Chiquinho","Chiquinho","1.0","1.0","Chiquinho","Chiquinho","Chiquinho","Chiquinho","1.0","1.0","Chiquinho","Chiquinho","Chiquinho","Chiquinho","1.0","1.0","1995-07-19T00:00","1995-07-19T00:00","1995-07-19T00:00","1995-07-19T00:00","1.0","1.0","1995-07-19T00:00","1995-07-19T00:00","1995-07-19T00:00","1995-07-19T00:00","1.0","1.0","1995-07-19T00:00","1995-07-19T00:00","1995-07-19T00:00","1995-07-19T00:00","1.0","1.0","1995-07-19T00:00","1995-07-19T00:00","1995-07-19T00:00","1995-07-19T00:00","1.0","1.0","1995-07-19T00:00","1995-07-19T00:00","1995-07-19T00:00","1995-07-19T00:00","1.0","1.0","1995-07-19T00:00","1995-07-19T00:00","1995-07-19T00:00","1995-07-19T00:00","1.0","1.0","SL Benfica","Benfica","sl benfica","benfica","0.5","0.0","SL Benfica","Benfica","SL Benfica","Benfica","0.5","0.0","SL Benfica","Benfica","SL Benfica","Benfica","0.7","0.7",,"Portuguese Premier League",,"Portuguese Premier League","0.0","0.0"
"WekaMatchingRule","tm_1318","fm_11889",,"1","Junior Hoilett","Junior Hoilett","Junior Hoilett","Junior Hoilett","1.0","1.0","Junior Hoilett","Hoilett Junior","Junior Hoilett","Hoilett Junior","0.0","0.0","Junior Hoilett","Junior Hoilett","Junior Hoilett","Junior Hoilett","1.0","1.0","Junior Hoilett","Junior Hoilett","Junior Hoilett","Junior Hoilett","1.0","1.0","Junior Hoilett","Junior Hoilett","Junior Hoilett","Junior Hoilett","1.0","1.0","1990-06-05T00:00","1990-06-05T00:00","1990-06-05T00:00","1990-06-05T00:00","1.0","1.0","1990-06-05T00:00","1990-06-05T00:00","1990-06-05T00:00","1990-06-05T00:00","1.0","1.0","1990-06-05T00:00","1990-06-05T00:00","1990-06-05T00:00","1990-06-05T00:00","1.0","1.0","1990-06-05T00:00","1990-06-05T00:00","1990-06-05T00:00","1990-06-05T00:00","1.0","1.0","1990-06-05T00:00","1990-06-05T00:00","1990-06-05T00:00","1990-06-05T00:00","1.0","1.0","1990-06-05T00:00","1990-06-05T00:00","1990-06-05T00:00","1990-06-05T00:00","1.0","1.0","Vancouver Whitecaps FC","Reading","vancouver whitecaps fc","reading","0.0","0.0","Vancouver Whitecaps FC","Reading","Vancouver Whitecaps FC","Reading","0.0","0.0","Vancouver Whitecaps FC","Reading","Vancouver Whitecaps FC","Reading","0.13636363636363635","0.13636363636363635",,"Sky Bet Championship",,"Sky Bet Championship","0.0","0.0"
"WekaMatchingRule","tm_10455","fm_2385",,"1","Nicolas Gavory","Nicolas Gavory","Nicolas Gavory","Nicolas Gavory","1.0","1.0","Nicolas Gavory","Gavory Nicolas","Nicolas Gavory","Gavory Nicolas","0.1428571428571429","0.1428571428571429","Nicolas Gavory","Nicolas Gavory","Nicolas Gavory","Nicolas Gavory","1.0","1.0","Nicolas Gavory","Nicolas Gavory","Nicolas Gavory","Nicolas Gavory","1.0","1.0","Nicolas Gavory","Nicolas Gavory","Nicolas Gavory","Nicolas Gavory","1.0","1.0","1995-02-16T00:00","1995-02-16T00:00","1995-02-16T00:00","1995-02-16T00:00","1.0","1.0","1995-02-16T00:00","1995-02-16T00:00","1995-02-16T00:00","1995-02-16T00:00","1.0","1.0","1995-02-16T00:00","1995-02-16T00:00","1995-02-16T00:00","1995-02-16T00:00","1.0","1.0","1995-02-16T00:00","1995-02-16T00:00","1995-02-16T00:00","1995-02-16T00:00","1.0","1.0","1995-02-16T00:00","1995-02-16T00:00","1995-02-16T00:00","1995-02-16T00:00","1.0","1.0","1995-02-16T00:00","1995-02-16T00:00","1995-02-16T00:00","1995-02-16T00:00","1.0","1.0","Fortuna Düsseldorf","Düsseldorf","fortuna düsseldorf","düsseldorf","0.5","0.0","Fortuna Düsseldorf","Düsseldorf","Fortuna Düsseldorf","Düsseldorf","0.5","0.0","Fortuna Düsseldorf","Düsseldorf","Fortuna Düsseldorf","Düsseldorf","0.5555555555555556","0.5555555555555556",,"Bundesliga 2",,"Bundesliga 2","0.0","0.0"
"WekaMatchingRule","tm_5279","fm_11182",,"0","Caio Secco","Cai Wenbo","Caio Secco","Cai Wenbo","0.0","0.0","Caio Secco","Wenbo Cai","Caio Secco","Wenbo Cai","0.19999999999999996","0.19999999999999996","Caio Secco","Cai Wenbo","Caio Secco","Cai Wenbo","0.6","0.6","Caio Secco","Cai Wenbo","Caio Secco","Cai Wenbo","0.0","0.0","Caio Secco","Cai Wenbo","Caio Secco","Cai Wenbo","0.575","0.575","1990-12-22T00:00","2004-03-12T00:00","1990-12-22T00:00","2004-03-12T00:00","0.0","0.0","1990-12-22T00:00","2004-03-12T00:00","1990-12-22T00:00","2004-03-12T00:00","0.0","0.0","1990-12-22T00:00","2004-03-12T00:00","1990-12-22T00:00","2004-03-12T00:00","0.0","0.0","1990-12-22T00:00","2004-03-12T00:00","1990-12-22T00:00","2004-03-12T00:00","0.0","0.0","1990-12-22T00:00","2004-03-12T00:00","1990-12-22T00:00","2004-03-12T00:00","0.0","0.0","1990-12-22T00:00","2004-03-12T00:00","1990-12-22T00:00","2004-03-12T00:00","0.0","0.0","Moreirense FC","HeB FC","moreirense fc","heb fc","0.3333333333333333","0.0","Moreirense FC","HeB FC","Moreirense FC","HeB FC","0.3333333333333333","0.0","Moreirense FC","HeB FC","Moreirense FC","HeB FC","0.3076923076923077","0.3076923076923077",,"Chinese Super League",,"Chinese Super League","0.0","0.0"
