"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] PlayerNameComparatorJaccard record1Value","[0] PlayerNameComparatorJaccard record2Value","[0] PlayerNameComparatorJaccard record1PreprocessedValue","[0] PlayerNameComparatorJaccard record2PreprocessedValue","[0] PlayerNameComparatorJaccard similarity","[0] PlayerNameComparatorJaccard postproccesedSimilarity","[1] PlayerBirthdateComparator record1Value","[1] PlayerBirthdateComparator record2Value","[1] PlayerBirthdateComparator record1PreprocessedValue","[1] PlayerBirthdateComparator record2PreprocessedValue","[1] PlayerBirthdateComparator similarity","[1] PlayerBirthdateComparator postproccesedSimilarity"
"LinearCombinationMatchingRule","tm_4541","fm_2311","0.0",,"Badou Ndiaye","Sebastian Griesbeck","Badou Ndiaye","Sebastian Griesbeck","0.0","0.0","1990-10-27T00:00","1990-10-03T00:00","1990-10-27T00:00","1990-10-03T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_8007","fm_11980","0.0",,"Moritz-Broni Kwarteng","Tom McIntyre","Moritz-Broni Kwarteng","Tom McIntyre","0.0","0.0","1998-04-28T00:00","1998-11-06T00:00","1998-04-28T00:00","1998-11-06T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_4541","fm_2313","0.0",,"Badou Ndiaye","Alexander Esswein","Badou Ndiaye","Alexander Esswein","0.0","0.0","1990-10-27T00:00","1990-03-25T00:00","1990-10-27T00:00","1990-03-25T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_2054","fm_2641","0.0",,"CJ dos Santos","Ludovit Reis","CJ dos Santos","Ludovit Reis","0.0","0.0","2000-08-24T00:00","2000-06-01T00:00","2000-08-24T00:00","2000-06-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_4541","fm_2315","0.0",,"Badou Ndiaye","Tony Jantschke","Badou Ndiaye","Tony Jantschke","0.0","0.0","1990-10-27T00:00","1990-04-07T00:00","1990-10-27T00:00","1990-04-07T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_9613","fm_10727","0.0",,"Jesús Clemente","Li Wei","Jesús Clemente","Li Wei","0.0","0.0","2000-09-08T00:00","2000-08-30T00:00","2000-09-08T00:00","2000-08-30T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_9613","fm_10726","0.0",,"Jesús Clemente","Liao Baiji","Jesús Clemente","Liao Baiji","0.0","0.0","2000-09-08T00:00","2000-04-09T00:00","2000-09-08T00:00","2000-04-09T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_3510","fm_2703","0.0",,"Borna Sosa","Blendi Idrizi","Borna Sosa","Blendi Idrizi","0.0","0.0","1998-01-21T00:00","1998-05-02T00:00","1998-01-21T00:00","1998-05-02T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_1538","fm_10380","0.0",,"Greg Ranjitsingh","Zhang Wei","Greg Ranjitsingh","Zhang Wei","0.0","0.0","1993-07-18T00:00","1993-03-28T00:00","1993-07-18T00:00","1993-03-28T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_7468","fm_12452","0.0",,"James Trafford","Rafferty Pedder","James Trafford","Rafferty Pedder","0.0","0.0","2002-10-10T00:00","2002-04-06T00:00","2002-10-10T00:00","2002-04-06T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_2739","fm_16909","0.0",,"Mladen Cvjetinovic","Ni Rodrigues","Mladen Cvjetinovic","Ni Rodrigues","0.0","0.0","2003-09-18T00:00","2003-03-01T00:00","2003-09-18T00:00","2003-03-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_2241","fm_16402","0.0",,"Mohammed Al-Yami","Théo Le Bris","Mohammed Al-Yami","Théo Le Bris","0.0","0.0","2002-04-02T00:00","2002-10-01T00:00","2002-04-02T00:00","2002-10-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_3074","fm_14762","0.0",,"Sabit Abdusalam","Rúben Lameiras","Sabit Abdusalam","Rúben Lameiras","0.0","0.0","1994-03-26T00:00","1994-12-22T00:00","1994-03-26T00:00","1994-12-22T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_3552","fm_16308","0.0",,"Vangelis Pavlidis","Djibril Diani","Vangelis Pavlidis","Djibril Diani","0.0","0.0","1998-11-21T00:00","1998-02-11T00:00","1998-11-21T00:00","1998-02-11T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_5554","fm_3385","0.0",,"Renan Lodi","Niklas Tarnat","Renan Lodi","Niklas Tarnat","0.0","0.0","1998-04-08T00:00","1998-05-26T00:00","1998-04-08T00:00","1998-05-26T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_9090","fm_16925","0.0",,"Mattia Felici","Edgar Braga","Mattia Felici","Edgar Braga","0.0","0.0","2001-04-17T00:00","2001-05-07T00:00","2001-04-17T00:00","2001-05-07T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_5289","fm_11625","0.0",,"Alhassane Sylla","Kenny Tete","Alhassane Sylla","Kenny Tete","0.0","0.0","1995-08-24T00:00","1995-10-09T00:00","1995-08-24T00:00","1995-10-09T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_3185","fm_13405","0.0",,"Mingcan Hua","Oliver Sanderson","Mingcan Hua","Oliver Sanderson","0.0","0.0","2003-01-05T00:00","2003-12-03T00:00","2003-01-05T00:00","2003-12-03T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_7073","fm_12051","0.0",,"Roméo Lavia","Kaide Gordon","Roméo Lavia","Kaide Gordon","0.0","0.0","2004-01-06T00:00","2004-10-05T00:00","2004-01-06T00:00","2004-10-05T00:00","0.0","0.0"
