df1,df2,name1,birthdate1,name2,birthdate2,nat1,nat2,club1,club2,score,match
eafc_11591,tm_2994,Xu Yue,1999-11-10,Xin Yue,1995-11-10,China PR,China,Shenzhen,Zhejiang FC,0.65,
eafc_6608,tm_10460,Í. Jóhannesson,2003-03-23,Ísak Bergmann Jóhannesson,2003-03-23,Iceland,Iceland,Fortuna Düsseldorf,,0.6639999999999999,
eafc_6597,tm_2481,M. Al Qunayan,1999-01-09,Mohammed Al-Qunaian,1999-01-09,Saudi Arabia,Saudi Arabia,Al Tai,,0.668421052631579,
eafc_10406,tm_7570,A. Pavlovic,2004-05-03,Aleksandar Pavlovic,2004-05-03,Germany,Germany,FC Bayern München,,0.668421052631579,
eafc_9419,tm_3892,L. Zeefuik,2004-11-26,Lequincio Zeefuik,2004-11-26,Netherlands,Netherlands,FC Volendam,FC Volendam,0.6705882352941176,
eafc_6023,tm_5248,A. Marqués,2000-08-04,Alejandro Marqués,2000-08-04,Venezuela,Venezuela,Estoril,GD Estoril Praia,0.6705882352941176,
eafc_3018,tm_8823,F. Zampano,1993-09-30,Francesco Zampano,1993-09-30,Italy,Italy,Venezia,Venezia FC,0.6705882352941176,
eafc_6762,tm_1287,S. Moreno,2000-04-21,Santiago Moreno,2000-04-21,Colombia,Colombia,Portland Timbers,Portland Timbers,0.6733333333333333,
eafc_10391,tm_1071,M. Cuevas,2003-02-10,Mauricio Cuevas,2003-02-10,United States,United States,LA Galaxy,Los Angeles Galaxy,0.6733333333333333,
eafc_6860,tm_4975,A. Trubin,2001-08-01,Anatoliy Trubin,2001-08-01,Ukraine,Ukraine,Benfica,SL Benfica,0.6733333333333333,
eafc_11550,tm_3256,B. Tsonev,1995-04-29,Borislav Tsonev,1995-04-29,Bulgaria,Bulgaria,Dalian Professional,Dalian Professional,0.6733333333333333,
eafc_11214,tm_6108,C. Mandas,2001-09-17,Christos Mandas,2001-09-17,Greece,Greece,Lazio,SS Lazio,0.6733333333333333,
eafc_1373,tm_6698,De Marcos,1989-04-14,Óscar de Marcos,1989-04-14,Spain,Spain,Athletic Club,Athletic Bilbao,0.6733333333333333,
eafc_3495,tm_10021,K. Bielik,1998-01-04,Krystian Bielik,1998-01-04,Poland,Poland,Birmingham City,Birmingham City,0.6733333333333333,
eafc_8482,tm_5172,Mateus Quaresma,1996-08-22,Quaresma,1996-08-22,Brazil,Brazil,Arouca,FC Arouca,0.6733333333333333,
eafc_5924,tm_6375,L. Cacace,2000-09-27,Liberato Cacace,2000-09-27,New Zealand,New Zealand,Empoli,FC Empoli,0.6733333333333333,
eafc_9749,tm_2474,N. Al Qumairi,2001-06-10,Nawaf Al-Qamiri,2001-06-10,Saudi Arabia,Saudi Arabia,Al Tai,Al-Tai FC,0.6733333333333333,
eafc_1900,tm_1041,F. Quignon,1993-05-02,Facundo Quignón,1993-05-02,Argentina,Argentina,Dallas,FC Dallas,0.6733333333333333,
eafc_5230,tm_7119,I. Konaté,1999-05-25,Ibrahima Konaté,1999-05-25,France,France,Liverpool,Liverpool FC,0.6733333333333333,
eafc_7929,tm_6766,Iago Domínguez,2001-11-22,Carlos Domínguez,2001-02-11,Spain,Spain,Mirandés,Celta de Vigo,0.6749999999999999,
eafc_1668,tm_8514,V. Pajot,1990-08-19,Vincent Pajot,1990-08-19,France,France,Annecy,FC Annecy,0.6769230769230768,
