df1,df2,name1,birthdate1,name2,birthdate2,nat1,nat2,club1,club2,score,match
eafc_2501,tm_3377,A. Ateef,1992-08-03,Abdullah Otayf,1992-08-03,Saudi Arabia,Saudi Arabia,Al Ahli Jeddah,Al-Ahli SFC,0.5,
eafc_8198,tm_6979,K. Gordon,2004-10-05,Samu Omorodion,2004-05-05,England,Spain,Liverpool,Atlético de Madrid,0.5,
eafc_2608,tm_3419,A. Al Jadaani,1991-10-06,Abdullah Al-Jadani,1991-03-06,Saudi Arabia,Saudi Arabia,Al Ittihad,Al-Ittihad Club,0.5,
eafc_7170,tm_9940,J. Austerfield,2001-11-02,Jay Matete,2001-02-11,England,England,Huddersfield Town,Sunderland AFC,0.5,
eafc_8213,tm_3147,Jeong Sang Bin,2002-04-01,Liangkuan Jin,2002-01-28,Korea Republic,China,Minnesota United,Meizhou Hakka,0.5,
eafc_8839,tm_8325,Pablo Valencia,2001-03-16,Sacha Bansé,2001-03-16,Spain,Burkina Faso,Osasuna,Standard Liège,0.5,
eafc_3523,tm_2521,A. Al Ruhaili,1994-10-06,Ahmad Al-Harbi,1994-10-06,Saudi Arabia,Saudi Arabia,Al Raed,Al-Raed SFC,0.5,
eafc_8073,tm_7685,Ayesa,2001-04-02,Ulysses Llanez,2001-04-02,Spain,United States,Real Sociedad,VfL Wolfsburg,0.5,
eafc_11578,tm_2973,Han Dong,2001-03-02,Hao Fang,2000-01-03,China PR,China,Henan,Beijing Guoan,0.4975,
eafc_11415,tm_2928,Wang Jie,1989-01-14,Xiang Ji,1990-03-01,China PR,China,Nantong Zhiyun,Shandong Taishan,0.4975,
eafc_10677,tm_7345,R. Patterson,2003-10-06,Nathan Patterson,2001-10-16,England,Scotland,Birmingham City,Everton FC,0.4975,
eafc_11305,tm_3029,Yi Teng,1990-02-20,Xin Tang,1990-10-16,China PR,China,Changchun Yatai,Chengdu Rongcheng,0.4975,
eafc_2145,tm_8707,D. Stojanović,1993-07-19,Petar Stojanovic,1995-10-07,North Macedonia,Slovenia,Rheindorf Altach,FC Empoli,0.4975,
eafc_11544,tm_2853,Zhu Chenjie,2000-08-23,Chenjie Zhu,2000-08-23,China PR,China,Shanghai Shenhua,Shanghai Shenhua,0.49090909090909085,
eafc_11658,tm_2983,Lai Jinfeng,1997-12-31,Jinfeng Lai,1997-12-31,China PR,China,Zhejiang,Zhejiang FC,0.49090909090909085,
eafc_11395,tm_2829,Cai Huikang,1989-10-10,Huikang Cai,1989-10-10,China PR,China,Shanghai Port,Shanghai Port,0.49090909090909085,
eafc_11324,tm_4647,Park Ji Soo,1994-06-14,Ali Sowe,1994-06-14,Korea Republic,The Gambia,Wuhan Three Towns,,0.49090909090909085,
eafc_11649,tm_3025,Gou Junchen,1990-03-22,Junchen Gou,1990-03-22,China PR,China,Chengdu Rongcheng,Chengdu Rongcheng,0.49090909090909085,
eafc_7951,tm_6913,L. Miguel,2001-03-24,Lucas Pires,2001-03-24,Netherlands,Brazil,Sporting Gijón,,0.49090909090909085,
eafc_11517,tm_2979,Wang Ziming,1996-08-05,Ziming Wang,1996-08-05,China PR,China,Beijing Guoan,Beijing Guoan,0.49090909090909085,
eafc_11391,tm_5038,Gan Chao,1995-02-13,Nuno Santos,1995-02-13,China PR,Portugal,Chengdu Rongcheng,Sporting CP,0.49090909090909085,
eafc_11340,tm_2955,Shao Puliang,1989-07-06,Shaowen Liang,2002-06-12,China PR,China,Cangzhou Mighty Lions,Beijing Guoan,0.4907692307692308,
eafc_4058,tm_6637,Adnan Vidual,1992-02-29,Adnan Januzaj,1995-02-05,Brazil,Belgium,Internacional,Sevilla FC,0.4907692307692308,
