df1,df2,name1,birthdate1,name2,birthdate2,nat1,nat2,club1,club2,score,match
eafc_3098,tm_6389,E. Gyasi,1994-01-11,Andy Rinomhota,1997-04-21,Ghana,England,Empoli,Cardiff City,,False
eafc_6362,tm_8210,N. Opoku,1997-11-08,Christian Travaglini,2000-01-07,Ghana,Italy,Amiens SC,Cagliari Calcio,,False
eafc_7925,tm_1564,M. Ilić,1998-02-03,Nkosi Tafari,1997-03-23,Serbia,United States,Colorado Rapids,FC Dallas,,False
eafc_8423,tm_6071,E. Bove,2002-05-16,Neil Etheridge,1990-02-07,Italy,Philippines,Roma,Birmingham City,,False
eafc_4745,tm_6162,J. Ikoné,1998-05-02,Tim Handwerker,1998-05-19,France,Germany,Fiorentina,1.FC Nuremberg,,False
eafc_7027,tm_4792,A. Uğur,2001-06-28,Diego Moreno,2001-06-21,Turkey,Spain,Fatih Karagümrük,CA Osasuna,,False
eafc_1303,tm_4864,N. Nkoulou,1990-03-27,Ayman Ben Mohamed,1994-12-08,Cameroon,Tunisia,Gaziantep F.K.,EA Guingamp,,False
eafc_9909,tm_4907,H. Yeşilyurt,2000-08-18,Julian Kügel,1997-03-30,Turkey,Germany,Kasımpaşa,FC Ingolstadt 04,,False
eafc_4895,tm_4777,I. Drešević,1997-01-24,Elias Bördner,2002-02-18,Kosovo,Germany,Fatih Karagümrük,FC Viktoria Köln,,False
eafc_5058,tm_1028,M. Paes,1998-05-14,Alexis De Sart,1996-11-12,Netherlands,Belgium,Dallas,RWD Molenbeek,,False
eafc_6898,tm_10480,D. Köhn,1999-02-04,Noussair Mazraoui,1997-11-14,Germany,Morocco,Hannover 96,Bayern Munich,,False
eafc_9439,tm_10766,S. Saftig,2002-02-05,Max Kilman,1997-05-23,Germany,England,Elversberg,Wolverhampton Wanderers,,False
eafc_6403,tm_4801,G. Yalçın,1999-01-18,Niko Rak,2003-07-26,Turkey,Croatia,Fatih Karagümrük,Konyaspor,,False
eafc_1135,tm_6652,E. Capoue,1988-07-11,Sei Muroya,1994-04-05,France,Japan,Villarreal,Hannover 96,,False
eafc_4848,tm_9112,N. Siega,1991-02-25,Kian Harratt,2002-06-21,Italy,England,Südtirol,Huddersfield Town,,False
eafc_5549,tm_8660,D. Man,1998-08-26,Zakaria El Ouahdi,2001-12-31,Romania,Morocco,Parma,KRC Genk,,False
eafc_8077,tm_2622,A. Al Shanqeeti,1998-12-22,Mikael Marqués,2001-09-08,Saudi Arabia,Sweden,Al Khaleej,Minnesota United FC,,False
eafc_10767,tm_8400,M. Diop,2000-01-03,Iago,1997-03-23,Senegal,Brazil,Grenoble Foot 38,FC Augsburg,,False
eafc_8070,tm_2349,M. Al Oufi,2002-08-08,Daylam Meddah,2002-10-06,Saudi Arabia,France,Abha,SM Caen,,False
eafc_9303,tm_1087,P. Judd,1999-05-28,Morgan Rogers,2002-07-26,United States,England,LA Galaxy,Middlesbrough FC,,False
eafc_1095,tm_8437,A. Bonnet,1986-10-17,Ronie Carrillo,1996-09-08,France,Ecuador,Quevilly Rouen,Portimonense SC,,False
eafc_1866,tm_5634,M. Haïdara,1992-12-02,Virgil van Dijk,1991-07-08,Mali,Netherlands,Lens,Liverpool FC,,False
eafc_9085,tm_9625,J. Gómez,2003-09-01,Lucas Hernández,1996-02-14,Mexico,France,Mirandés,Paris Saint-Germain,,False
eafc_9858,tm_4899,T. Aksu,1997-09-11,Dzenan Pejcinovic,2005-02-15,Turkey,Germany,Kasımpaşa,VfL Wolfsburg,,False
eafc_4299,tm_3332,H. Al Watyan,1996-08-08,Giorgio Chiellini,1984-08-14,Saudi Arabia,Italy,Al Hilal,Los Angeles FC,,False
