df1,df2,name1,birthdate1,name2,birthdate2,nat1,nat2,club1,club2,score,match
tm_3874,tm_3874,Brian Plat,2000-04-05,Brian Plat,2000-04-05,Netherlands,Netherlands,FC Volendam,FC Volendam,1.0,True
tm_5250,tm_5250,Cassiano,1989-06-16,Cassiano,1989-06-16,Brazil,Brazil,GD Estoril Praia,GD Estoril Praia,1.0,True
tm_2026,tm_2026,Simon Dorfner,2004-09-22,Simon Dorfner,2004-09-22,Germany,Germany,SpVgg Unterhaching,SpVgg Unterhaching,1.0,True
tm_1713,tm_1713,Baran Mogultay,2004-05-18,Baran Mogultay,2004-05-18,Germany,Germany,MSV Duisburg,MSV Duisburg,1.0,True
tm_4080,tm_4080,Kamal Sowah,2000-01-09,Kamal Sowah,2000-01-09,Ghana,Ghana,Club Brugge KV,Club Brugge KV,1.0,True
tm_5950,tm_5950,Ibou Sané,2005-03-28,Ibou Sané,2005-03-28,Senegal,Senegal,FC Metz,FC Metz,1.0,True
tm_4905,tm_4905,Aytac Kara,1993-03-23,Aytac Kara,1993-03-23,Turkey,Turkey,Kasimpasa,Kasimpasa,1.0,True
tm_5625,tm_5625,Wuilker Fariñez,1998-02-15,Wuilker Fariñez,1998-02-15,Venezuela,Venezuela,RC Lens,RC Lens,1.0,True
tm_9000,tm_9000,Federico Zuccon,2003-04-01,Federico Zuccon,2003-04-01,Italy,Italy,Atalanta BC,Atalanta BC,1.0,True
tm_4064,tm_4064,Konstantinos Laifis,1993-05-19,Konstantinos Laifis,1993-05-19,Cyprus,Cyprus,Standard Liège,Standard Liège,1.0,True
tm_2915,tm_2915,Mustapa Tash,2003-03-01,Mustapa Tash,2003-03-01,China,China,Shandong Taishan,Shandong Taishan,1.0,True
tm_8791,tm_8791,Matteo Solini,1993-03-09,Matteo Solini,1993-03-09,Italy,Italy,Como 1907,Como 1907,1.0,True
tm_2880,tm_2880,Jiayu Guo,2004-08-27,Jiayu Guo,2004-08-27,China,China,Wuhan Three Towns,Wuhan Three Towns,1.0,True
tm_3638,tm_3638,Mats Egbring,2006-09-17,Mats Egbring,2006-09-17,Netherlands,Netherlands,,,1.0,True
