df1,df2,name1,birthdate1,name2,birthdate2,nat1,nat2,club1,club2,score,match
tm_4282,fm_4395,Oskar Annell,2005-02-15,Niklas Barthel,2005-02-15,Belgium,GER,KV Mechelen,Schalke 04,0.5,
tm_1304,fm_7056,Karifa Yao,2000-09-28,Þórir Jóhann Helgason,2000-09-28,Canada,ISL,Vancouver Whitecaps FC,Salento,0.5,
tm_3098,fm_10552,Qiuming Wang,1993-01-09,Wang Yang,1993-01-23,China,CHN,Tianjin Jinmen Tiger,Zhejiang,0.5,
tm_3232,fm_10523,Yue Liu,1997-09-14,Yue Xin,1995-11-10,China,CHN,Shenzhen FC,Zhejiang,0.5,
tm_8569,fm_2348,Julien Anziani,1999-06-23,Linton Maina,1999-06-23,France,GER,USL Dunkerque,1. FC Köln,0.5,
tm_6458,fm_6383,Simone Scuffet,1996-05-31,Simone Bastoni,1996-11-05,Italy,ITA,Cagliari Calcio,Spezia,0.5,
tm_6266,fm_14950,Martín Payero,1998-09-11,Santiago Bueno,1998-11-09,Argentina,URU,Udinese Calcio,Girona,0.5,
tm_5281,fm_16795,Maracás,1994-04-27,Marcos,2005-06-23,Brazil,ESP,Moreirense FC,S. Gijón,0.5,
tm_10327,fm_17783,Ryan Hardie,1997-03-17,Ryan Rodin,2006-02-03,Scotland,FRA,Plymouth Argyle,AJ Auxerre,0.5054545454545454,
tm_1263,fm_1827,Max Arfsten,2001-04-19,Max Kruse,1988-03-19,United States,GER,Columbus Crew,VfL Wolfsburg,0.5054545454545454,
tm_5439,fm_15998,Bruno Brígido,1991-03-09,Bruno Almeida,1996-09-09,Brazil,POR,CF Estrela Amadora SAD,Santa Clara,0.5057692307692307,
tm_4963,fm_3468,Jackson,1999-04-24,Tobias Fleckstein,1999-04-24,Brazil,GER,Istanbulspor,MSV Duisburg,0.5058823529411764,
tm_1532,fm_16453,Georgios Koutsias,2004-02-08,Hugo Faria,2004-08-02,Greece,POR,Chicago Fire FC,Benfica,0.5058823529411764,
tm_6125,fm_13883,André Anderson,1999-09-23,Taine Anderson,2005-09-18,Italy,ENG,SS Lazio,Bristol City,0.5099999999999999,
tm_5087,fm_12878,Justin de Haas,2000-02-01,Justin Hanks,2004-09-01,Netherlands,ENG,FC Famalicão,Nottm Forest,0.5099999999999999,
tm_9752,fm_15534,Carlos Alcaraz,2002-11-30,Carlos Isaac,1998-04-30,Argentina,ESP,Southampton FC,VIZ,0.5099999999999999,
tm_8529,fm_4844,Zakaria Bengueddoudj,2000-02-21,David Engojan,2000-02-21,France,GER,FC Annecy,Magdeburg,0.51,
tm_3150,fm_10486,Weihui Rao,1989-03-25,Ke Zhao,1989-03-25,China,CHN,Meizhou Hakka,Henan,0.51,
tm_3304,fm_11689,Bressan,1993-01-15,Ben Gibson,1993-01-15,Brazil,ENG,Nantong Zhiyun,Norwich,0.51,
tm_5731,fm_17853,Ângelo,2004-12-21,Angelito,2004-06-06,Brazil,ESP,Chelsea FC,Tenerife,0.5125,
tm_2599,fm_10497,Nawaf Al-Hawsawi,2000-12-03,Nasser Al-Dawsari,1998-12-19,Saudi Arabia,KSA,Al-Wehda FC,Al-Hilal (KSA),0.5129411764705881,
tm_2068,fm_14765,Dixon Arroyo,1992-06-01,Rubén Sobrino,1992-06-01,Ecuador,ESP,Inter Miami CF,Cádiz,0.5153846153846153,
tm_2543,fm_9861,Hamoud Bassam,2004-08-04,Melih Bostan,2004-04-08,Syria,TUR,Al-Raed SFC,Fenerbahçe,0.5153846153846153,
tm_8599,fm_3175,Axel Urie,1999-04-14,Niclas Thiede,1999-04-14,Central African Republic,GER,US Concarneau,SC Verl,0.5153846153846153,
tm_9244,fm_10737,Ángel Troncho,2002-10-02,Su Tianshi,2002-10-02,Spain,CHN,SD Eibar,Guangzhou,0.5153846153846153,
tm_3110,fm_11541,Weijun Xie,1997-11-14,Axel Tuanzebe,1997-11-14,China,ENG,Tianjin Jinmen Tiger,Man UFC,0.5153846153846153,
tm_9388,fm_16141,Näis Djouahra,1999-11-23,Klismahn,1999-11-23,France,BRA,,PTM,0.5153846153846153,
tm_2369,fm_9717,Ahmed Abdu,1996-08-08,Ahmet Engin,1996-08-09,Saudi Arabia,GER,Abha Club,Kasımpaşa,0.5181818181818182,
tm_3515,fm_4505,Sivert Mannsverk,2002-05-08,Lillo Guarneri,2002-05-08,Norway,BEL,Ajax Amsterdam,Fortuna Sittard,0.51875,
tm_1872,fm_12793,Mustafa Kourouma,2003-01-09,Osa Solomon,2003-09-01,Germany,IRL,Rot-Weiss Essen,Nottm Forest,0.51875,
tm_1050,fm_13485,Tarik Scott,2005-04-23,Max Scott,2006-04-04,United States,ENG,FC Dallas,Luton,0.5204545454545454,
tm_6909,fm_15303,Jorge Meré,1997-04-17,Jorge Fernandes,1997-04-02,Spain,POR,,VTSC,0.5233333333333333,
tm_10421,fm_4132,Justin Heekeren,2000-11-27,Justin Diehl,2004-11-27,Germany,GER,FC Schalke 04,1. FC Köln,0.5233333333333333,
tm_1795,fm_13684,Louis Breunig,2003-11-14,Louis Hutchings,2004-11-14,Germany,ENG,1.FC Nuremberg,Reading,0.5233333333333333,
tm_9176,fm_6420,Lorenzo Pinzauti,1994-09-09,Lorenzo Venuti,1995-04-12,Italy,ITA,Calcio Lecco 1912,Fiorentina,0.5249999999999999,
tm_4043,fm_13609,Archie Brown,2002-05-28,Archie Heron,2004-12-10,England,ENG,KAA Gent,Luton,0.5249999999999999,
