df1,df2,name1,birthdate1,name2,birthdate2,nat1,nat2,club1,club2,score,match
eafc_8342,tm_2648,M. Šuver,23.09.1999,Mario Suver,23.09.1999,Croatia,Croatia,Borussia Dortmund II,Borussia Dortmund II,0.681818182,True
eafc_1014,tm_2119,G. Chiellini,14.08.1984,Giorgio Chiellini,14.08.1984,Italy,Italy,Los Angeles FC,Los Angeles FC,0.752941176,True
eafc_11254,tm_7204,Diego Campo,2001-11-16,Gonçalo Borges,2001-03-29,Spain,Portugal,Racing Santander,FC Porto,,False
eafc_2710,tm_2488,A. Aseri,1994-02-26,Jardel,1997-09-20,Saudi Arabia,Guinea-Bissau,Al Tai,FC Vizela,,False
eafc_11434,tm_3061,Zhang Wentao,1993-04-14,Joel Latibeaudiere,2000-01-06,China PR,Jamaica,Wuhan Three Towns,Coventry City,,False
eafc_11642,tm_3235,Du Yuezheng,2005-09-14,Gaetano Castrovilli,1997-02-17,China PR,Italy,Shenzhen,ACF Fiorentina,,False
eafc_4842,tm_8681,M. Castagnetti,27.12.1989,Michele Castagnetti,27.12.1989,Italy,Italy,Cremonese,US Cremonese,0.778947368,True
eafc_9921,tm_8968,B. Bayeye,30.06.2000,Brian Bayeye,30.06.2000,France,DR Congo,Ascoli,Torino FC,0.766666667,True
eafc_8060,tm_7158,D. Vianello,2002-09-14,Lamine Fomba,1998-01-26,Netherlands,France,Sparta Rotterdam,AS Saint-Étienne,,False
eafc_11309,tm_3091,Tan Long,1988-04-01,Iker Benito,2002-08-10,China PR,Spain,Changchun Yatai,CA Osasuna,,False
eafc_10728,tm_4963,Jackson Kenio,24.04.1999,Jackson,24.04.1999,Brazil,Brazil,İstanbulspor,Istanbulspor,0.676923077,True
eafc_1883,tm_10065,J. Bonham,14.09.1993,Jack Bonham,14.09.1993,Republic of Ireland,Ireland,Stoke City,Stoke City,0.809090909,True
eafc_4848,tm_9112,N. Siega,1991-02-25,Kian Harratt,2002-06-21,Italy,England,Südtirol,Huddersfield Town,,False
eafc_1135,tm_6652,E. Capoue,1988-07-11,Sei Muroya,1994-04-05,France,Japan,Villarreal,Hannover 96,,False
eafc_5593,tm_9184,Calero,1995-09-14,Aaron Ramsey,1990-12-26,Spain,Wales,Espanyol,Cardiff City,,False
eafc_8477,tm_5017,André Franco,1998-04-12,André Franco,1998-04-12,Portugal,Portugal,Porto,FC Porto,1.0,True
eafc_7967,tm_6684,Luiz Júnior,2001-01-14,Tiago Sá,1995-01-11,Brazil,Portugal,Famalicão,SC Braga,,False
eafc_8159,tm_9558,Carlo Adriano,12.02.2001,Carlo García,12.02.2001,Spain,Spain,Villarreal II,Villarreal CF B,0.676923077,True
eafc_3030,tm_2455,G. Nkoudou,1995-02-13,Anthony Gordon,2001-02-24,Cameroon,England,Damac,Newcastle United,,False
eafc_8940,tm_5899,É. Kinkoué,2002-01-14,Charles De Ketelaere,2001-03-10,France,Belgium,Le Havre,AC Milan,,False
eafc_4885,tm_9905,C. Kipré,09.12.1996,Cédric Kipré,09.12.1996,Côte d'Ivoire,Cote d'Ivoire,West Bromwich Albion,West Bromwich Albion,0.708333333,True
eafc_9336,tm_6388,N. Cambiaghi,28.12.2000,Nicolò Cambiaghi,28.12.2000,Italy,Italy,Empoli,Atalanta BC,0.78125,True
