df1,df2,match
eafc_2250,tm_5471,True
eafc_10188,tm_5398,True
eafc_7692,tm_5381,True
eafc_8978,tm_9610,True
eafc_2851,tm_5187,True
eafc_2107,tm_2401,True
eafc_3955,tm_6566,True
eafc_9022,tm_6588,True
eafc_9408,tm_9413,True
eafc_9910,tm_3886,True
eafc_9200,tm_6091,True
eafc_5525,tm_7010,True
eafc_5091,tm_9661,True
eafc_8401,tm_6860,True
eafc_3678,tm_4214,True
eafc_5366,tm_6942,True
eafc_6268,tm_5130,True
eafc_8837,tm_9419,True
eafc_5695,tm_6994,True
eafc_9471,tm_5333,True
eafc_2965,tm_3636,True
eafc_7510,tm_5384,True
eafc_1330,tm_4675,True
eafc_5190,tm_2207,True
eafc_7125,tm_5045,True
eafc_4334,tm_1234,True
eafc_3954,tm_9222,True
eafc_10246,tm_5219,True
eafc_2157,tm_6878,True
eafc_10189,tm_9354,True
eafc_6145,tm_9584,True
eafc_5170,tm_5330,True
eafc_1107,tm_6541,True
eafc_10011,tm_7127,True
eafc_2433,tm_4642,True
eafc_3625,tm_6906,True
eafc_7808,tm_5173,True
eafc_8541,tm_9618,True
eafc_1590,tm_6936,True
eafc_8769,tm_6671,True
eafc_10443,tm_9668,True
eafc_6885,tm_6947,True
eafc_9362,tm_5054,True
eafc_6027,tm_9507,True
eafc_10178,tm_5126,True
eafc_1567,tm_9295,True
eafc_5333,tm_4401,True
eafc_7022,tm_5088,True
eafc_6666,tm_5025,True
eafc_4649,tm_4494,True
eafc_2662,tm_3397,True
eafc_4692,tm_5483,True
eafc_2634,tm_5041,True
eafc_8475,tm_4413,True
eafc_8820,tm_6775,True
eafc_10035,tm_6604,True
eafc_4485,tm_1196,True
eafc_5693,tm_6304,True
eafc_6007,tm_7193,True
eafc_1510,tm_5676,True
eafc_6013,tm_1407,True
eafc_3340,tm_7555,False
eafc_9872,tm_5780,True
eafc_7821,tm_6156,True
eafc_1960,tm_7120,True
eafc_8482,tm_5172,True
eafc_2669,tm_4437,True
eafc_4891,tm_10345,True
eafc_3820,tm_7648,True
eafc_1937,tm_1455,True
eafc_1047,tm_7087,True
eafc_10822,tm_2342,True
eafc_9142,tm_1924,True
eafc_5826,tm_9327,True
eafc_4991,tm_9030,False
eafc_1457,tm_8825,True
eafc_10071,tm_1162,False
eafc_6718,tm_3511,True
eafc_11591,tm_2994,False
eafc_8731,tm_3715,True
