df1,df2,name1,birthdate1,name2,birthdate2,nat1,nat2,club1,club2,score,match
fm_1971,eafc_3670,Abdou Diallo,1996-05-04,A. Flips,2000-01-18,SEN,France,RB Leipzig,Anderlecht,,False
fm_15919,eafc_9903,Désiré Doué,03.06.2005,D. Doué,03.06.2005,FRA,France,Rennes,Rennes,0.704545455,True
fm_12533,eafc_5940,Joe Gubbins,2001-08-03,L. Weinkauf,1996-07-07,ENG,Germany,QPR,Hannover 96,,False
fm_7108,eafc_11170,Samuele Massolo,1996-05-04,S. Beusnard,1992-06-27,ITA,France,Palermo,Pau,,False
fm_8425,eafc_4121,Emmanuele De Chiara,2006-02-21,G. Bonaventura,1989-08-22,ITA,Italy,Parthenope,Fiorentina,,False
fm_7149,eafc_9789,Samuele Righetti,10.10.2001,Samuel Lobato,19.10.2001,ITA,Portugal,Perugia,Famalicão,0.558333333,False
fm_10545,eafc_11374,Zhong Haoran,15.07.1994,Dong Yu,15.07.1994,CHN,China PR,Zhejiang,Zhejiang,0.566666667,False
fm_2720,eafc_4750,Lee Dong-Geong,1997-09-20,I. Kandouss,1997-11-12,KOR,Morocco,Hansa Rostock,Gent,,False
fm_7880,eafc_11128,Lorenzo Costantino,2006-01-28,Anselmo,1989-02-20,ITA,Brazil,Sampdoria,Al Wahda,,False
fm_13959,eafc_10237,Ollie Eagle,2005-12-08,N. Antonitsch,1991-09-30,ENG,Austria,Bournemouth,Elversberg,,False
fm_16111,eafc_7898,Rui Gomes,1997-09-04,N. Rieble,1995-08-22,POR,Germany,PTM,Wehen Wiesbaden,,False
fm_17583,eafc_6561,Maurice Ngangué,2005-05-26,Abraham,2001-07-05,FRA,Spain,Rennes,Villarreal II,,False
fm_16564,eafc_10969,Rafael Luís,18.02.2005,Rafael Devisate,02.08.2005,POR,Brazil,Benfica,Austria Lustenau,0.521666667,False
fm_14061,eafc_11128,George Grant,01.01.2006,Jorge Benito,01.01.2006,ENG,Spain,Middlesbrough,Getafe,0.620833333,False
