df1,df2,name1,birthdate1,name2,birthdate2,score
fm_11897,tm_9870,Jamal Lowe,1994-07-21,Jamal Lowe,1994-07-21,True
fm_14264,tm_3397,Alex Telles,1992-12-15,Alex Telles,1992-12-15,True
fm_11546,tm_6064,Rasmus Kristensen,1997-07-11,Rasmus Kristensen,1997-07-11,True
fm_7072,tm_8731,Simone Canestrelli,2000-09-11,Simone Canestrelli,2000-09-11,True
fm_1101,tm_2158,Alejandro Bedoya,1987-04-29,Alejandro Bedoya,1987-04-29,True
fm_2570,tm_5856,Aron Dønnum,1998-04-20,Aron Dønnum,1998-04-20,True
fm_14223,tm_7201,Pau Torres,1997-01-16,Pau Torres,1997-01-16,True
fm_2783,tm_8058,Kevin Sessa,2000-07-06,Kevin Sessa,2000-07-06,True
fm_2862,tm_7897,Jamie Leweling,2001-02-26,Jamie Leweling,2001-02-26,True
fm_9470,tm_7815,Attila Szalai,1998-01-20,Attila Szalai,1998-01-20,True
fm_15957,tm_8104,Matthieu Dreyer,1989-03-20,Matthieu Dreyer,1989-03-20,True
fm_14174,tm_6561,João Félix,1999-11-10,João Félix,1999-11-10,True
fm_15835,tm_8459,Kenji-Van Boto,1996-03-07,Kenji-Van Boto,1996-03-07,True
fm_6099,tm_3362,Merih Demiral,1998-03-05,Merih Demiral,1998-03-05,True
fm_3039,tm_7961,Michael Zetterer,1995-07-12,Michael Zetterer,1995-07-12,True
fm_1123,tm_1309,Andrés Cubas,1996-05-22,Andrés Cubas,1996-05-22,True
fm_1744,tm_1200,Niko Tsakiris,2005-06-19,Niko Tsakiris,2005-06-19,True
fm_2121,tm_4121,Damien Marcq,1988-12-08,Damien Marcq,1988-12-08,True
fm_2002,tm_4147,Roman Neustädter,1988-02-18,Roman Neustädter,1988-02-18,True
fm_14468,tm_6541,Joselu,1990-03-27,Joselu,1990-03-27,True
fm_3420,tm_10856,Gino Fechner,1997-09-05,Gino Fechner,1997-09-05,True
fm_16788,tm_8218,Youssouf Assogba,2001-08-21,Youssouf Assogba,2001-08-21,True
fm_1900,tm_7925,Jonathan Burkardt,2000-07-11,Jonathan Burkardt,2000-07-11,True
fm_2039,tm_7807,Roland Sallai,1997-05-22,Roland Sallai,1997-05-22,True
fm_1247,tm_8619,João Moutinho,1998-01-12,João Moutinho,1998-01-12,True
fm_14277,tm_3422,Luiz Felipe,1997-03-22,Luiz Felipe,1997-03-22,True
fm_10161,tm_3445,Romarinho,1990-12-12,Romarinho,1990-12-12,True
fm_17140,tm_8366,Ivane Chegra,2004-03-03,Ivane Chegra,2004-03-03,True
fm_6610,tm_8935,Mario Sampirisi,1992-10-31,Mario Sampirisi,1992-10-31,True
fm_15631,tm_9295,Sergi Enrich,1990-02-26,Sergi Enrich,1990-02-26,True
fm_14136,tm_6562,Robert Lewandowski,1988-08-21,Robert Lewandowski,1988-08-21,True
fm_2397,tm_3500,Yorbe Vertessen,2001-01-08,Yorbe Vertessen,2001-01-08,True
fm_2020,tm_7649,Lukas Klostermann,1996-06-03,Lukas Klostermann,1996-06-03,True
fm_1884,tm_7709,Janik Haberer,1994-04-02,Janik Haberer,1994-04-02,True
fm_16081,tm_5849,Mikkel Desler,1995-02-19,Mikkel Desler,1995-02-19,True
fm_6998,tm_6112,Mario Gila,2000-08-29,Mario Gila,2000-08-29,True
fm_6990,tm_5381,Leandro Sanca,2000-01-04,Leandro Sanca,2000-01-04,True
fm_2694,tm_3585,Mees Hilgers,2001-05-13,Mees Hilgers,2001-05-13,True
fm_1424,tm_1250,Jimmy Medranda,1994-02-07,Jimmy Medranda,1994-02-07,True
fm_14905,tm_6914,Joseba Zaldua,1992-06-24,Joseba Zaldua,1992-06-24,True
fm_1828,tm_7663,Yussuf Poulsen,1994-06-15,Yussuf Poulsen,1994-06-15,True
fm_3534,tm_10850,Nico Rieble,1995-08-22,Nico Rieble,1995-08-22,True
fm_15338,tm_9495,Alfredo Ortuño,1991-01-21,Alfredo Ortuño,1991-01-21,True
fm_1169,tm_1262,Kevin Molino,1990-06-17,Kevin Molino,1990-06-17,True
fm_15934,tm_6776,Williot Swedberg,2004-02-01,Williot Swedberg,2004-02-01,True
fm_2056,tm_2482,Virgil Misidjan,1993-07-24,Virgil Misidjan,1993-07-24,True
fm_16225,tm_1515,Alonso Aceves,2001-03-28,Alonso Aceves,2001-03-28,True
fm_11481,tm_7195,Miguel Almirón,1994-02-10,Miguel Almirón,1994-02-10,True
